{'短评内容': '非常棒的地方', '短评打分': 5}
{'短评内容': '位置非常好。', '短评打分': 5}
{'短评内容': '停车非常方便。', '短评打分': 5}
{'短评内容': '这个酒店环境非常好！', '短评打分': 5}
{'短评内容': '位置不错，适合家庭休闲活动', '短评打分': 5}
{'短评内容': '就那样吧！湖景房基本看不见湖', '短评打分': 4}
{'短评内容': '服务一般，下次去无锡会选其他酒店。', '短评打分': 3}
{'短评内容': '酒店老旧了一些，其他一切还好，大堂中午可以办婚宴，那个吵啊。地理位置不错，景色也OK。升级一下会更好', '短评打分': 4}
{'短评内容': '年头比较长的酒店了，已经住过很多次了，位置好，饭做的也比较好吃！', '短评打分': 5}
{'短评内容': '很好，比预期更好！吃的也不错，服务员态度一流', '短评打分': 5}
{'短评内容': '位置不错，离景点很近，房间设施齐全，早餐的自助餐还行，房间挺干净的，花园很漂亮，以后有机会还会来的。', '短评打分': 5}
{'短评内容': '房间不错，收拾的很干净，浴缸也很干净，设备齐全，无线很快，早上的自助餐还行，品种很多，可以免费寄存行李，可以租借轮椅', '短评打分': 5}
{'短评内容': '环境不错哦，酒店服务人员也很热情，帮我们提供了景点的咨询事宜。', '短评打分': 5}
{'短评内容': '花园酒店，环太湖，风景比较好！', '短评打分': 5}
{'短评内容': '服务态度不太好，前台接待很生硬，浪费了那么好的位置。', '短评打分': 3}
{'短评内容': '酒店很一般，不过周边环境很好，离太湖很近，周边还有公园', '短评打分': 4}
{'短评内容': '房間的風景還算不錯 環境清潔也可以 但早餐實在是糟糕', '短评打分': 4}
{'短评内容': '房间太小，特别是卫生间的卷筒纸怎么装都会掉下来。请酒店好好的重新设计一下。', '短评打分': 1}
{'短评内容': '还好的花园酒店，环境不错，就是有点陈旧了挂了4星，但硬件好像没有4星。', '短评打分': 5}
{'短评内容': '酒店周边环境很好，离景区很近，服务也不错，早餐有些小贵。', '短评打分': 5}
{'短评内容': '装修中，期待进一步好转。下次还会去的，因为周边环境好。', '短评打分': 5}
{'短评内容': '环境不错 不过靠花园的那一边房间没有大床房 早饭还要另外付钱这个不好', '短评打分': 5}
{'短评内容': '价高质次，真的没什么可说了，除了距离景区较近外，一无是处', '短评打分': 1}
{'短评内容': '酒店环境非常好，就在湖边，景色宜人。设施也不错，是旅游度假的好选择', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '感觉一般般，没有什么特色，不过在这家酒店的星级中，这家还算可以的', '短评打分': 1}
{'短评内容': '位置  环境还不错   虽然房间有点旧666666666666666', '短评打分': 5}
{'短评内容': '还是不错的,硬件有些老,其它还可以,服务还是很周到。', '短评打分': 5}
{'短评内容': '位置很好，很安静，就是设施有些陈旧了，后面花园很大，风景很好', '短评打分': 5}
{'短评内容': '总得说来还不错，服务挺周到，卫生情况也很不错。', '短评打分': 5}
{'短评内容': '周边的环境是可以的，交通是自驾游最适合的了。酒店的卫生还可以，就是房间的装潢有些陈旧。', '短评打分': 5}
{'短评内容': '设施略微旧了些', '短评打分': 5}
{'短评内容': '位置很好， 设施有点旧， 适合于自驾游........', '短评打分': 5}
{'短评内容': '——酒店环境较好，大堂气派！', '短评打分': 5}
{'短评内容': '房间设施旧了，房间也很小，不太适合出游、休假住，一般会议，培训还行。', '短评打分': 1}
{'短评内容': '位置特别好。', '短评打分': 3}
{'短评内容': '酒店位置非常好，在湖边，有山有水，景色优美，不过酒店设施一般，但价格在太湖周边算性价比好的了。如能改进房间设施将更好，相信到时价格会变高了。', '短评打分': 5}
{'短评内容': '酒店的环境挺不错的，周围环境也很好，位置出行也很方便，就是价格高了些，当时五一入住的其他都还好，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '很不错的酒店。虽然离市区较远，但是有车一族还是很方便的，离鼋头渚等风景点非常近。', '短评打分': 5}
{'短评内容': '位置非常好，观景房很不错。', '短评打分': 5}
{'短评内容': '距离景区非常近，房间装修虽然久了一点，但还是感觉不错，早餐一般，总的来说性价比还可以', '短评打分': 5}
{'短评内容': '酒店节日价格偏高，而且不送双早。又由于比较偏，周边没有什么服务设施。这就为周边店家宰客提供了机会。好不容易找到旁边一家“紫云湖鲜馆”，居然2.5元一只小笼包子，而且，等了50分钟居然还不给做点好的菜。旁边小超市里东西也出奇的贵，并且日期比较久远。', '短评打分': 1}
{'短评内容': '总体觉得酒店不错。\n房间干净，服务还算及时，比较热情周到， 酒店外部的环境挺好的，位置也不错', '短评打分': 5}
{'短评内容': '酒店的外部的环境挺好的,但是硬件设施很一般,而且洗澡的水龙头是坏的,不出水,因此显价格就贵了,不过位置还比较有优势的', '短评打分': 5}
{'短评内容': '酒店的环境很好，湖景房的景色也非常不错。\r\n唯一的不好是附近没有什么酒店，吃饭不方便。没有什么选择的余地。早餐60元一个人，还要10%的服务费，就是66元一个人了。因为没有其他的选择，就只能吃这个早餐。\r\n下回如果再去，会选择在超市买点东西，坐在阳台上吃早餐，感觉会更好。', '短评打分': 5}
{'短评内容': '总体觉得酒店不错。 房间干净， 服务还算及时， 态度十分亲切， 湖景房的窗外景色十分美丽。 虽然叫出租车不是很方便， 但是酒店安排联络出租车的速度非常快， 也十分周到。 酒店距离鼋头渚4A景区和无锡影视基地（三国城5A景区， 水浒城， 唐城3A景区）的距离非常近，游玩十分方便。 美中不足是酒店周边没有餐饮， 如果想体验地道的无锡口味， 不得不去市区。  ', '短评打分': 5}
{'短评内容': '说的过去，可以一住，但没什么特殊事情就还是住市里吧，喜来登和梁溪都不错', '短评打分': 3}
{'短评内容': '酒店离太湖风景区很近.同游太湖的家人朋友可以住他的套间,是一栋栋的小样楼,三层,很舒适.人少的朋友可以住单间,但是有点小,是很小,进们就睡了.打车到太湖风景区,三国城等地最多10元车程.但是要是喜欢逛街等各种娱乐项目的朋友就不要住在这里了,因为离市中心很远,打车40元左右.&lt;br /&gt;\n度假村的环境很没也很静,小巧玲珑的同时也很大气,看上去很赏心悦目.服务员态度非常好,如果只是无锡风景', '短评打分': 3}
