{'短评内容': '位置一般，但是酒店服务人员态度都很好', '短评打分': 4}
{'短评内容': '早餐很好，距离海边也很近，超级赞！', '短评打分': 5}
{'短评内容': '近机场附近，院内停车方便', '短评打分': 4}
{'短评内容': '华源离还挺近的，出酒店走二百米就是十里椰风长廊了，晚上对面夜市烧烤也不错，酒店泳池挺漂亮的，每次都会过来游会，再泡泡温泉', '短评打分': 4}
{'短评内容': '酒店还不错，因为错开了黄金周，所以价格也很便宜，还有游泳池可以免费使用，很划算，下次开还会去这家的。！', '短评打分': 5}
{'短评内容': '很好，很舒服，一醒来就能看到大海', '短评打分': 5}
{'短评内容': '京东服务很好，非常迅速，我很喜欢！', '短评打分': 5}
{'短评内容': '酒店还可以，嗯，还送了早餐才一百多块钱，真的是很便宜哦，但是现在看到还有38的，心里确实不太爽啊，要说缺点呢，就是空调太老了，一点都不凉快。游泳池还可以游泳，那叫一个爽，哈哈!', '短评打分': 5}
{'短评内容': '太旧了一点也不满意', '短评打分': 1}
{'短评内容': '酒店离海滩还是很近的，就在海滩边，交通还算便利，后面就是公交站。设施有点旧了，卫生还算干净。', '短评打分': 4}
{'短评内容': '房子不错，可以看海景，早晨听鸟叫，下次继续来', '短评打分': 5}
{'短评内容': '酒店很好，服务人员也不错哦', '短评打分': 5}
{'短评内容': '不错的酒店 价格便宜 位置好 具体海边步行10分钟', '短评打分': 5}
{'短评内容': '不错的酒店 价格便宜 位置好 具体海边步行10分钟', '短评打分': 5}
{'短评内容': '环境不错，安静', '短评打分': 5}
{'短评内容': '酒店真的不错，环境安静卫生好，服务员态度热情，早餐吃的也不错，离海边近，下次来还会选择这里', '短评打分': 5}
{'短评内容': '入住后给免费升级了海景房，有个小小的阳台，房间很满意，被褥干净整洁，环境非常安静，离海边很近，非常喜欢，唯一的不足就是淋浴间有点小', '短评打分': 5}
{'短评内容': '基本条件可以', '短评打分': 4}
{'短评内容': '又续住了一晚上。环境还不错。', '短评打分': 5}
{'短评内容': '酒店门口就是公交车站，出行到各景区都很方便。', '短评打分': 5}
{'短评内容': '定的180度的海景房，结果发现角度是够了。就是看不到海。整个视野都被树挡住了', '短评打分': 5}
{'短评内容': '酒店装修旧！价格嘛反应了！含早餐，早餐还可以！晚上温泉温度不够热哦！！！', '短评打分': 5}
{'短评内容': '环境还行 就是设施陈旧 就一个游泳池 玩的地方太少了', '短评打分': 5}
