{'短评内容': '位置挺好的，停车也挺方便', '短评打分': 5}
{'短评内容': '良好的服务', '短评打分': 5}
{'短评内容': '位置环境不算太好', '短评打分': 3}
{'短评内容': '还不错，挺好的！', '短评打分': 5}
{'短评内容': '去考试的，一层房间特别潮湿，其它还好，位置也不错', '短评打分': 4}
{'短评内容': '还可以，市区内，出门各种方便。', '短评打分': 5}
{'短评内容': '总体不错，就是有点旧', '短评打分': 5}
{'短评内容': '地处汽车总站对面，交通非常便利，宾馆最大的优点就是服务态度特别好，房间宽敞，就是设备可能差点，但也算是对的起这个价位了，出差这里的首选', '短评打分': 4}
{'短评内容': '酒店还不错，位置挺好，环境不错，挺安全。内部卫生挺干净，不太习惯入住期间有人进去打扫卫生。服务人员态度挺好。入住很顺利。推荐。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境设施卫生都还好，就是服务意识不大强，半夜无人服务', '短评打分': 5}
{'短评内容': '非常不错，很干净卫生。两米大床很温馨', '短评打分': 5}
{'短评内容': '环境不错，房间卫生不错，值得一住，服务员的态度也很好，赞一个。', '短评打分': 5}
{'短评内容': '不错的酒店，安静设施也不错', '短评打分': 5}
{'短评内容': '不错，住太多次了，性价比挺好，推荐一下！', '短评打分': 5}
{'短评内容': '房间与窗户大，明亮，电视好，我住过的酒店性价比比较好的，但早餐不好，很简单，酒店解释厨师没在。', '短评打分': 5}
{'短评内容': '服务周到，房间隔音不是很好，早餐相比别的酒店太单一。', '短评打分': 5}
{'短评内容': '酒店不错，就是去的时候没有热水，说是水管爆裂了，幸好晚上就来水了。', '短评打分': 5}
