{'短评内容': '床板太硬了', '短评打分': 5}
{'短评内容': '酒店房间设施齐全，房间比想象中的还要大，有洗衣机等，只是用的是电热水器，两人用水需要等一等，距离地铁站不远。', '短评打分': 5}
{'短评内容': '酒店房间设施齐全，房间比想象中的还要大，有洗衣机等，只是用的是电热水器，两人用水需要等一等，距离地铁站不远。', '短评打分': 5}
{'短评内容': '#ud83d#ude05#ud83d#ude05#ud83d#ude05', '短评打分': 5}
{'短评内容': '不错，干净环境好也不贵', '短评打分': 5}
{'短评内容': '非常满意，下次还会来买的', '短评打分': 5}
{'短评内容': '附近环境好，室内优雅，很满意的住宿?', '短评打分': 5}
{'短评内容': '不错挺好的 值得拥有', '短评打分': 5}
{'短评内容': '很適合家庭出行，因為是公寓，可以給娃娃煮點粥什麼的，但唯一的缺點就是不太隔音，不知是樓上還是隔壁的走路聲很響。不過總體滿意的。', '短评打分': 5}
{'短评内容': '不错，舒适入住时周边在修路，比较大尘，', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间里简易厨房很不错，床有点点硬。楼下在施工所以车子不太好叫', '短评打分': 5}
{'短评内容': '还可以 房间不错就是保养差了点最近施工会有点吵', '短评打分': 4}
{'短评内容': '设备陈旧', '短评打分': 3}
{'短评内容': '也就是值200多价格的。酒店是商务酒店，有长租房还有被人拿来开公司。隔音好差。一大早孩子哭闹，接着俩女人开着门大声聊天。无奈早早起来退房发现是皮包公司，俩人一人一房间，坐在电脑前畅着门谈事情。真tnn……', '短评打分': 3}
{'短评内容': '各方面都取得了明显的改善和提高', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '环境一般，装修也一般', '短评打分': 5}
