{'短评内容': '房间上面是火车道，吵的直接没法睡，醉了，真的', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 4}
{'短评内容': '酒店位置很难找。', '短评打分': 1}
{'短评内容': '还不错，勉强住一下', '短评打分': 5}
{'短评内容': '卫生很差，被子，枕套都没换过似的，卫生间下水道味道很大，优点就是安静，其他没得说', '短评打分': 2}
{'短评内容': '酒店位置好。刚装修的，房间里面的装修味道大，总体感觉一般', '短评打分': 3}
{'短评内容': '不错很好很干净！服务态度也比较好', '短评打分': 3}
{'短评内容': '挺好的，就是有点旧了，可能是装修时间久了的问题吧', '短评打分': 3}
{'短评内容': '宾馆旧了点，价钱便宜，偶尔住下还可以，不适合经常去住。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店很干净，前台老板很热情，找到了家的温暖，下次来兰州，继续住汇丰！', '短评打分': 5}
{'短评内容': '还可以，实惠', '短评打分': 2}
{'短评内容': '就是蚊子和火车烦人', '短评打分': 4}
{'短评内容': '挺方便，卫生也还可以，不错。', '短评打分': 5}
{'短评内容': '环境不太好，过于接近轨道，声音太大了', '短评打分': 3}
{'短评内容': '此宾馆离火车铁轨太近了，可能只有20米左右吧！所以列车开过的频率非常高，并且房间里面的震动也很大的哦！', '短评打分': 1}
{'短评内容': '位置还算好，离西什关很近，价格也较便宜，就是离火车道太近，比较吵。', '短评打分': 5}
{'短评内容': '靠近铁路线，睡觉轻的根本就睡不着啊，屋里设计不合理，卫生间的味道很大，导致室内的味道也很大。', '短评打分': 1}
{'短评内容': '    房间来讲还可以，经济实惠嘛！主要是卫生间洗澡时水容易淌到房间里，我住的206房间电视信号不好，老是晃来晃去。如果喜欢安静的朋友，肯定不喜欢，因为下面有铁路，时不时有火车经过，作为在外差旅人士来讲确实不太合适。所以我不推荐。', '短评打分': 1}
{'短评内容': '第一次到兰州，为了省钱住的，比较精致吧，标准单间比较小，打车10元，离火车道比较近，晚上不是很安静!', '短评打分': 5}
{'短评内容': '酒店卫生还行 ，没窗户和阳光，旁边是铁路，吵了点', '短评打分': 3}
