{'短评内容': '早餐的包子不错', '短评打分': 5}
{'短评内容': '房间很大，很舒服', '短评打分': 5}
{'短评内容': '还行，价格优惠，卫生也还可以，服务也挺好，下次还住', '短评打分': 5}
{'短评内容': '住了几年了，不错的', '短评打分': 5}
{'短评内容': '什么都要钱', '短评打分': 1}
{'短评内容': '晚上空调太吵了，玻璃都是重影的——让人觉得对面有人', '短评打分': 3}
{'短评内容': '不知道', '短评打分': 3}
{'短评内容': '距离市中心很近', '短评打分': 5}
{'短评内容': '交通挺方便的', '短评打分': 5}
{'短评内容': '电梯有点破', '短评打分': 5}
{'短评内容': '环境很不错，每次公司来人都会安排在这里住', '短评打分': 5}
{'短评内容': '挺干净，地理位置很方便，靠近濠河，逛街也很方便噢', '短评打分': 3}
{'短评内容': '脏乱差，很不干净，设施很差', '短评打分': 3}
{'短评内容': '宾馆条件还好，离市区有点远，但交通方便。价格便宜。', '短评打分': 3}
{'短评内容': '交通便利，房间有点旧，有点闷。', '短评打分': 3}
{'短评内容': '内部设施还可以，空间较大，性价比较高。', '短评打分': 3}
{'短评内容': '蛮好，服务态度好，就是旧了点，蛮好，服务态度好，就是旧了点~~~', '短评打分': 5}
{'短评内容': '朝南的房间实在是太吵闹了，晚上2，3下面马路上依然不断有车开过，根本没法入睡。跟前台协调了两次，才换到了朝北的房间，又是中央空调的噪音。一个晚上迷迷糊糊没睡几个小时，第二天累的要死。', '短评打分': 1}
{'短评内容': '房间一般化，有些陈旧！\n酒店门口的出租车太少，不方便出行！', '短评打分': 1}
{'短评内容': '整体来说很不错，就是早餐可供选择的样式少了点。', '短评打分': 5}
{'短评内容': '价格比较经济，位置也比较好，就是早饭太差了一点。', '短评打分': 5}
{'短评内容': '价格不贵，很卫生干净。下次去南通还住那儿。', '短评打分': 5}
{'短评内容': '环境比较安静，离南大街也不远，室内中规中矩，还不错了。', '短评打分': 5}
{'短评内容': '酒店价格便宜,而且性价比在当地还是蛮高的.房间装修风格我挺喜欢的,落落大方.', '短评打分': 5}
{'短评内容': '酒店地点还行，就是房间太脏了，一股子味道，浑身都不是很舒服，床上睡着痒感觉有小虫子一样', '短评打分': 1}
{'短评内容': '房间很舒服，浴室不错，房间是四星，服务要加油 \n', '短评打分': 5}
{'短评内容': '性价比较高，房间住着很舒服，很大，床单被褥很干净，环境不错。', '短评打分': 5}
{'短评内容': '酒店卫生做的不错，很干净，舒适度较高，很喜欢这家酒店', '短评打分': 5}
{'短评内容': '( ^_^ )不错嘛！下次还住。', '短评打分': 5}
{'短评内容': '床很大，卫生还算干净，早餐品种单一，服务挺好的，整体来说都不错的酒店，下次如果在附近出行还会入住。', '短评打分': 5}
{'短评内容': '在这家价位下面的酒店也是非常不错的，性价比很高！', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '酒店靠近市中心，价格也很便宜，值得推荐！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '卫生服务方面还是不错的,位置稍微有点偏,不太好找,另外就是房间的隔音效果不太好,很吵,下次不会选择这家酒店了.', '短评打分': 3}
