{'descr': '安静 舒适 干净 周到 很适合商务居住 推荐', 'star': 5}
{'descr': '价格公道，在新街口有这样的价格很不容易，环境不错，除了有点难找。服务也很好，到店之前，前台还细心的提供了方向指引！', 'star': 5}
{'descr': '洗浴区帘子必须换成玻璃门，那帘子遇湿贴在身上太难受了，其他都挺好的', 'star': 5}
{'descr': '卫生还行\n就是不知道为啥卫生间晚上不好用了\n外面也很响 象烧锅炉的声音\n别的还蛮好的', 'star': 5}
{'descr': '酒店周围是小区和学校，环境和服务都不错，特价大床房很抵，下次还会住，旁边有家鸭血粉丝汤不错', 'star': 5}
{'descr': '酒店周围是小区和学校，环境和服务都不错，特价大床房很抵，下次还会住', 'star': 5}
{'descr': '同是格林豪泰 豪华大床房和大床房没什么区别', 'star': 5}
{'descr': '酒店位置不错，到各景点去乘坐公共交通很方便，服务态度不错，房间和卫生间布局也不错，个人认为性价比高', 'star': 3}
{'descr': '房间干净，不隔音，电视比较小，离地铁站要走一站路。', 'star': 1}
{'descr': '位置有点偏，还好。', 'star': 3}
{'descr': '晚上到12点了走廊还很吵,预约18点入住我18点赶不到那边我就17点59分打电话过去想跟他们说推迟半小时到酒店登记入住结果电话里听说我要晚几几分钟到就跟我说房间已经没了让我多出钱，实在是有点假', 'star': 1}
{'descr': '  环境很好，离景区很近。', 'star': 3}
{'descr': '交通很方便，张府园站1号门出来之后右转走过马路就能看到格林豪泰的牌子了，朝着牌子的方向再走五六分钟就到。服务和环境都还算不错。', 'star': 5}
{'descr': '可以住住，交通不能说太方便，硬件还是可以的，其他的就不说了', 'star': 5}
{'descr': '地方难找，电话打不通，设施尚可，服务反应较慢。', 'star': 3}
{'descr': '商务大床B 房间比想象中的小.倒是挺安静的地方离新街口不算远但有点难找', 'star': 5}
{'descr': '不错，比较同等价位的酒店，环境和服务都不错，张府园出地铁站，直接穿过马路，顺着九条巷走到马府西街，5、6分钟就到了', 'star': 5}
{'descr': '很安静', 'star': 3}
{'descr': '整体感觉还可以。 在巷子里，坐地铁坐公交要走一段，但是比较安静，隔音也好。', 'star': 5}
{'descr': '地理位置优越，距地铁超市都很近，就是空调有声音较大，想不开空调，但只有一床被子，建议多备些被子，方便不开空调的顾客使用。', 'star': 5}
{'descr': '地理位置好，离新街口很近好，周围环境很安静适合休息！！！卫生一般 服务很好。。。', 'star': 5}
{'descr': '住了很多次了。交通也还方便。离新街口不远', 'star': 5}
{'descr': '史上住过最差酒店没有之一~~位置不好找就算了环境还糟糕~~', 'star': 3}
{'descr': '蚂蚁，潮虫，蟑螂应有尽有，隔音很差隔壁说话听的清清楚楚。', 'star': 3}
{'descr': '地理位置方便，环境较好，酒店的卫生不错，就是房间有点小，很安静！', 'star': 5}
{'descr': '环境不错，挺舒服的，离新街口也挺近的，交通还算方便。', 'star': 5}
{'descr': '服务不错 床很大很舒服 就是价格太高了', 'star': 3}
{'descr': '莲蓬头水好小，隔音效果超差！！房间没有不断电插头，出门2分钟笔记本就会进入待机状态，床太高，睡着很不习惯，没有一个地方是满意的，电梯特别慢', 'star': 1}
{'descr': '我订的是豪华大床房B，房间小了点，而且隔音很差，连隔壁电源开关的声音都能很清楚的听到，一直都睡不着。其他的都还好。', 'star': 1}
{'descr': '不错，我很喜欢。基础设施等等，条件还是不错滴~', 'star': 5}
{'descr': '整体不错', 'star': 3}
{'descr': '酒店还不错。', 'star': 3}
{'descr': ' 满意!!!', 'star': 3}
{'descr': '挺好                               就是地方不好找', 'star': 5}
{'descr': '酒店性价比不高，隔音太差', 'star': 3}
{'descr': '在火车站坐1路到太平南路白下路站，大概20分钟车程。酒店属于闹中取静，在一天小马路里-娃娃桥；离夫子庙很近，步行最多15分钟，还算方便！内部环境一般，床还算舒服，就是1.5*2.0的大床有点小，其他都还算过可以，隔音效果再好点就好了！', 'star': 5}
{'descr': '服务还好，春节入住人不多！就是没有早餐和淋浴防滑垫，浴室挺滑的，希望改进！', 'star': 5}
{'descr': '满意！', 'star': 3}
{'descr': '今天才住进来,还行', 'star': 3}
{'descr': '环境不错 位置还可以 走路到新街口与夫子庙大约都是15分钟', 'star': 5}
{'descr': '性价比不错，房间很干净，离市中心很近，就是淋浴洗澡不太舒服。', 'star': 5}
