{'短评内容': '还不错，服务很好', '短评打分': 5}
{'短评内容': '环境不错,干净,老板挺好的,赞', '短评打分': 5}
{'短评内容': '感觉真心一般，不太干净', '短评打分': 3}
{'短评内容': '小旅店离热门景点较远，所以周边路上人也少，每层楼只有两间客房，图清净的可以考虑。不足之处就是无线网太差，速度慢不说，还经常断，希望改进', '短评打分': 5}
{'短评内容': '还好，离内厝澳码头不远，附近的一条街有不少吃的。离笔山洞不远，通过笔山洞到鼓浪屿中央，很多小吃啊！晚上住得也比较安静。', '短评打分': 4}
{'短评内容': '不错，但是房间稍显小，不过总体体验很好，老板也很热心', '短评打分': 5}
{'短评内容': '还不错，虽然住的是楼层隔间，比较矮。但够实惠。', '短评打分': 4}
{'短评内容': '老板人好不解释，房间也挺干净，内厝澳码头过来很方便，很满意', '短评打分': 5}
{'短评内容': '订的4人间，一家人住里面，挺舒服的，对面就有早餐店 饭店比较方便，晚上也很安静。老板服务态度很好，下次还会再去。性价比高。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '房间真的很一般，空间小，墙上板发霉', '短评打分': 3}
{'短评内容': '从三丘田码头在过去走了好久。四人间有点太挤了。', '短评打分': 3}
{'短评内容': '一家4囗入住，房间较为紧凑，卫生间挺干净。在旅游旺季，鼓浪屿尺土尺金之地，还行吧。离日光岩和龙头路都挺近。', '短评打分': 3}
{'短评内容': '同样的价格，设施设备比六悦差太多！', '短评打分': 3}
