{'descr': '设施挺旧，处闹市区。', 'star': 3}
{'descr': '挺好的 不错', 'star': 5}
{'descr': '周边环境不错，交通也比较方便，房间条件一般。', 'star': 4}
{'descr': '价位合理', 'star': 4}
{'descr': '环境不错，卫生还可以。停车的地方有点少。', 'star': 4}
{'descr': '18号中午去的光明店，是一个个子比较矮的女前台接待的。 1.我是9月28号通过携程定的11月18日的房子，她说查询起来比较麻烦，也就等了半小时左右吧。不介意的顾客尽管来等，包您满意。 2.查了十几分钟无果的时候，她建议我取消携程的订单，用现金住房。我吃饱撑的啊，当时因为有浦发减50的活动，才早早预定的。 3.其实一开始我就说了，虽然是携程定的，但也可能会跳转到去哪儿或艺龙，但该前台还是浪费了我那么', 'star': 1}
{'descr': '一般般。楼是旧楼，早餐很一般，地理位置到是很不错，周边有很多市场，商场，还有一个通信城卖手机及配件滴，很方便', 'star': 3}
{'descr': '房子比较旧，设施简单，作为简单休息之地还可以', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '物美价廉，出差不错的选择。', 'star': 5}
{'descr': '彦霖已经不是第一次住了，这次在这边住还是第一次，房间很大很好，里面设施都是彦霖统一的设施，隔音什么的城市宾馆都是一样的没有特别好和特别差的，这个价钱对的起大家', 'star': 5}
{'descr': '一如既往的好，非常干净，位置也很好找，周围有超市有吃饭的地方，但是并不吵闹很安静，住的很舒心，工作人员态度非常好', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '给朋友订的 应该还行吧', 'star': 3}
{'descr': '挺好。', 'star': 5}
