{'短评内容': '近地鐵，交通方便', '短评打分': 3}
{'短评内容': '深圳南山前海路这个店离深圳体育馆很远。本来是以为比较近的。结果坐了一个多小时车才到', '短评打分': 4}
{'短评内容': '早餐需要额外付费，问道挺不错的。预订的大床房，免费给升级成标准间了。房间面积很大，设施齐全，也挺安静的，推荐入住。', '短评打分': 5}
{'短评内容': '可以可以不不不错，很不错，周边比较有意思，繁华，好吃饭的多的不得了，各种还有网咖可以让我上分，还有24小时的快餐店，棒极了！', '短评打分': 5}
{'短评内容': '位置很好，在大新地铁口旁边，离世界之窗4站路；临街，晚上较吵；1米8的床很大；其余设施一般，偏老旧；', '短评打分': 4}
{'短评内容': '锦江之星一如既往的好，交通非常便利，干净安全，服务周到，是外出首选。只是隔音稍差，楼上好像在装修，有点吵。', '短评打分': 4}
{'短评内容': '停车不方便', '短评打分': 4}
{'短评内容': '交通便利，干净舒适', '短评打分': 5}
{'短评内容': '还可以吧！有点贵', '短评打分': 5}
{'短评内容': '蛮好蛮好蛮好', '短评打分': 5}
{'短评内容': '怎么说呢&hellip;这家店真的很老了&hellip;我以前住大新的时候就经常从那经过，但没住过&hellip;服务还行吧&hellip;第一晚过去给我整了一间没有窗户的房间，而我订的是有窗户的，感觉很不好&hellip;后来投诉换了一间有窗户的&hellip;在5楼&hellip;那间还不错，房间大&hellip;只是有些热&hellip;空调效果一般&hellip;以后还是住维也纳算了~', '短评打分': 5}
{'短评内容': '还行吧 地理位置极佳', '短评打分': 5}
{'短评内容': '很吵！', '短评打分': 1}
{'短评内容': '说换一个不临街的，结果换一个还是临街，囧', '短评打分': 4}
{'短评内容': '最大优点是就在大新地铁站出口，其它方面一般。没有方便会客的地方。周围不错的餐馆也很多，近机场，只有5站地铁站距离。', '短评打分': 4}
{'短评内容': '还行，那晚去的晚，加上喝酒了。醉了，没怎么注意。但感觉睡觉很安静。一觉睡到天亮。旁边吃的方便，出行有地铁。', '短评打分': 4}
{'短评内容': '交通非常方便。', '短评打分': 5}
{'短评内容': '房间临街，没怎么睡好', '短评打分': 4}
{'短评内容': '帮老家来的亲戚订的酒店。在经济连锁酒店中算价格高的，用了优惠券还算挺实惠的。紧邻地铁站，出行便捷，周边配套齐全，吃饭非常方便。', '短评打分': 5}
{'短评内容': '给朋友订的房间，订完以后和朋友一起到房间看了才发现房间太小，而且没有窗户，在朋友面前很没面子……', '短评打分': 4}
{'短评内容': '三星酒店，三星评价', '短评打分': 3}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '环境简单舒适！交通便利，挺好的！', '短评打分': 5}
{'短评内容': '快捷酒店中算不错的', '短评打分': 4}
{'短评内容': '周边吃饭、购物很方便，住宿还可以吧', '短评打分': 4}
{'短评内容': '酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。', '短评打分': 5}
{'短评内容': '总体还不错，交通比较方便，靠近罗宝线地铁口。', '短评打分': 5}
{'短评内容': '交通很方便，就在地铁边上，酒店整洁干净，近两个月的出差一直住这里。', '短评打分': 5}
{'短评内容': '超好的酒店~~~干净整洁，交通也很方便，就在地铁口旁边', '短评打分': 5}
{'短评内容': '交通位置较方便，缺点是房间太小，无线上网有名无实。', '短评打分': 5}
{'短评内容': '非常方便，就在地铁旁边。酒店也很干净。服务人员态度也很不错！', '短评打分': 5}
