{'短评内容': '满意，酒店房间干净整洁，服务周到，值得推荐。', '短评打分': 4}
{'短评内容': '窗户没锁。旁边就是消防通道，人可以进来，很危险。望改善', '短评打分': 4}
{'短评内容': '还是不错的，服务也是挺好的', '短评打分': 5}
{'短评内容': '地理位置一般，在隧道出口边上，很吵。环境一般。', '短评打分': 3}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '可以的，价格便宜推荐。', '短评打分': 3}
{'短评内容': '可以的，价格便宜，推荐', '短评打分': 3}
{'短评内容': '价格便宜，环境偏差，但地理位置很好，自己取舍吧。', '短评打分': 3}
{'短评内容': '环境一般般吧！这个价格就这样吧！建议老板装修下会更好滴！', '短评打分': 4}
{'短评内容': '地址位置很好，就在隧道口，而且位于中心湖区，去哪里都方便，就是宾馆有点老，设施陈旧些，但性价比极高，不错的酒店', '短评打分': 5}
{'短评内容': ' 考虑到100元的价钱，这个宾馆还可以吧，条件不怎么好，离景区也很远', '短评打分': 3}
{'短评内容': '宾馆不大，人不多，服务员不错，给了网线让上网。还给换了好点的房间', '短评打分': 3}
{'短评内容': '天龙宾馆条件设施比较差和价格不符', '短评打分': 3}
{'短评内容': '总体来说相当的便宜了，但是最好住标间的房间，该酒店的单人间需要出小门经过一个消防通道到卫生间，但是外面还是有一个门可以反锁的，只是感觉不太方便。', '短评打分': 5}
{'短评内容': '交通不方便，还在遂道的旁边，房间也不是很好，还没有电梯，后来有了比较觉得国庆期间的价格也太贵', '短评打分': 1}
{'短评内容': '老宾馆，有点旧，服务态度还好！', '短评打分': 3}
{'短评内容': '去的时候乱七八糟的在装修什么的，而且态度平淡。价格也不够实惠', '短评打分': 1}
