{'短评内容': '太破了。鬼屋一样。', '短评打分': 1}
{'短评内容': '老化，陈旧，破烂，并且空调还一直停用。晚上冷死了！', '短评打分': 1}
{'短评内容': '酒店离火车站很近，我们晚上到的，打车，结果师傅说宝晖商务酒店就在前面300米……哈哈，师傅还是以起步价5块把我们拉到了酒店。房间挺大的，挺干净，晚上会有火车过，但不会很吵，睡得很香可能是玩累了。酒店附近有很多早点摊，襄阳牛肉面、牛杂面、豆腐面都很好吃，黄酒还可以，豆浆也不错，而且很便宜，每天吃完早点很满足哈哈', '短评打分': 5}
{'短评内容': '很一般。空调差的很，老化陈旧。', '短评打分': 1}
{'短评内容': '房间挺大，就是有点吵，设备比较旧', '短评打分': 3}
{'短评内容': '还不错，就是火车?太吵', '短评打分': 4}
{'短评内容': '服务差，设施陈旧，房间中间居然有个水泥柱子，旁边是铁路，吵人。', '短评打分': 1}
{'短评内容': '還可以，價格適中。', '短评打分': 5}
{'短评内容': '挺不错，满意', '短评打分': 4}
{'短评内容': '整体上是不错的，房间挺大，住的豪华房，满意', '短评打分': 4}
{'短评内容': '总感觉不干净，房间是不小了。怪怪的感觉', '短评打分': 2}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '环境不错！就是买东西不方便', '短评打分': 3}
{'短评内容': '总体还可以的。附近有超市，交通又方便，还是很适合入住的！', '短评打分': 5}
{'短评内容': '硬件设施和服务都可以  就是位置有点偏  靠近铁路线  还有网速超级慢', '短评打分': 5}
