{'短评内容': '有钱住得好，刚好就米走宝，会员价81', '短评打分': 3}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '还不错吧，挺方便的', '短评打分': 5}
{'短评内容': '附近吵', '短评打分': 4}
{'短评内容': '不错，性价比很高', '短评打分': 5}
{'短评内容': '还行吧，这个价格', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '方便，经济实惠', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '性价比很高，地理位置不错，很推荐噢', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以接受…价格合理，还行', '短评打分': 3}
{'短评内容': '315房间一直有一股怪味，而且床单很脏也没有换。上次住其他房间就挺好，以后认准这间房不要住！！！', '短评打分': 3}
{'短评内容': '在市场附近，旁边有超市，生活很便利，环境不错，电视节目还可以，重要的几个台都有，就是床头没有插座！！！！', '短评打分': 3}
{'短评内容': '没窗户还是有点闷。房间不大，房间里面除了厕所也没安装排气口。还有大早上的别人在敲门，我都不知道是不是在敲我的门。', '短评打分': 4}
{'短评内容': '实惠倒还行，可停车和房间地板的颜色不怎样', '短评打分': 3}
{'短评内容': '是中心城区，吃饭生活很方便，宽带全覆盖很好，下次来还会住', '短评打分': 5}
{'短评内容': '生活方便，宽带给力，干净整洁，去乐从，置地都比较方便，挺好的，推荐！', '短评打分': 5}
{'短评内容': '挺干净的，主要是离我要去的地方很近，附近消费很方便，离春晖园很近\n\n住方面，我住的是大床无窗房，价格便宜，但是也没便宜多少，绝对不推荐，因为隔音一般，而且因为无窗，一直有股潮气。相比之下，标间看起来好很多。所以绝对不用为了20+选择这个！！！\n\n酒店可以刷卡，很好！很方便', '短评打分': 5}
{'短评内容': '主要一点是价格比较划算，希望能继续坚持下去。交通较便利，位置优越，服务周到，卫生干净，设施齐全', '短评打分': 5}
{'短评内容': '很干净跟实惠哦！楼下就是旧城区！很舒服', '短评打分': 3}
