{'短评内容': '性价比很好位置方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '第一次住这家酒店，很失望，房间内的桶装水标签是3元，前台要收6元。最可恶的是，酒店服务员不诚实，明明是自己贴错了桶装水的标签，私自撕下标签，还不承认。非说标签是6元，幸亏我拍了照片。对这样说瞎话的服务员，我表示气愤。酒店应每天提供两瓶免费的水，但服务员不给，说只提供一次，我在酒店住了五天，每天都要打电话要水。服务员也很不情愿的送来。酒店也有可圈可点的地方，酒店餐厅的菜做的不错。价格也不贵。味道很好', '短评打分': 3}
{'短评内容': '价格便宜，服务好，环境不错', '短评打分': 5}
{'短评内容': '酒店位置偏西南，周边比较安静，打车还算方便。酒店大厅比较大，但是房间设施比较老旧。最主要的是给我的感觉服务很差，从入住到离店只给2瓶免费水，但是送了果盘，wifi时好时坏，隔音较差。最后评价不会再入住。', '短评打分': 3}
{'短评内容': '服务极好，环境安静。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '不错，值得推荐。房间不错，落地窗户，点餐不错。就是早上起太晚没有吃上早餐', '短评打分': 3}
{'短评内容': '酒店位置十分不错，卫生设施都很不错，价钱很合理，很有特色，楼下各种小吃街美食，出差旅行非常值得推荐的酒店！！！', '短评打分': 5}
{'短评内容': '还可以，床不算舒服，但挺卫生', '短评打分': 3}
{'短评内容': '酒店不错，周边环境很好，早餐也不错。值得推荐。', '短评打分': 3}
{'短评内容': '酒店周边环境优雅，酒店设施齐全，房间面积大，舒适，推荐！', '短评打分': 3}
{'短评内容': '环境挺好。以后就这了。', '短评打分': 4}
{'短评内容': '一般！', '短评打分': 3}
{'短评内容': '住宿条件非常好，房间达到4星标准，价格比较合理。', '短评打分': 5}
{'短评内容': '早餐一般，房间空间比较大，餐厅服务员服务态度一般', '短评打分': 5}
{'短评内容': '早餐一般，房间空间面积较大，设施撮合，但网速比较慢，另外有一点不好的就是天天晚上有骚扰电话打进来。', '短评打分': 5}
{'短评内容': '酒店是个不错的酒店，但是空调有问题，换了两次房都不行，都快冻死了。', '短评打分': 1}
{'短评内容': '房间宽敞，卫生还可以，就是毛巾、浴巾等有点太旧了，总体还可以。', '短评打分': 1}
{'短评内容': '住的还行，但前台人员素质一般。离市区不近，打车较难，想出差挣点补贴的不推荐，开发票金额为实际消费金额。房间没有一次性拖鞋，热水器为那种小功率的电热水器，洗澡忽冷忽热，要么烫的不行，要么冷的不行。', '短评打分': 1}
