{'短评内容': '不錯  性價比蠻高的 ...........', '短评打分': 5}
{'短评内容': '非常好，环境也好好。交通也方便。服务态度也好', '短评打分': 5}
{'短评内容': '很好酒店的。干净舒服价钱不贵好评。。。。。。。。攒\n\n', '短评打分': 5}
{'短评内容': '服务很好，前台的小女孩还热情的给我介绍了厦门的旅游景点，坐车路线，客房是商务风格的，设施挺齐全的，下次来还住这家酒店', '短评打分': 5}
{'短评内容': '不錯  不過總台服務有點弱  給錯房間型號', '短评打分': 5}
{'短评内容': '有早餐。交通也便利。帮家里订的，反映还行', '短评打分': 5}
{'短评内容': '不错，环境好，交通便利，网上订购确实比较便宜。', '短评打分': 5}
{'短评内容': '环境很差，蚊子又多，厕所小而且下水道还堵塞。刚到酒店门口时，接待员看到我搬不动行李，结果没帮忙还直接走掉，真是气人。下次再也不会去住了。', '短评打分': 1}
{'短评内容': '环境不错，交通挺方便的\n服务还行\n就是床太小了', '短评打分': 5}
{'短评内容': '一切都可以 就是前台的臉色臭了點 設備是全新的......................', '短评打分': 5}
{'短评内容': '地點很適中,房間很寬敞,價格合理,且提供雙早,是家不錯的酒店,值得入住.', '短评打分': 5}
{'短评内容': '太吵,早餐不好', '短评打分': 3}
{'短评内容': '\n中规中矩的快捷酒店，没有惊喜也不算差。\n价钱有点偏高，个人觉得，不值200以上。\n另外，早餐很难吃。\n\n\n\n\n', '短评打分': 5}
{'短评内容': '经济型酒店。\n设施简单。卫生一般。\n地毯上还有很多干果壳。晕。\n可能春节期间太忙，来不及清理？\n性价比很一般。\n也许假日后价格会恢复吧。\n\n', '短评打分': 1}
{'短评内容': '房间干净，稍微有点旧，台灯坏了。春节期间将就一下，基本满意', '短评打分': 3}
{'短评内容': ' 已入住，还不错', '短评打分': 3}
{'短评内容': '帮我同事预定的，十一期间厦门酒店也贵，性价比不高，下次不会再考虑了', '短评打分': 1}
{'短评内容': '位置不错，离渡船口蛮近的，酒店还蛮干净，服务也可以。', '短评打分': 5}
{'短评内容': '性价比不太好，价格偏贵。\r\n床很硬，不好睡！', '短评打分': 5}
{'短评内容': '除了价格有些偏贵 其他都很不错 每天房间的打扫也很及时', '短评打分': 5}
{'短评内容': '卫生状况还算可以，房间挺小，位置很一般，隔音效果一般，哎，感觉性价比不高', '短评打分': 5}
{'短评内容': '酒店环境还可以，但酒店服务还欠缺。突然停电却没有应急用电，造成很多不便！', '短评打分': 3}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '酒店的性价比不错，入住时房间水壶有问题也马上来处理了，前台服务人员的态度也不错。', '短评打分': 5}
{'短评内容': '酒店赖账，让我差点变成“未入住”。', '短评打分': 3}
{'短评内容': '酒店有点像招待所，第二次换毛巾的时候服务员还问：你今天不是换过了吗？', '短评打分': 1}
{'短评内容': '很不错，房间很干净！不过零晨1点入住18点离店，算1天半的房费，似不太合理。', '短评打分': 5}
{'短评内容': '环境很好，很干净，服务不错。离东渡码头很近，步行大约十分钟。', '短评打分': 5}
{'短评内容': '位置还行，里面还可以，环境感觉还行吧，房间也还不错， 价格还挺合适的，当时住之后还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很达标价格合理适中，位置出行交通也比较方便，下了公交车就到了整体来讲算是很达标的商务型酒店，早餐的味道也还不错，值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都不太好，卫生服务也很一般，酒店的价格有非常高，性价比很不合理的酒店，不值得推荐入住的酒店，位置都是比较不错，出行交通方便。', '短评打分': 1}
{'短评内容': '很好，', '短评打分': 5}
