{'短评内容': '普通大床房，有空调', '短评打分': 4}
{'短评内容': '房间比较大，又干净，服务又好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '闹市区，性价比很高', '短评打分': 5}
{'短评内容': '还可以 经济 实惠 就是电视尺寸小些', '短评打分': 5}
{'短评内容': '还不错，地理位置优越，服务还好！', '短评打分': 4}
{'短评内容': '位置还好。可以逛街', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '订酒店比其他网站划算', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '对于自费来说是个不错的选择', '短评打分': 5}
{'短评内容': '住的不错', '短评打分': 5}
{'短评内容': '设备老旧了，其他还不错', '短评打分': 4}
{'短评内容': '在市中心有这个价格，就不要要求太高。', '短评打分': 4}
{'短评内容': '方便，满意！', '短评打分': 5}
{'短评内容': '不错啦', '短评打分': 5}
{'短评内容': '卫生条件不错，很干净也安静！很好好好', '短评打分': 5}
{'短评内容': '酒店很不错，每次出差都这，没得说。', '短评打分': 5}
{'短评内容': '交通条件很便利。', '短评打分': 3}
{'短评内容': '环境不错，卫生也好，周边商场很多，就是房间小了点。', '短评打分': 5}
{'短评内容': '就是上下楼没有电梯，不方面，其他方面很好', '短评打分': 5}
{'短评内容': '不错，比较舒服~~~', '短评打分': 5}
{'短评内容': '地理位置优越，交通方便，网速偏慢。\n价格设施，服务不错，', '短评打分': 5}
{'短评内容': '酒店位置比较好', '短评打分': 3}
{'短评内容': '离步行街很近，适合旅游度假的经济型酒店。', '短评打分': 5}
{'短评内容': '不知道是误会还是什么，进去住的时候房间没有打扫，估计是刚开过了钟点房，相当恶意，要求换房，换了一个很阴森的房间，还是没住阴森的房间。后打如家400电话投诉，如家竟然把电话转到了这个店、然后不予解决。', '短评打分': 5}
{'短评内容': '如家给人的感觉就是小而温馨，青年路店位置很不错，服务也好，要是房间能在大点就完美了！', '短评打分': 3}
{'短评内容': '位于闹市区，出入方便，不错', '短评打分': 3}
{'短评内容': '酒店位置不错，不过上下楼比较麻烦，如果对昆明不太熟悉的人，住这里去逛街会比较麻烦，打车不值得，走路未必认识路。服务不错，总体还是可以的。', '短评打分': 4}
{'短评内容': '前台有位客服经理很有亲和力，办事利落，声音清脆，真是难得', '短评打分': 5}
{'短评内容': '性价比高，出行方便，不过有点吵，隔音效果不好                                     ', '短评打分': 5}
{'短评内容': '性价比不错                    \n\n交通方便                       \n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '很方便，已向朋友推荐，朋友也认可这家酒店\n\n\n\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '不错的选择，就是青年路在上班高峰超堵车。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置不错,边上就有百盛,KFC,麦当劳', '短评打分': 5}
{'短评内容': '酒店装修很温馨，地理位置优越，对预算不高的同学推荐^ ^。', '短评打分': 3}
{'短评内容': '吵隔音效果不好，但房间色彩明快，干净整洁。热水非常好，水流大、洗澡舒服、逛街方便。。。。。。。。', '短评打分': 5}
{'短评内容': '房间色彩明快，干净整洁。热水非常好，水流大、洗澡舒服、逛街方便。。。。。。。。', '短评打分': 5}
{'短评内容': '有些吵，隔音基本没有效果，但交通方便，便于出行。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置不错,马路对面差不多有三个网吧.十字路口那里有24小时KFC,麦当劳正在装修,还有百盛.就是房间小,两张床差50CM就连起来了,有冷暖空调,热水,网络.', '短评打分': 5}
{'短评内容': '非常温馨和干净的酒店', '短评打分': 3}
{'短评内容': '不行！除了地理位置比较好外，其他都很一般，房间小，酒店布局很差，那走道跟迷宫似得，楼梯看起来很脏', '短评打分': 1}
{'短评内容': '房间很温暖，干净整洁。热水非常好，水流超大洗澡舒服极了！逛街方便！', '短评打分': 3}
{'短评内容': '从大堂到电梯有一段距离，住一楼的房间要先上楼再下楼，房间的隔音也不好；不过位置不错，价格还可以', '短评打分': 5}
{'短评内容': '还可以，就是电梯在二楼不是很方便。服务周到。', '短评打分': 5}
{'短评内容': '，感觉不错，虽然房间不是很大，但是布局很温馨，还很干净，服务不错', '短评打分': 3}
{'短评内容': '住了多次了，环境各方面挺不错的，离市中心挺近的，方便。', '短评打分': 5}
