{'短评内容': '房间小了点，但很干净。', '短评打分': 5}
{'短评内容': '还是很不错的 优点:1性价比高  2离火车站近 不足1一大早就很吵 2订了两个晚上就半卷纸 3洗澡间拿不到衣服得走出来 但是会很冷  4wifi很差很差 有时候直接没网不如自己的流量总的来说还是推荐的 下次还会来', '短评打分': 4}
{'短评内容': '酒店位置很好，交通便利，但是房间卫生和服务就一般了，卫生间一直有水流异响，拖鞋不是一次性的，是那种塑料拖鞋，只有卫生间有卫生纸，房间都没有抽纸。', '短评打分': 4}
{'短评内容': '早餐太差了，建议改进', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '方便经常住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错的酒店，住了三次了，以后就定这里了', '短评打分': 5}
{'短评内容': '666666', '短评打分': 5}
{'短评内容': '京东质量放心，物流惊人，活动时性价比高', '短评打分': 5}
{'短评内容': '还很不错的呢，二月份订了一次，四月份又订了一次', '短评打分': 5}
{'短评内容': '这个酒店不错 ? 今天带了女朋友过来啪啪啪了', '短评打分': 5}
{'短评内容': '很宽很舒适，服务也很满意！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '有事没能入住，打电话说不能取消，白瞎了那钱，没住都不让取消有点坑人', '短评打分': 5}
{'短评内容': '这房了可以干净，东西都很全前台的服务也非常好', '短评打分': 5}
{'短评内容': '这些酒店我已经住过三次了，给我的感觉非常好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '安静，设施基本到位', '短评打分': 4}
{'短评内容': '火車站前幾百米距離，走路就到. 特價房在舊樓，臨馬路. 門口有公交站，可到市中心. 熱水充足，不過毛巾環保使用的程度好似過頭了！', '短评打分': 3}
{'短评内容': '酒店环境好，酒店位置不错，酒店服务态度不错，房间卫生一般，', '短评打分': 4}
{'短评内容': '极差无语', '短评打分': 1}
{'短评内容': '第二次来柳州，也不知道在昊天住了几个晚上。总体来说很舒适，离火车站走路五分钟。门口就有公交车可以到柳州大部分地方。', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，周边环境可以', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，周边环境可以', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，周边环境可以', '短评打分': 5}
{'短评内容': '还是大意了，没注意网友的点评，一开门进去一股臭脚丫子味道，，真心伤不起，望酒店能改善。  后听朋友说隔壁的景江酒店新开不久，蛮好的，下午去住那。', '短评打分': 3}
{'短评内容': '设施比较旧，房间很小，说是大床房，只有1.5米的单人床！二楼窗户被外墙招牌挡住，光线很差！', '短评打分': 2}
{'短评内容': '面对马路这边吵死了！幸好给我换了！根本睡不着，房间不是很大！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '房间就是太小乐。其他都挺好的。', '短评打分': 3}
{'短评内容': '不错   环境也不错 还有早餐', '短评打分': 5}
{'短评内容': '酒店服务很好，很对位，房屋间配置也不错。早餐样式也很多。真心好，大赞！', '短评打分': 5}
{'短评内容': '酒店位置离火车站很近，旁边有大超市，房间也干净漂亮，服务蛮好！', '短评打分': 5}
{'短评内容': '酒店位置好，旁边有个很大的超市，非常方便。服务态度好，房间很漂亮，卫生间是透明玻璃的！', '短评打分': 5}
{'短评内容': '昊天酒店蛮好，整洁安静、服务热情。推荐！', '短评打分': 5}
{'短评内容': '酒店离火车站很近，出站后直走一个站就到了，酒店新开的，房间比较新', '短评打分': 5}
