{'短评内容': '多次入住，每次带孩子去欢乐谷就住这里，周边配套不是很多。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境优美，服务周到，交通方便，舒适贴心！', '短评打分': 5}
{'短评内容': '退房，太慢了', '短评打分': 3}
{'短评内容': '酒店就在欢乐谷，的确应该属于度假酒店，商务就差了点，也没有泳池，健身设施也很简陋，正好遇到房间窗户管不死，床沿上满是灰尘，手机放那里放了一下，厚厚的灰尘黏上了。其他都还好，卫生间够大的，床品还算舒适', '短评打分': 3}
{'短评内容': '早餐超值，位置不错，有免费接送服务。下次再坐高铁的话可以考虑再住。', '短评打分': 5}
{'短评内容': '酒店不错，细节挺好，有很多适合小宝的东西。', '短评打分': 5}
{'短评内容': '酒店环境不错，感觉也很好', '短评打分': 5}
{'短评内容': '酒店还行。态度不行。艺龙处理售后服务太慢', '短评打分': 1}
{'短评内容': '酒店不错，干净大气，因为是乐园配套主题酒店，相对比较独立。免查房，冰箱内全为赠饮，主要以去乐园游玩的游客为主，自助餐品种多，价位适中，值得一去。', '短评打分': 5}
{'短评内容': '这家酒店就在欢乐谷旁边，很值得一住', '短评打分': 5}
{'短评内容': '服务不错，设施较新，地理位置不错适合亲子活动', '短评打分': 5}
{'短评内容': '服务不错，设施较新，地理位置不错适合亲子活动', '短评打分': 5}
{'短评内容': '去欢乐谷玩很方便', '短评打分': 5}
{'短评内容': '不错的地方，不错的服务态度', '短评打分': 5}
{'短评内容': '环境好服务好', '短评打分': 5}
{'短评内容': '忘了评价，抱歉。酒店非常不错，挨着娱乐城，风景很好。', '短评打分': 5}
{'短评内容': '酒店距离高铁站近，交通便利', '短评打分': 5}
{'短评内容': '酒店位置独特，行程安排需要，否则不回去那个地方。服务员服务尚可，酒店打发票的系统出问题了，给我快递寄回。', '短评打分': 5}
{'短评内容': '比丽豪酒店各方面都好！！！', '短评打分': 4}
{'短评内容': '酒店还不错，周边就是游乐园和水上世界，吃的不方便，离高铁站很近！', '短评打分': 4}
{'短评内容': '方便快捷，服务员很热情', '短评打分': 5}
{'短评内容': '要十五个字么么么么么么么么么么么', '短评打分': 5}
{'短评内容': '挺安静，放松心情首选', '短评打分': 5}
{'短评内容': '酒店非常不错，是旅游住宿的首选！', '短评打分': 5}
