{'短评内容': '很好，非常棒', '短评打分': 5}
{'短评内容': '热水不热，', '短评打分': 5}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '旅馆价格，旅馆级别，短暂休息和旅游停留可以选择', '短评打分': 3}
{'短评内容': '楼下有酒吧 晚上根本睡不着。电视看不了，衣服没有地方晾，吹风机也没有！唉，希望以后可以改进吧…………', '短评打分': 3}
{'短评内容': 'Wifi 不行', '短评打分': 5}
{'短评内容': '酒店挺好的，在西大东门斜对面，里面就是一条商业街，住之前看到网上评价说超级不好，还很吵，去了觉得还可以，可能太累了也睡着了，房间挺大的，还可以', '短评打分': 4}
{'短评内容': '挺好的，周围吃的玩的地方多', '短评打分': 5}
{'短评内容': '酒店那里同棟楼就有酒吧，非常吵，根本不能住的，被子也是烂的，不懂怎么说了，实在吵得睡不下，半夜不得已又换了家酒店～～', '短评打分': 1}
{'短评内容': '酒店一般般，我住时候热水不热，周边吃的比较多', '短评打分': 3}
{'短评内容': '太差了！！！订了豪华大床房！！给我个和标间一样的房子！地板黑得很！', '短评打分': 1}
{'短评内容': '二楼酒吧够劲爆的。其他还好', '短评打分': 3}
{'短评内容': '环境挺好的，住的舒心。', '短评打分': 5}
{'短评内容': '不好，太差了电话也不能用，地板太差', '短评打分': 3}
{'短评内容': '好 入住快捷舒服 下次还来', '短评打分': 3}
