{'短评内容': '服务很周到！该到长江西路国购广场店了', '短评打分': 3}
{'短评内容': '特价房很一般，马上补钱换了，其余还行。。。。。。。', '短评打分': 5}
{'短评内容': '小，太小了，给我个阁楼，还说大床房，一个人住都嫌拥挤，洗手间更小，水又不能调，差差差！！！下次肯定不去了', '短评打分': 3}
{'短评内容': '房间还行，床大，就是电脑没有摄像头，没有耳麦，刚进去的时候电脑怎么也打不开，需要拔掉电源重新开始通电才可以', '短评打分': 5}
{'短评内容': '临街太吵了。而且单层玻璃，房间太小，潮湿。', '短评打分': 1}
{'短评内容': '酒店位置比较好，办事方便，但房间不大，设施也简单，特别是因临近马路很吵，', '短评打分': 5}
{'短评内容': '酒店位置比较好，办事方便，但房间不大，设施也简单，特别是因临近马路很吵，空调效果不好。', '短评打分': 5}
{'短评内容': '酒店设施不错，交通方便', '短评打分': 3}
{'短评内容': '就是汉庭的配置！感觉一切都不错！......................', '短评打分': 5}
{'短评内容': '交通方便，对面就有城隍庙市场，可以在哪附近吃庐州烤鸭店的小吃，味道不错！就是靠街的房间太吵！', '短评打分': 5}
{'短评内容': '商务大床房空间出奇的小，价格还不便宜，早餐还算不错。交通比较方便', '短评打分': 5}
{'短评内容': '很干净！虽然那晚我住的是阁楼式的特价房，初一看很委屈，但住下来也还好，干净卫生，而且晚上没有“美女热线”骚扰，适合旅行时晚间休息，一个人住洗好澡、洗好衣服后看看电视真是惬意。建议酒店给特价房赠送早餐，不就15块钱吗，别那么小气。', '短评打分': 5}
{'短评内容': '交通方便，一找就找到。房间蛮大的。洗脸间没有门，对着床，有点不好。', '短评打分': 5}
{'短评内容': '价格不算便宜，一个经济型的酒店，不过那个地方也没有什么便宜的酒店了，就凑合的住了，没办法，就这样子', '短评打分': 5}
{'短评内容': '所谓特价房就是一个小隔间，房间很小，五六平方，很矮，大约一米七二，旁边就是工作间，噪音大。热水要等五分钟才能流到，极差', '短评打分': 3}
{'短评内容': ' 还可以吧，总的来说，离市中心比较近，楼下有个小吃一条街~', '短评打分': 5}
{'短评内容': '地理位置很好，环境也不错，服务很好  很方便', '短评打分': 5}
{'短评内容': '服务态度很好，很细心，交通方便，内部设施符合汉庭的风格', '短评打分': 5}
{'短评内容': '不错，超值', '短评打分': 3}
{'短评内容': '服务态度很好~ 以后会经常光顾\n店内设施也非常齐全\n环境也很优美\n如果房间在做些适当的优惠会更好！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很实惠，总体还好，就是朝马路有点吵，隔音效果不好，隔壁讲话能听见，卫生间要注意杀虫，发现地上有好多小冲', '短评打分': 5}
{'短评内容': '交通方便，朝北的房间与另一栋楼间距太小了', '短评打分': 5}
{'短评内容': '还不错，一般，出差住住而已，没有其他什么特别的。', '短评打分': 1}
{'短评内容': '房间有点小，床和书桌之间的距离连个椅子都不能放，其他还算OK，下次应该不会来入住看', '短评打分': 1}
{'短评内容': '干净，舒适,地理位置方便，交通方便，床型很大，空间宽敞', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '服务态度不错，价格也挺便宜，就是房间显得太小，椅子的距离没留好，坐着写东西不舒服', '短评打分': 5}
{'短评内容': '房间干净舒适，服务态度很好，以后还会入住。', '短评打分': 5}
{'短评内容': '环境还可以，房间挺干净的，靠路边的房间有点吵。', '短评打分': 3}
{'短评内容': '酒店内比较干净，设施还可以，就是靠马路边上，晚上有点吵，其他都还算可以', '短评打分': 5}
{'短评内容': '酒店内比较干净，比较安静,设施还算过的去，整体还算不错；', '短评打分': 5}
{'短评内容': '酒店干净，服务不错，房间淋浴水非常好，下次还住这。', '短评打分': 3}
{'短评内容': '感觉挺不错。就是靠马路边，稍微有点吵了', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '服务员的态度还不错。就是酒店的环境实在是一般般。由于靠路边，十分吵。而且宾馆的窗纱还是坏的。晕。\n请前台帮忙换了不靠路边的房间，打开窗户，发现对面楼的窗台触手可及啊。所以，我一直都没敢拉开窗帘。\n快捷酒店都是这样吗？', '短评打分': 1}
{'短评内容': '偶然的机会定在这里,各方面不错,以后会再来住,', '短评打分': 5}
{'短评内容': '地点很好，出门很方便。唯一不好的地方是出租车很难打。', '短评打分': 5}
{'短评内容': '服务不错啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '服务态度不错，卫生情况也还好，离市中心也很近。离机场也不远。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '一如既往的好，汉庭连锁酒店方便快捷，下次去还会选择这家店。', '短评打分': 5}
{'短评内容': '很好酒店在三孝口市中心 旁边商店林立 很方便\n并且可以定餐 推荐', '短评打分': 5}
{'短评内容': '符合汉庭的一贯风格，位置不错。交通便利，网速还可以的', '短评打分': 5}
{'短评内容': '我觉着酒店蛮好，环境挺干净的，服务也很好，设施该有的都有，主要是价格挺合适的。', '短评打分': 5}
{'短评内容': '周边景色不错，也很安静，房间弄得挺干净整洁，在睡眠质量很好。', '短评打分': 5}
{'短评内容': '房间挺干净的，设施也比较齐全，床挺大挺舒适的，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店位置挺好，打车很容易，服务人员态度也很好，感觉很亲切，价格也公道，住的很划算。', '短评打分': 5}
{'短评内容': '房间里收拾的很好，边边角角都很干净，住的很舒服，价格也不贵。', '短评打分': 5}
