{'descr': '性价比很好！  环境不错，装修好后会考虑再次入住！', 'star': 5}
{'descr': '交通方便，在世纪大道地铁站附近，房间虽小，但比较干净，还是那句“上海人的服务态度不要要求太高”', 'star': 5}
{'descr': '在此区域算是性价比可以的了，只是前台的服务态度有待提高。', 'star': 5}
{'descr': '位置不错，就是房间有些小位置不错，就是房间有些小', 'star': 5}
{'descr': '房间挺小的，不过还挺卫生，隔音一般。楼下有面包店。', 'star': 5}
{'descr': '还不错，交通方便，卫生便捷，就是房间较小隔音比较差', 'star': 3}
{'descr': '帮老公订的，老公说房间很差，后悔选了这家，虽然订了168的房间，酒店说没有了调换了258的房间仍然按168价格收费，但是258的房间依然不能令人满意。', 'star': 1}
{'descr': '性价比挺高的，关键是交通很方便！楼下有面包店和便利店，方便快捷。', 'star': 5}
{'descr': '很不错的酒店！值得推荐，服务也很不错！就是没有窗户。。', 'star': 5}
{'descr': '酒店位置不错，交通很方便，由于离办事地点很近所以住这里，酒店比较旧了，卫生间特别滴小，前台的小胖子人不错。', 'star': 5}
{'descr': '  不错挺好的', 'star': 3}
{'descr': '除了隔音的话，其他都可以接受，还不错，附近离商业圈也近', 'star': 5}
{'descr': '对于背包客是适合的，但是对于出差等公务活动的客人，太吵，所有人似乎都在一个大房子里，任何声音都能听到。', 'star': 1}
{'descr': '小巧，简洁，周边环境佳，交通方便，很喜欢。', 'star': 5}
{'descr': '酒店非常不错，虽说有一些瑕疵，但对于寸土寸金的上海来说，是物有所值的，值得推荐！', 'star': 5}
{'descr': '房间太小太小,床对着洗手间.太不值了.建议大家选择其他酒店.', 'star': 1}
{'descr': '房间虽小但还是比较舒适的，前台的服务也不错，周边餐饮很多，价格也不算贵，不足之处在于房间的隔音效果有待提高，走廊上的脚步声都能听的清清楚楚\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '小而舒适，周边餐饮很多，价格也不算贵，像进了自己的小书房', 'star': 3}
{'descr': '不错的酒店，环境不错，价格公道。不错的酒店，环境不错，价格公道。', 'star': 5}
{'descr': '总的感觉还可以，地理位置很好，去地铁方便，处陆家嘴核心区。价钱也能接受，房间有点小。', 'star': 5}
{'descr': '麻雀虽小，五脏俱全', 'star': 3}
{'descr': '一位戴眼镜的工作人员工作很死板，住两天，当时交了200的押金，到第二天的时候竟然把房间门锁了，问其原因，说还要交200押金才给开门。这种服务态度实在太差！！！房间很大个飞蛾一直都在，床上的枕头套也不干净。', 'star': 1}
{'descr': '很不错的一家酒店，交通便利，服务也不错，身份证忘在前台了，还特地送上来，房间虽小，但是设施齐全，干净、整洁', 'star': 5}
{'descr': '房间比较干净 不错', 'star': 3}
{'descr': '性价比高。房间挺干净的。', 'star': 3}
{'descr': ' 入住了，小而齐全，交通方便', 'star': 3}
{'descr': '店不大，但位置优，交通方便，距离地铁2、4、6、9号很近。到浦东办事入住较好。', 'star': 5}
{'descr': '房间相对来说比较小，但是还是比较实惠的，', 'star': 5}
{'descr': '地段不错哦。装潢也挺可爱。。。。。。。。', 'star': 5}
{'descr': '酒店不大不小，位置闹中取静，交通极其方便。\n文化气息浓厚，服务温馨、周到、仔细，服务员水平贼高，直接用英语跟老外侃！！！\n最关键的是，在上海这个寸土寸金的地方，这个酒店的价格堪称“物美价廉”，背包族门可千万不要错过哦。\n推荐推荐！！！', 'star': 5}
{'descr': '比较不错，值得推荐，唯一不足我住的那间晚上噪音大', 'star': 5}
{'descr': '小巧、整洁，地处繁华区，各方面都很方便。', 'star': 3}
{'descr': '网速太慢，基本不能上网浏览；  卫生间使用不便', 'star': 5}
{'descr': '酒店房间很适用，但靠街边的会吵一些。枱板不平杯子会滑下来。。。总之还是很舒适的', 'star': 5}
{'descr': '干净', 'star': 3}
{'descr': 'TO BE HONEST挺喜欢的，因为位置好，交通便利，周围各种吃喝逛，但是房间真是小的可以。。。还有床也小，不过谁让它是单人间呢。。。', 'star': 5}
{'descr': '位置不错，价格比较好啊，以后会向朋友推荐的', 'star': 5}
