{'短评内容': '早就买了，忘记评论，不错', '短评打分': 5}
{'短评内容': '房间挺好的，环境也不错，价有所值', '短评打分': 5}
{'短评内容': '位置好，离万达近在咫尺。', '短评打分': 5}
{'短评内容': '这回安排的房间不错，暖和、安静。', '短评打分': 5}
{'短评内容': '干净卫生，比较安静！', '短评打分': 5}
{'短评内容': '前台服务太差了，住了不是一次两次了，去前台办理入住连个笑模样都木有！', '短评打分': 5}
{'短评内容': '酒店位置很好、', '短评打分': 5}
{'短评内容': '很不错的商务酒店', '短评打分': 5}
{'短评内容': '很不错的商务酒店', '短评打分': 5}
{'短评内容': '很不错的商务酒店', '短评打分': 5}
{'短评内容': '房间正常  不过我那个没空调', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '很干净，不错不错，值得入住！！！！', '短评打分': 5}
{'短评内容': '256625893', '短评打分': 5}
{'短评内容': '经常入住的酒店，地理位置跟好，就在万达旁边，很满意', '短评打分': 5}
{'短评内容': '还行吧，就是没有照明', '短评打分': 5}
{'短评内容': '位置好，吃饭方便，设备一般，性价比还可以', '短评打分': 5}
{'短评内容': '很好。住的很舒服。', '短评打分': 5}
{'短评内容': '这个酒店不错的，可惜这次没订上', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好吧，有点老了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好的酒店！', '短评打分': 5}
{'短评内容': '整体环境不错', '短评打分': 4}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '便宜实惠！出差住的很方便，很好。', '短评打分': 5}
{'短评内容': '还行吧，价格贵了点', '短评打分': 4}
{'短评内容': '前台服务一般。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '万达广场旁边，吃饭购物出行都很方便，离火车站也近。', '短评打分': 5}
{'短评内容': '环境和服务都很好，早餐还可以。总的感受是廊坊那边不错的酒店，下次还会选择。', '短评打分': 5}
{'短评内容': '周遍安静,环境不错', '短评打分': 4}
{'短评内容': '很干净…很好………推荐wwwwwwwwwww', '短评打分': 5}
{'短评内容': '一周内住了三次，网银的U盾丢房间，服务员及时提醒了我，很不错的酒店，下次出差首选！\n', '短评打分': 5}
{'短评内容': '总体感觉不错，是新酒店，位置就在万达广场的西北角，广播大厦对面。', '短评打分': 5}
{'短评内容': '很不错的酒店，距离万达广场5分钟的路程，周边在施工，未来会更繁华', '短评打分': 5}
{'短评内容': '酒店很新和，设施高档，服务态度好！下次出差首选时尚旅', '短评打分': 5}
{'短评内容': '新酒店  性价比很高  设备很新  床很舒服 干净  就是中央空调有些不给力  可能是个别房间', '短评打分': 5}
{'短评内容': '不错，环境很好', '短评打分': 3}
{'短评内容': '新酒店，房间内有点装修的味道，但设施设备还是蛮时尚的；早餐免费的，还可，但若真收费38元/位，不划算；客服人员非常热情，特别是保安大哥，和我抢着要拿我的行李，呵呵、、、赞一个！这价位及地段，还是值得推荐的。\n', '短评打分': 5}
{'短评内容': '不错的酒店，干净，清静。室内陈列尚可。', '短评打分': 3}
