{'短评内容': '一分钱一分货', '短评打分': 4}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '价格挺实惠的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '网络不稳定，有点吵，周围倒是很方便', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '便', '短评打分': 3}
{'短评内容': '晚上睡觉噪音太大', '短评打分': 4}
{'短评内容': '房间很小，卫生也不理想，保洁人员打扫卫生，房间门打开，前台服务态度很差，尽管地理位置较佳，但是也不会再住了。', '短评打分': 3}
{'短评内容': '性价比还不错', '短评打分': 4}
{'短评内容': '酒店卫生一般，房间有霉味！设施一般，一次性拖鞋没有！', '短评打分': 2}
{'短评内容': '环境不理想，卫生差，勉强住一晚可以接受', '短评打分': 4}
{'短评内容': '貌似 网速不是很给力 出差的朋友 需要网速的注意下 这个网速 真的狠让人蛋疼哈', '短评打分': 1}
{'短评内容': '各项都还不错,就是热水没有24小时供应.............', '短评打分': 5}
{'短评内容': '不错，总体来说，面积不大，但卫生很好，也安静，服务也不错，性格比高。还了一个新员工，她人很热情，态度也好，但业务不熟，希望以后酒店能让员工先培训再上岗。', '短评打分': 5}
{'短评内容': '，热水分时间段加压，有点不太方便。房间里有一些味道。不过还好。价格便宜。', '短评打分': 3}
{'短评内容': '酒店环境一般，设施很旧了，洗手间小，水压也小，最受不了的是洗嗽用品还要收费，房间价格还不便宜，性价比不高。', '短评打分': 3}
{'短评内容': '还可以，对得起这价格，有需要的话，下次再来', '短评打分': 5}
{'短评内容': '酒店所在的位置相对来说是便宜的，周围买东西很方便', '短评打分': 5}
{'短评内容': '还不错，房间打扫的很干净，所在的位置也比较安静', '短评打分': 5}
{'短评内容': '只能够说招待所水平', '短评打分': 3}
{'短评内容': '想比较这个价格，酒店设施和服务都还不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，地铁、中心公园都在附近，离华强北也很近。酒店设施虽然有些老，但配置都还齐全，服务也比较周到，很值住店的价格。最重要的是酒店可将预订房间保留到晚上12点，对于我这样无论乘飞机还是坐火车都会很晚到达深圳的人来说，这点无疑是个福音。', '短评打分': 5}
{'短评内容': '酒店还不错，服务态度好', '短评打分': 3}
{'短评内容': '入住第三次了，冬天入住就有点受不了，热水太冷了，加了压还是很冷！服务和价格还是很不错的！', '短评打分': 5}
{'短评内容': '环境实在不好说。\n晚上噪音比较大，房间布局不合理，空间显得压抑。洗浴热水有时间段限制。\n但是，对得起这个价钱了。\n', '短评打分': 1}
{'短评内容': '酒店经济大床房很不错，有点小公寓的味道，很干净舒适，而且透气也很好，不错赞一个！', '短评打分': 5}
{'短评内容': '价格便宜，不过老了点，一般住住还行。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境一般设施比较陈旧', '短评打分': 3}
{'短评内容': ' .很好离福田口岸打的十多元.食店休闲都方便.购物也多.下次还住.是小的房间基本有送早餐.可我早出门放弃.房价可值.', '短评打分': 3}
{'短评内容': '服务态度很好，有什么疑问他们都会一一帮你解答！\n平、靓、正！！就是房间比较小', '短评打分': 5}
{'短评内容': '没停车场,房间有点旧!服务态度好,早点准时', '短评打分': 3}
{'短评内容': '酒店环境还算可以，交通也算过得去，第二次住了！！', '短评打分': 5}
{'短评内容': '房间小，卫生好，服务好．谢谢！', '短评打分': 3}
{'短评内容': '感觉很不错，别忘了快递发票呀，谢谢！', '短评打分': 3}
{'短评内容': '很好，干净，服务好', '短评打分': 3}
{'短评内容': '比较经济型的酒店，交通也方便。只是B套的窗不太好。推荐对面的双人套间。', '短评打分': 5}
{'短评内容': '临街但店内安静.卫生也好.但床垫太硬.不太舒服!', '短评打分': 3}
{'短评内容': '态度很好,地理位置也很方便,但是床单上赫然出现许多血渍,,,建议老板在床上用品清洁上改进方法或者更换更勤,真的看到很不舒服,,,', '短评打分': 3}
{'短评内容': '房间太小，卫生还可以，没有晾衣服的地方，早餐是面包和牛奶水果，服务还可以，位置对于我来说还比较方便，就是周边的饭店没有比较合适的。总体说号可以！', '短评打分': 5}
{'短评内容': '干净还是可以的，不过附近噪音很吵，外加房间里好像有滴水的声音，但检查没发现有漏水的情况，要是没有这个滴水的声音效果会好很多，服务还算可以吧，比较实惠，下次出差还会考虑', '短评打分': 1}
{'短评内容': '＋价格适中，干净整洁', '短评打分': 3}
{'短评内容': '位置还不错，就是设施有点破，不过对得起158的价格。没有停车场，需要花钱在附近的停车场停放。', '短评打分': 5}
{'短评内容': '出差可以，旅游差点，很方便，但是我没逛街，不知道怎么走，哈哈\n\n', '短评打分': 5}
{'短评内容': '值得一住，经济实惠，干净卫生。下次去那边还入住该酒店。', '短评打分': 5}
{'短评内容': '离皇岗口岸不算远，但就是房间太小了。感觉不太透气。', '短评打分': 1}
{'短评内容': 'Front desk service good, but then housekeeping service was poor due to lack of politeness, price is reasonable and clean. reasonable motel', '短评打分': 1}
{'短评内容': '出差可以，旅游差点，很方便，但是我没逛街，不知道怎么走，哈哈', '短评打分': 5}
{'短评内容': '房间太小，洗手间更小，房间内没有椅子，必须要坐在床上。电视有时开不了，要等到沖凉完才开始有少许暖水。', '短评打分': 3}
{'短评内容': ':酒店虽在热闹地区,但入住的环境一般般,离深圳皇家口岸很近,交通便捷,但不能接受的是,入住的销费没有信用卡支付功能.', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '这个标准的条件价格偏高了点', '短评打分': 3}
{'短评内容': ' 经济', '短评打分': 3}
{'短评内容': ' 酒店环境还可以 只是房间较小 但送每日早餐 酒店服务还好 周边餐饮购物方便', '短评打分': 3}
