{'短评内容': '太差了，热水没有，马桶漏水。设施差', '短评打分': 1}
{'短评内容': '差，霉味太重。', '短评打分': 2}
{'短评内容': '临时确定出游，没有找到好一点的酒店，到西昌火车晚点，西昌的滴滴很扯蛋，去酒店还要加价比出租还要黑。酒店一般吧，也就在那里睡一个觉，第二天换酒店。', '短评打分': 3}
{'短评内容': '陈旧。', '短评打分': 3}
{'短评内容': '厕所里面全是黑色的小虫', '短评打分': 3}
{'短评内容': '还算可以吧', '短评打分': 3}
{'短评内容': '酒店在市中心，步行街里面，不是很好找，周围很热闹，好吃的很多，酒店顶楼的老房间环境较差，底楼的房间还讲究，老板到热情，店员很死板，铺盖打开就不给换房间了，说清洁工下班了每人整理，我晕，喜欢猪脚面，旁边的特色老中餐，还好不热，一片吊扇', '短评打分': 4}
{'短评内容': '床铺，空间，电视，网络都不错。唯独卫生间浴室不好，水小，早上没热水。洗脸池下水管漏（入住这间）', '短评打分': 4}
{'短评内容': '酒店服务员态度极差，我住了两天，两天早上都看到服务员跟客人吵架，房间马桶漏水， 空调遥控器是坏的，烧开水的电水壶也是坏的，热水是24小时没有，住酒店句然到朋友家去洗澡，二百多块钱一天的酒店属于好的，可是这家酒店连一百元的小旅馆都不如，总之这家酒店差；是非常的差', '短评打分': 1}
{'短评内容': '插座、换气扇全是坏的，被子也不干净，停车要走10多分钟。最后退房还硬生生把坏了的热水壶强加在我们身上。总之感觉被骗了', '短评打分': 1}
{'短评内容': '酒店很舒适很干净也很舒服， 以后还会来。', '短评打分': 3}
{'短评内容': '酒店很舒适也很干净，值得推荐。', '短评打分': 3}
{'短评内容': '很舒适，也很干净，每个星期比不多都要去一次。', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '非常好虽然在巷子里但是很好找', '短评打分': 3}
