{'短评内容': '很不错哦', '短评打分': 5}
{'短评内容': '不能加床的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '可以，服务很好', '短评打分': 5}
{'短评内容': '差差差差差', '短评打分': 2}
{'短评内容': '啦啦啦啦啦啦(✪▽✪)挺好的~网上订便宜好多~', '短评打分': 5}
{'短评内容': '酒店房间太小，没有窗子！！', '短评打分': 4}
{'短评内容': '房间挺宽敞的。这个价格也算比较合理，距西南民族大学很近。', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '非常不错非常不错哦', '短评打分': 5}
{'短评内容': '服务态度各种差，问前台要蚊香都没有，跟我说用完了。。。', '短评打分': 3}
{'短评内容': '交通 吃饭都很方便 ', '短评打分': 5}
{'短评内容': '服务态度一般，卫生还行，就是没有蹲便。', '短评打分': 4}
{'短评内容': '就是招待所吧，周围环境不行...........', '短评打分': 3}
{'短评内容': '住了五年了，现在来讲已经有点旧了', '短评打分': 3}
{'短评内容': '除了没有吹风机很恼火以外，别的都不错！', '短评打分': 5}
{'短评内容': '还行，亲自打电话问情况', '短评打分': 3}
{'短评内容': '房间空间够大还可以，就是洗浴室地漏漏水太差，洗澡水流不走，洗完澡像游泳样～', '短评打分': 3}
{'短评内容': '地理位置很巴适，价格合理，里面的卫生也很不错。', '短评打分': 5}
{'短评内容': '酒店够大，够干净，下次还会来。', '短评打分': 3}
{'短评内容': '房间不错！', '短评打分': 3}
{'短评内容': '网上只能定商务间这个不好，房间的话比同价位汉庭好，不过不提供早餐，那么就差不多一样了', '短评打分': 5}
{'短评内容': '房间很大，价格也算合理，可住的时商务房，里面没有宽带，只有无线网络，而且网速慢得很，可以说是龟速了......', '短评打分': 1}
{'短评内容': '交通便利，出行方便。所住7层卫生间浴室的排水不是很好。', '短评打分': 5}
{'短评内容': '好好啊好好啊好好啊好好啊好好啊好好啊好好啊好好啊', '短评打分': 5}
{'短评内容': '酒店最在楼宇环境一般，但房间挺干净，性价比高，个人出行可以考虑！', '短评打分': 5}
{'短评内容': '酒店设施新，卫生条件好，方便旅游团接送。强烈推荐！', '短评打分': 5}
{'短评内容': '该酒店装修新，卫生好，服务到位，有家的感觉，出行方便。', '短评打分': 5}
{'短评内容': '非常好，很舒适...服务也很周到..关键是很方便！', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 3}
{'短评内容': '新开业不久，房间内的卫生做得特别到位，干净且整洁，住着也特别踏实.', '短评打分': 5}
{'短评内容': '室内条件还不错，而且服务也好，唯一不足就是没有停车场，自驾有些不便.', '短评打分': 5}
{'短评内容': '房间挺新的，设施还算不错，住着舒适，使用方便.', '短评打分': 5}
{'短评内容': '空间不是很大，不过设施都比较新，可能是开业的原因吧，整体感觉还不错.', '短评打分': 5}
{'短评内容': '性价比还算不错，整体来讲印象还是挺深的，适中，适合的人群也是挺多的.', '短评打分': 5}
{'短评内容': '酒店还是很一般，设施很简单没有说的好，位置还好，也没什么服务人员，就是一个很普通的旅馆，价格也很贵。', '短评打分': 1}
{'短评内容': '很普通的商务酒店，前台也特别小，房间还是比较新的，打车也不是太方便，价格还好比较合适。', '短评打分': 3}
{'短评内容': '卫生还不错  性价比也可以 新的酒店刚开始好 不知道以后怎样', '短评打分': 5}
{'短评内容': '成都为民商务酒店房间有点小，家具都是新的，空气有点不流畅。主要是没有停车场。性价比没有优势。优势就是是2010年9月开张的。 \n', '短评打分': 5}
{'短评内容': '房间有点小，家具都是新的，空气有点不流畅。主要是没有停车场。性价比没有优势。优势就是是2010年9月开张的。', '短评打分': 5}
