{'短评内容': '房间卫生很好   房间很大', '短评打分': 5}
{'短评内容': '会场插进去，80年代的房子。', '短评打分': 1}
{'短评内容': '比较大和实惠', '短评打分': 5}
{'短评内容': '房间挺大的，', '短评打分': 4}
{'短评内容': '吃饭很方便', '短评打分': 5}
{'短评内容': '就是房卡有点吓人', '短评打分': 5}
{'短评内容': '入驻花桥这，这家酒店性价比比较高，属于公寓，，房间自然比一般酒店大很多，，楼下都是小吃店，，公交也在门口，，挺好', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '就是一间公寓型酒店，房间比较大，但是设施比较老旧，入住那晚有人唱家庭KTV到半夜2点，让人根本无法入睡，一点公德心都没有，祝福他隔天出门被车撞！', '短评打分': 3}
{'短评内容': '住着很好，周围也很热闹', '短评打分': 5}
{'短评内容': '可以还可以，关键是今天来得太早，明天9点就会被逼退房', '短评打分': 3}
{'短评内容': '性价比较好。还不错。', '短评打分': 3}
{'短评内容': '不错的选择…………房间比较大', '短评打分': 3}
{'短评内容': '蛮不错  房间蛮大的', '短评打分': 3}
{'短评内容': '比对面的蓝天好一点，但价格也不便宜。唯一的缺陷是大楼没管理，酒店房间与很多商业公司和住户穿插在一起的。', '短评打分': 3}
