{'短评内容': '不错，就是设施有点陈旧，环境不错，停车很方便，', '短评打分': 5}
{'短评内容': '酒店停车很方便，地理位置也不错，周边很热闹，公交云集，还有一个一站式的商圈，离木渎古镇大概三站公交，吃喝玩乐就近解决了', '短评打分': 5}
{'短评内容': '离天平山不远，酒店有个洗浴中心，停车不是很方便，晚上车位找了很久', '短评打分': 4}
{'短评内容': '离天平山不远，酒店有个洗浴中心，停车不是很方便，晚上车位找了很久', '短评打分': 4}
{'短评内容': '离天平山不远，酒店有个洗浴中心，停车不是很方便，晚上车位找了很久', '短评打分': 4}
{'短评内容': '房间干净，服务尚可。设施有些时间了，整体还算可以。', '短评打分': 4}
{'短评内容': '酒店挺大的。但是屋内的设施比较旧。', '短评打分': 4}
{'短评内容': '环境还不错，设施略旧', '短评打分': 4}
{'短评内容': '酒店位置稍偏，环境好，安静', '短评打分': 5}
{'短评内容': '感覺還是挺舒適', '短评打分': 5}
{'短评内容': '作为乡镇上的准4星酒店 还是不错的。', '短评打分': 5}
{'短评内容': '非常不满意', '短评打分': 1}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': ' 大堂蛮宽敞，房间很普通，床太硬，服务态度一般。', '短评打分': 3}
{'短评内容': '装修旧，服务落后，早餐差，全部外包的，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '有点老旧，设计非常超前，现在看起来不算好，当时肯定非常不错，值得推荐。靠近香港街非常繁华', '短评打分': 5}
{'短评内容': '房间不错，很干净，有家的感觉。', '短评打分': 3}
{'短评内容': '酒店非常大，各方面都还过得去，到古镇的话可以在门口乘坐公交车，也可以坐三轮车.比起香港街的酒店要安静很多，当然便利程度会相应地差一点.之前我本想住在香港街的，幸亏没住，因为香港街距离古镇也还有相当一段距离.', '短评打分': 5}
{'短评内容': '酒店价格便宜信价比还是可以的，就是早餐不行，品种少味道也不怎么样', '短评打分': 5}
{'短评内容': '酒店大堂巨大无比,比五星级的都大,是我住过的酒店中最大的一个.', '短评打分': 5}
{'短评内容': 'DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD', '短评打分': 5}
{'短评内容': '价格很实惠，早餐东西比较多。', '短评打分': 1}
{'短评内容': '环境不错，隔音效果不好！', '短评打分': 3}
{'短评内容': '环境不错，感觉很舒适，下次还可以考虑来住', '短评打分': 5}
{'短评内容': '经常住在这里，比较方便，就是电视机太久了点。 早餐比较一般\n', '短评打分': 5}
{'短评内容': '很老的酒店，还4星！忽悠人！这样的酒店推荐给客户，客服小姐也太不负责任！', '短评打分': 1}
{'短评内容': '感觉酒店设施有点老了，达不到四星级的标准，我定的大床间感觉房间也小', '短评打分': 1}
{'短评内容': '木渎镇上为数不多的高端酒店，但是无论是硬件还是软件都有愧于这4星标志。', '短评打分': 1}
{'短评内容': '房间宽畅舒适，卫生干净整洁，但装潢陈旧。', '短评打分': 3}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '过时的四星，设施太老了', '短评打分': 3}
{'短评内容': '酒店大厅不错，比较气派，客房稍小，简陋一下，总体比较干净，前台和网络服务人员态度都很好，停车有点麻烦，住店的居然让我们停后面路上，不太好。总体不错！', '短评打分': 5}
{'短评内容': '在苏州繁华的木渎镇，这种酒店算是很好的了。服务还算不错，房间设施也很好。就是周边出租车少，早晨出门打车费事。最好酒店能以后提供到市区的工勤车，帮助客人进城。', '短评打分': 5}
{'短评内容': '大堂可以，客房一般', '短评打分': 3}
{'短评内容': '还不错的酒店，在木渎附近应该算最好的酒店了，房间也比较大，游泳池也还可以，离花苑街很近，很热闹，唯一不足的地方就是早餐比较一般。', '短评打分': 5}
{'短评内容': '经常住在这里，比较方便，就是电视机太久了点。', '短评打分': 5}
{'短评内容': '这家酒店相当给力，标准四星级酒店，服务一流，房间宽敞，就是电视太不给力了，还是老式巅峰。', '短评打分': 5}
{'短评内容': '马马虎虎凑合着呗，反正在苏州没遇到好点的四星级酒店，俺们又住不起五星。', '短评打分': 5}
{'短评内容': '房间设施老的无法形容，像是上世纪90年代的宾馆，电视机竟然是21寸纯平的，沙发脏的从蓝色变蓝黑了，标间还要348，我看200都不值，而且还说4星级，我看能达到2星就已经不错了。', '短评打分': 1}
{'短评内容': '挺好的，可惜离市区偏了点，不然我就常住了。', '短评打分': 5}
{'短评内容': '挺不错的，很满意，就是感觉有点偏，出去逛街什么不是很方便。', '短评打分': 5}
{'短评内容': '在木渎镇，早餐挺好的，房价有一点旧，服务还可以吧。去市区打车大约30多。有室内游泳池，10元一位，室外的不开放。', '短评打分': 5}
{'短评内容': '位于吴中区，周边比较热闹，吃饭及交通较为方便，有游泳池，很好！', '短评打分': 5}
{'短评内容': '位于木渎古镇，环境优美，周边非常热闹，值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，在疯狂地郊区，老过瘾了。不错的酒店，在疯狂地郊区，老过瘾了。', '短评打分': 5}
{'短评内容': '端午节入住了木渎天平大酒店感觉地理位置不错,而且可以在酒店买到木渎古镇的折扣门票很方便,但是酒店的硬件设施较为陈旧达不到四星标准.', '短评打分': 3}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '物超所值价格低廉', '短评打分': 3}
{'短评内容': '环境舒适，客房也够宽敞，不会给人压抑的感觉', '短评打分': 5}
{'短评内容': '大堂装修得有点气魄，可惜房间比较简陋，早餐也很一般', '短评打分': 1}
{'短评内容': '酒店的大唐装修得不错，但是房间很一般，仅仅是普通装修', '短评打分': 5}
{'短评内容': '虽然比较旧，但还是比较干净和安静的 ，住在那里比较合适', '短评打分': 5}
{'短评内容': '还是不错的，挺干净，也挺安静的，有点旧了就是', '短评打分': 5}
{'短评内容': '在木渎地区算是一个很不错的酒店,交通很方便.就是房间设施旧了点.', '短评打分': 5}
{'短评内容': '位置很好，价格合理！服务周到！开心最好！', '短评打分': 5}
{'短评内容': '太旧', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '在这个镇上算是不错的了，比市内的还是有差距的，', '短评打分': 5}
{'短评内容': '性价比不错，干净，设施还可以，下次还会再去，推荐', '短评打分': 5}
{'短评内容': '环境优美，周围旅游景点多，早餐尚可，值得推荐！', '短评打分': 5}
{'短评内容': '  酒店房间大、场地大、还有大泳池，满意！', '短评打分': 5}
{'短评内容': '室外很凉爽，但房间里闷热难忍，9月末酒店为了省钱竟然把中央空调都停了。跟前台交涉，竟然让我把门窗打开通风降温！348元一晚的价格就这待遇！', '短评打分': 1}
{'短评内容': '值得住住，就是餐厅的实物一般般，偏贵，有待改进。', '短评打分': 5}
{'短评内容': '酒店设施稍微旧一点。比较安静，服务还可以。', '短评打分': 5}
{'短评内容': '内部环境还行吧，位置还算可以但是比较偏，价格还是有些贵，服务态度还可以。唯一一点不好的就是房间空调不是太制冷。', '短评打分': 5}
{'短评内容': '内部环境还行吧，位置还算可以但是比较偏，价格还是有些贵，服务态度还可以。唯一一点不好的就是房间空调不是太制冷。', '短评打分': 5}
{'短评内容': '卫生设施还行，服务态度也还可以，位置不是太好找，价格还是比较不错的。感觉还行吧。', '短评打分': 5}
{'短评内容': '整体来说很不错的酒店，房间很干净，配套设施完善，服务员态度热情周到，性价比很高，下次还会入住。', '短评打分': 5}
{'短评内容': '价位还算适中，设施有些陈旧.在苏州这家酒店还算可以.综合水平蛮高的.', '短评打分': 5}
{'短评内容': '在木渎镇的北边，交通位置一般，不是很方便，作为四星酒店，价格不贵。商务旅行比较适合，作为旅游来说位置不是很好，出行不是很方便。', '短评打分': 5}
{'短评内容': '有點舊, 不过整体還可以, 都是貴了一点', '短评打分': 5}
{'短评内容': '这个四星级酒店这个价格来说还可以接受，环境和服务都还不错，虽然离火车站不是很近，但是交通还是比较方便的，有一点不好，就是他们浴室的洗发水不好用。', '短评打分': 5}
