{'短评内容': '酒店连香皂都没有，反正不咋地。', '短评打分': 3}
{'短评内容': '不好，一点都不好', '短评打分': 3}
{'短评内容': '位置是在居民区里，很安静，隔音很好，周边吃饭的地方很多，前台服务热情，打扫卫生的服务员也是周到细致，值得推荐的酒店。', '短评打分': 5}
{'短评内容': '床单和家具啊都是新的 很干净 周围交通也方便 这个价位在北京住很超值 我很满意', '短评打分': 5}
{'短评内容': '在附近考试，住了一晚，周围还比较方便，房间的桌子和灯光都不错。', '短评打分': 5}
{'短评内容': '前台服务好，酒店环境舒适', '短评打分': 4}
{'短评内容': '交通比较方便，卫生可以，就是房间比较小，隔音差，价格便宜', '短评打分': 4}
{'短评内容': '酒店位置一般，不过进去之后，里面的设施和卫生都不错，服务态度也很热情，就是房间太小了。周边各种小吃，生活挺方便。', '短评打分': 4}
{'短评内容': '预定后免费升级了✌，惊喜', '短评打分': 5}
{'短评内容': '经常来住，很不错，人也都很好，房间也干净。', '短评打分': 5}
{'短评内容': '老顾客了，每次去北京都住那里，即使离工作地远了也会打车过去，就像回家一样，环境好，卫生干净，出门这么多年，这个是我和老公最满意的，性价比超高，而且服务也很好，不是托，真心好', '短评打分': 5}
{'短评内容': '将就一晚还可以', '短评打分': 4}
{'短评内容': '酒店还可以，就是房间小点，不过很温馨。总体还可以吧。', '短评打分': 4}
{'短评内容': '装修挺不错的也很干净就是隔音有点不好', '短评打分': 5}
