{'短评内容': '酒店服务可以', '短评打分': 4}
{'短评内容': '可以，很好。', '短评打分': 5}
{'短评内容': '环境非常好、性价比很高', '短评打分': 5}
{'短评内容': '位置可以，其他普通。', '短评打分': 4}
{'短评内容': '早餐太差，停车很不方便', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '旧酒店，90年代风格。', '短评打分': 3}
{'短评内容': '周边环境还可以，交通也方便，房间够大，就是设施老旧', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '很老的宾馆在修路不是很好找，需要绕行才能到！有专用停车场方便开车的旅客。酒店打扫卫生十分快捷，附近吃早饭很多！', '短评打分': 4}
{'短评内容': '快捷酒店水平eeeeeeeeeeeeeeeeeeedeedddeddddddddddddddddddddddddcccccccccccccccxccddddddddd', '短评打分': 1}
{'短评内容': '比较旧的！就周围吃东西方便', '短评打分': 4}
{'短评内容': '硬件不错，房间大，看电视得用望远镜。早餐比较简单。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境卫生好 出行方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
