{'短评内容': '还可以，满意。', '短评打分': 5}
{'短评内容': '房间略偏小，挺干净的，早餐简单，不过也还好了，找了好几个如家都没有早餐，下次过来还会入住，性价比较高', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '下单了，没房。。。。如家的人手也快，我说其他平台可以下单，直接给封了。。。如家，你这么厉害，京东知道么？？？？', '短评打分': 1}
{'短评内容': '如家如家，真是如家，物有所值。', '短评打分': 5}
{'短评内容': '不好没有预定上 作*', '短评打分': 5}
{'短评内容': '非常好啊 干净舒适 位置方便', '短评打分': 5}
{'短评内容': '服务很好。因为行程有变，京东帮忙联系，还真给取消了，真心赞一个。', '短评打分': 5}
{'短评内容': '去杭州考试，在如家住一晚，特意选了没标无窗的房间，以为这样就表示我真的选了一间性价比极高好房间。走到房间才知道，这个房间是没有窗的，不要告诉这种连着走廊，被玻璃封住，看不到外面的玻璃墙叫窗。除此之外，服务也次了些，想洗头，水太凉，结果打了两个电话才来技术人员。其他挺好，净水器和房间装修都很喜欢。', '短评打分': 4}
{'短评内容': '出差住的，可以，性价比还不错', '短评打分': 4}
{'短评内容': '没有很干净就是了～～', '短评打分': 4}
{'短评内容': '如意艮山店交通便利，火车东站近在咫尺，各景点换剩方便，酒店卫生舒适，前台服务态度佳，酒店价格实惠，', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店整体不错，但是周边受到高架的影响，交通和店面一般，距离地铁站有一定距离，但是时间若是充足那么入住该酒店是个不二选择安静，舒适，性价比也高。', '短评打分': 5}
{'短评内容': '还算不错', '短评打分': 4}
{'短评内容': '还可以。地点还是离火车站太远，交通不便。', '短评打分': 4}
{'短评内容': '经常去的如家，东站附近这家最干净', '短评打分': 5}
{'短评内容': '不错。还可以', '短评打分': 5}
{'短评内容': '地理位置较好，离火车东站比较近，打车起步价，周边也有吃饭的地方，比较方便，店内设施还行，总体感觉还可以。', '短评打分': 5}
{'短评内容': '满好的酒店、服务卫生都不错', '短评打分': 3}
{'短评内容': '比较实惠，在杭州的东边，西湖在杭州的西边，所以价格还可以，附近吃饭比较方便', '短评打分': 5}
{'短评内容': '环境很好，很干净，而且有wifi，坐公交的话交通也比较方便', '短评打分': 5}
{'短评内容': '性价比很好，服务员态度很好，好评', '短评打分': 3}
{'短评内容': '特价房，总体还行吧。门有点坏，要使劲才能关上。浴间排水不好，洗一会儿，就积了好多水。最后一天早上洗澡的时候，竟然没有冷水,全是热水啊！！住的一楼，窗户靠走廊，隔音效果特别不好。', '短评打分': 1}
{'短评内容': '蛮好的，周边环境也不错，酒店服务特别好，房间够大，床也够大，很干净，这个价位，住着蛮不错的！真的很不错！！！！！！', '短评打分': 5}
{'短评内容': '服务很好 房间很大 住的也舒服 就是蚊子好多 早餐也不好吃 希望改进', '短评打分': 5}
{'短评内容': ' 挺干净的', '短评打分': 3}
{'短评内容': '位置还不错，各方面都方便。交通也方便。如家各方面都不错，早餐不是自助的，改成套餐的。可以减少点浪费。还不错。天天有隔门缝塞的广告。', '短评打分': 5}
{'短评内容': '不错，房间很大很舒适，住的是特惠房在一楼，除了早上稍微有点吵别的都很好，设施也不错，值得推荐！', '短评打分': 5}
{'短评内容': '酒店很不错，和老婆是上午11点到的，本来预定的是商务大床房，到了之后由于没有空的，直接免费给我升级为数码商务大床房。酒店房间很干净，空调 电视机还是卫生间都不错。酒店旁边没多远也有超市，买点零食吃的也方便，而且酒店出门几百米就是闸弄口新村站，很多公交车，打车也方便。推荐入住哈', '短评打分': 5}
{'短评内容': '很不错的，地段，价钱，服务，各方面都非常好，优其是花那么少的钱还能得到这样的待遇，让你非常舒服，房间也很，电视机旧了，听说，现在正在改换，服务员的态度也很好，每天都会有人主动来找你打扫房间，服务态度超好！！！！', '短评打分': 5}
{'短评内容': '除了交通不太方便，其他还不错，店里工作人员都很热情。', '短评打分': 3}
{'短评内容': '不错！环境很好！服务员态度也很好！大家可以放心的入住！', '短评打分': 5}
{'短评内容': '杭州艮山西路店不太好找，因整条艮上西路上几乎是没有门牌的，大热天里来回找，很狼狈。不过酒店还可以，很干净。', '短评打分': 3}
{'短评内容': '整体感觉不错，很温馨，酒店的服务、卫生都不错', '短评打分': 5}
{'短评内容': '服务态度很好，服务员很有礼貌，房间很干净', '短评打分': 5}
{'短评内容': '酒店环境差，还有味道，屋内还感觉潮湿，周围也没什么好地方去的，', '短评打分': 1}
{'短评内容': '地理位置优越，设施齐全，服务到位，美中不足的是早餐的品种少了点', '短评打分': 5}
{'短评内容': '价格便宜,服务周到.', '短评打分': 3}
{'短评内容': '特惠房环境还行，就是潮湿！', '短评打分': 3}
{'短评内容': '总体来说服务是比价好的，价格实惠前台态度好。环境也不错，就是交通不是特别方便，不过在杭州这样的旅游的城市这种价格地段已经是不错了。', '短评打分': 5}
{'短评内容': '酒店存在问题：1.位置较为偏僻，前台人员声称该酒店离西湖、南山路等热门景点很近，其实较远，乘车不便。2.酒店的环境及设施是我所入住的如家酒店里最差的：室内装潢简陋、室内潮湿、蚊蝇较多、老式的电视发出较大的噪音、卫生条件较差，具体表现为：刚进屋时就发现地垫又脏又湿，床单和被罩上有他人毛发，非常恶心。3.前台人员服务尚需提升：无法准确解释乘车路线。\n酒店的优势：价格较便宜，仅此而已', '短评打分': 1}
{'短评内容': '这个价格在杭州还行。。但我住的是特惠房，在一楼。有点小吵。卫生条件还不错。反正就是经济干净型的。', '短评打分': 5}
{'短评内容': ' 不错~酒店服务态度也不错', '短评打分': 3}
{'短评内容': ' 床挺大但离西湖太远了', '短评打分': 3}
{'短评内容': '舒服又温馨，有家的感觉，服务员态度特好，整体感觉很好。', '短评打分': 5}
{'短评内容': '离西湖5公里，火车站也是5公里，但如果你是去下沙工业区的话，住这里最合适，门口就有快线可以直接到，很方便。酒店环境是如家一贯的风格，干净整洁，就是早点种类太少。', '短评打分': 5}
{'短评内容': '卫生很好。环境还行', '短评打分': 3}
{'短评内容': '服务态度还行。卫生很好。', '短评打分': 3}
{'短评内容': '离杭州站挺近的，打的二十，房间灯光、设施都还不错。重要的是一百五以下能入住，实属物美价廉。要是有网，就更好了', '短评打分': 5}
{'短评内容': '好的方面:干净,热水大,价平.\n不太好的方面:床的舒适度差些,电视机是老式的玻管的,有二只蚊子(6月9日入住,因考虑孩子,所以没用电蚊香,但第二天孩子手臂上有好多蚊血点.)\n总评:实惠,还舒适.', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 3}
{'短评内容': '基本上环境还可以，就是有点偏。服务态度也还好，但是中午入住有点贵', '短评打分': 5}
{'短评内容': '位置有点偏，特惠房环境不太好，很是吵，服务不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通也很方便，就是特惠房比较吵。', '短评打分': 5}
{'短评内容': '环境不错，服务人员态度也很好，就是到市区稍微有点远，大家最好提前预定～', '短评打分': 3}
{'短评内容': ':服务周到。', '短评打分': 3}
{'短评内容': '特惠房下次别住了，即吵，又闷，其它也没啥，和别的如家一样', '短评打分': 5}
{'短评内容': '位置比较好…环境还行', '短评打分': 3}
{'短评内容': '蛮舒适的', '短评打分': 3}
{'短评内容': '房间满大的，就是隔音有点差，其他都还不错。。。', '短评打分': 5}
{'短评内容': '空调有点吵，交通更还是方便的，服务员很耐心，不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间价格稍贵，装修有些个别地方有破损，没有配备吹风机，有时候前台借不到，希望以后能改善。', '短评打分': 1}
{'短评内容': '空调有点吵，交通更还是方便的，服务员很耐心，不错', '短评打分': 5}
{'短评内容': '酒店环境还不错，服务也很好，电视遥控板不太会用。', '短评打分': 5}
{'短评内容': '环境不错，就是有点闷。没窗户。价格合适。\n服务也不错。', '短评打分': 5}
{'短评内容': '位置略偏，但价格适中，交通也比较方便，美中不足房间偏小', '短评打分': 5}
{'短评内容': '酒店服务不错，大的交通环境还好，就是门前不容易打到的士。', '短评打分': 5}
{'短评内容': '房间不是很干净，被子，毛巾之类的东西都很旧了，感觉很不干净。房间也很小。', '短评打分': 1}
{'短评内容': '定的是大床房 事实上房间很小 除了一张床 其余空间很小', '短评打分': 1}
{'短评内容': '隔音很差，卫生状况一般，空调效果很差，服务还不错。', '短评打分': 1}
{'短评内容': '酒店不错比较舒适', '短评打分': 3}
{'短评内容': '很多色情小卡片，有木有啊！隔音效果很差，有木有啊！一直做噩梦。。。。位置不好，旁边没有什么吃饭的地方', '短评打分': 1}
{'短评内容': '这里的特惠房挺整洁，关键是有一个大床，我的最爱，哈哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '挺干净的，房间很宽敞，设备基本齐全，还不错 ', '短评打分': 5}
{'短评内容': '昨晚比较晚到、没太注意离工作间这么近、早上的对话机声音太大、现在已经帮我换房了', '短评打分': 3}
{'短评内容': '位置还可以，离市中心不是很远，也比较好找', '短评打分': 5}
{'短评内容': '房间还算是比较干净，看上去比较温馨。就是网速特别慢，我上网根本上不去。连工作都没有做，郁闷', '短评打分': 1}
{'短评内容': '还行吧，就是房间有点味道,但是价格还算便宜', '短评打分': 5}
{'短评内容': '我订的商务大床房，可是还是很小，也没有觉得很卫生，感觉非常一般', '短评打分': 1}
{'短评内容': '房间感觉很小，而且窗户正对旁边楼的窗户，白天也只能拉纱窗', '短评打分': 1}
{'短评内容': '房间不错很干净，服务态度很好！所处位置也比较方便，如果浴室的地面不那么滑就更好了！', '短评打分': 3}
{'短评内容': '酒店地理位置不错，交通很方便，酒店给我们安排的房间也很舒服，也很安静，整体来说性价比很不错。', '短评打分': 5}
{'短评内容': '各项服务都很满意，很好！', '短评打分': 3}
{'短评内容': '没有想象中的好，不过态度很好\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '价位便宜，干净，旅馆的电影可以免费点播，而且电影很新，但是房间小，显得拥挤。', '短评打分': 5}
{'短评内容': '无论是房间还是服务态度都非常不错，值得推荐大家预定。', '短评打分': 5}
{'短评内容': '还不错~我需要邮寄包裹~还帮我联系了顺丰', '短评打分': 5}
{'短评内容': '紧靠高架，空气不好。离超市很远，购物要走好长时间。\n附近有一个早餐点，可以吃包子，鸡蛋，粥。', '短评打分': 1}
{'短评内容': '没有想象中的好，不过态度很好', '短评打分': 3}
{'短评内容': '房间干净，厕所也很干净，对于我们小老百姓来说，还可以的，推荐！', '短评打分': 5}
{'短评内容': '如果开车前往一定要注意在立交桥下面绕一圈，环境还可以。', '短评打分': 5}
{'短评内容': '服务态度真的很好的，交通非常方便，吃饭购物离市中心都很近。', '短评打分': 5}
{'短评内容': '还不错，蛮划算的。卫生和服务都挺好。交通方便。', '短评打分': 5}
{'短评内容': '还不错的酒店，房间干净，服务员态度很好，下次还会再来。', '短评打分': 5}
{'短评内容': '如家一直是我们出外旅游的首选，不错没有让我失望！', '短评打分': 5}
{'短评内容': '不错的,服务各方面...呵呵...小广告多', '短评打分': 5}
{'短评内容': '不错的服务各方面,就是每天晚上塞小广告太多,半夜经常吵醒..', '短评打分': 5}
{'短评内容': '如家的作为连锁酒店代表之一 服务还是不错的  房间也还干净 还行 值这个价 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '便宜干净很满意', '短评打分': 3}
{'短评内容': '酒店很干净，只是位置有点偏，不太好找，总体性价比还可以', '短评打分': 3}
{'短评内容': '酒店很干净', '短评打分': 3}
{'短评内容': '房间很给力，下次还会来，整洁干净，隔音不错', '短评打分': 5}
{'短评内容': '如家的感觉，大床好大，卫生间很干净，下次再来！', '短评打分': 5}
{'短评内容': '很干净,住得很舒适,下次有机会还会住的\u3000\u3000', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '，房间有气味，隔音不好。', '短评打分': 3}
{'短评内容': '酒店附近乘公车去西湖、市中心购物区、火车站等都很方便:酒店服务好', '短评打分': 3}
{'短评内容': '不愧为品牌连锁店,格局布置温馨贴心,下次还会入住', '短评打分': 3}
{'短评内容': '位置不错，从上海到杭州，一下高架就到了，走大概15分钟有外婆家分店，我们订的房间有挨着高架的太吵，晚上睡的一般，不过水温舒服，床不错，就写这么多吧', '短评打分': 5}
{'短评内容': '服务人员十分热心，积极帮忙我的父母解决住宿问题，为我们提供了莫大的帮助。普通话也很标准。房间一惯的干净整洁', '短评打分': 3}
{'短评内容': '服务不好，我们下午5点退房，中午想要二瓶水，服务员说要收费', '短评打分': 1}
{'短评内容': '酒店的位置有点不太方便，在一座立交桥的下面，不过我的是特价房，原来以为没窗的，住了发现有的，感觉很对得起这个价格~~', '短评打分': 5}
{'短评内容': '房间还行，就是12块的早餐太次了，注重早餐质量的，不建议店内用餐', '短评打分': 5}
{'短评内容': '网络连接不畅通，非常不爽！交通很一般，打车还无所谓，只要和师傅说边上的酒店名字都找得到体来讲，住的还行', '短评打分': 5}
{'短评内容': '位置有点偏，一楼房间太昏暗，二楼采光一般，网络一般，房间干净。', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '酒店的环境不错~就是酒店位置比较难找~~~~~', '短评打分': 5}
{'短评内容': '环境还好，就是相对房间面积太小', '短评打分': 3}
{'短评内容': '挺好的， 我想下一次过去的话，我应该还是会住在那里的。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '酒店很干净 一如既往的好 离西湖并不算远 有多路公交车直达', '短评打分': 5}
{'短评内容': '性价比很高，但是交通不是很方便，开车进来找不到入口', '短评打分': 1}
{'短评内容': '还行吧！宽带不行！餐厅在外面的！地理位置偏了一点，不过不偏的话价格就上去了的！', '短评打分': 5}
{'短评内容': '酒店不错，是如家一贯的风格，经济、实惠、简单、实用，下次只要来杭州东站附近，还会住这。', '短评打分': 5}
{'短评内容': '还凑合，就是停车不方便，从高架下去的路也不好找。房间稍微小了点。', '短评打分': 5}
{'短评内容': '早上服务员还有住店唠嗑的声音太响，影响客人休息，被吵醒了。', '短评打分': 5}
{'短评内容': '还不错的，特价房在一楼；在杭州这个价位还是很实惠的，如果走廊过道隔音好点就更完美了', '短评打分': 5}
{'短评内容': '房间很多，服务很好，就是一楼有点阴冷，房间小。', '短评打分': 3}
{'短评内容': '还可以，就是交通不太方便，卫生条件挺好的', '短评打分': 5}
{'短评内容': '房间很干净，舒适。离火车站和一些小商品市场近，可惜汽车东站搬迁了。另外，房间设计不太合理，大半不通风，或者朝过道。', '短评打分': 5}
{'短评内容': '卫生不怎么样，叫打扫卫生服务员都不打扫的。', '短评打分': 5}
{'短评内容': '还行，凑合，十一过来的，有的住都不错了，没什么好说的。。。', '短评打分': 5}
{'短评内容': '酒店房间小了点，其他倒没什么', '短评打分': 5}
{'短评内容': '房间隔音效果不太好，电视遥控开关有问题，地段一般，没有公车直达西湖景区或者火车城站，只能打的，费用大概在20元左右', '短评打分': 1}
{'短评内容': '所处的位置就在车行道旁边，千万不能打开窗户，很吵，其他的么，就一般般', '短评打分': 5}
{'短评内容': '周边环境有点吵，夏季不知怎么，很潮。房间比较小，阴暗。', '短评打分': 1}
{'短评内容': '相对来说价格较高。没边上的怡莱快捷好。。。', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': '位置有点尴尬啊，布局也有点麻烦，像迷宫~其他都还好', '短评打分': 5}
{'短评内容': '蛮干净的。就是隔音效果不好，离市中心太远…', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '周末价格比平时高20-30元，如果对价格比较在意的，请一定注意', '短评打分': 3}
{'短评内容': '打车很不方便，设施还不错。', '短评打分': 5}
{'短评内容': '床比想像中的要小些，房屋有些小，其他都还不错。', '短评打分': 3}
{'短评内容': '早餐差一些，其他都很不错，只住还是不错的。', '短评打分': 3}
{'短评内容': '早餐差一些，其他都很不错，只住还是不错的。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '其他都很好，就是住的那天有一只超级大苍蝇一直在房间里飞来飞去怎么也敢不走', '短评打分': 5}
{'短评内容': '大堂经理MM相当好，我晚上生病要她们帮我叫车在酒店门口等我，不仅很快帮我叫好并打电话通知我，第二天早上还能认出我并询问我是否好一些了，呵呵，非常感谢。', '短评打分': 5}
{'短评内容': '住房设施一般,但还比较干净,商务主行还比较经济实惠.', '短评打分': 5}
{'短评内容': '位置太偏，性价比不高', '短评打分': 1}
{'短评内容': '酒店房型布局上有问题，商务大床房没有向外的窗户，住着很气闷……空调可能很旧了，声音很响，闹的头昏……以后绝不住这家如家了，破坏了如家一贯的好印象……早知道还不如去西湖景区住小宾馆了，加上原本的汽车东站现在搬到九堡客运中心去了，原本的地段优势也不存在了……后悔啊', '短评打分': 1}
{'短评内容': '房间太简单了，不够温馨', '短评打分': 1}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '还不错，出行方便，价格也合理', '短评打分': 3}
{'短评内容': '出行位置很好，交通方便，主要是价格比杭州其他的如家都便宜啊！', '短评打分': 5}
{'短评内容': '不错的。', '短评打分': 5}
{'短评内容': '我当时住的是一楼的房间，感觉设施比较简陋，不过还是挺干净的，位置还挺方便的，如果还到这个附近的话，还是可以考虑的。', '短评打分': 3}
{'短评内容': '价格还是比较适中,卫生和设施还是比较不错的,出行也很方便还是比较满意这家酒店的.', '短评打分': 3}
{'短评内容': '离汽车东站很近，服务挺好，就是住一楼，信号不好', '短评打分': 5}
{'短评内容': '艮山店的服务卫生还可以，就是价格不便宜，打的到武林门只要13块地理位置不错。', '短评打分': 5}
{'短评内容': '这家酒店一般了,除了位置还可以,周边交通比较便利,没有什么可推荐的.', '短评打分': 1}
