{'短评内容': '还行，有早餐，挺值得，推荐，，，，，，', '短评打分': 3}
{'短评内容': '感觉还不错。配套比较全。', '短评打分': 3}
{'短评内容': '一般，卫生间太脏，热水器坏的，下次不会住。', '短评打分': 3}
{'短评内容': '酒店还是比较干净的！', '短评打分': 3}
{'短评内容': '好，第二次入住，，非常好', '短评打分': 3}
{'短评内容': '性价比比较高，酒店位置相对较偏，如果是自己开车是个不错的选择，打的需要走好远。', '短评打分': 4}
{'短评内容': '没有Wi-Fi！交通不是很方便，酒店服务不是很好', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不好，很一般。一大早就过来敲门退房，晕死！', '短评打分': 4}
{'短评内容': '不知道是不是气候原因，感觉被子潮，盖上不舒服。', '短评打分': 4}
{'短评内容': '客人入住后服务人员在客人不在时进入房间，在早上不敲门打开客人的房间门，试想如果是女士入住随便开启客人房间门的后果是什么？', '短评打分': 1}
