{'短评内容': '环境好，小伙子人很好！还免费升级有阳台的房间！', '短评打分': 5}
{'短评内容': '房间不错，店里的小哥态度很好。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '好好好赞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': 'i spent two nights at the hotel.and had a great time in there. The rooms very clean. Friendly and efficient.staff .Would recommend to other travelers', '短评打分': 5}
{'短评内容': 'very helpful! Got good register support that took care of our bags even after we had checked out. Special thanks to staff for loaning us umbrellas that help us go to other attraction.', '短评打分': 5}
{'短评内容': '总体来说还是不错的', '短评打分': 4}
{'短评内容': '特意携程找的这家过来的，景很美，窗外就可以看到江景，房间也是好到爆，各种温馨，关键是老板人超热情，非常nice ，强烈推荐，绝对良心评价……', '短评打分': 5}
{'短评内容': '就是家庭式房间，阳台景不好，140元/晚，整体也算不错。在这里订了竹筏，比景区买便宜点，但是隔壁家的便宜多了，以后真要货比三家，老板转了一手再给船夫。', '短评打分': 4}
{'短评内容': '愉快你旅程！每次在携程上订票非常方便，各种价位全面，性价比也比较高，挺不错的一个App，出游就靠它啦！', '短评打分': 5}
{'短评内容': '挺满意的', '短评打分': 5}
{'短评内容': '地方较为偏僻，房间隔音效果不好，门外挺吵闹，晚上村里较黑，白天环境不错，距离镇上有些距离，交通不是很便利', '短评打分': 3}
{'短评内容': '环境真好，安静舒适', '短评打分': 5}
{'短评内容': '老板娘人很好，各方面都不错，睡觉很踏实。', '短评打分': 5}
{'短评内容': '非常好的一家酒店，性价比超高，老板人很好，一直等我们到半夜，还帮我们找了漂流的船。', '短评打分': 5}
{'短评内容': '还可以……', '短评打分': 4}
