{'短评内容': '挺好的挺好的挺好的挺好的挺好的挺好的挺好的', '短评打分': 5}
{'短评内容': '预订了 付款了 自动取消退款了。很搞笑', '短评打分': 1}
{'短评内容': '高大上', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '喜来登的位置不用说，俩字儿完美。房间隔音也不错～睡得挺好滴', '短评打分': 4}
{'短评内容': '酒店路段很好   靠近海港城  尖沙咀这边  总体来说还是可以的 ', '短评打分': 5}
{'短评内容': '酒店地理位置优越，老牌酒店服务不错', '短评打分': 4}
{'短评内容': '喜欢购物的人住这里非常不错，不用坐车，走走就到，周围各种大牌', '短评打分': 5}
{'短评内容': '方便。预定完毕后。客服会和你核对英文姓名，', '短评打分': 5}
{'短评内容': '价格贵了些。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境很不错！主要逛街很方便！', '短评打分': 5}
{'短评内容': '不错 更方便', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '呵呵哒，下周去，这个服务怎么样，要怎么说捏。', '短评打分': 5}
{'短评内容': '还不错 就是没早餐 不过环境交通都不错', '短评打分': 5}
{'短评内容': '位于海港城附近，环境不错，吃饭买东西都很方便', '短评打分': 5}
{'短评内容': '商务出差好去处', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '尖沙咀喜來登位置方便；樓下即是SOGO百貨，對街就有7-11，且臨近地鐵站、購物中心、餐飲選擇多樣。工作人員態度親切、有禮、充滿服務熱忱。房間大小適中；但海景房景觀一般，性價比低。', '短评打分': 4}
{'短评内容': '毕竟寸土寸金的地，房间不大景色也还好，有遮挡，但还是能看见海。价格稍高', '短评打分': 4}
{'短评内容': '交通很方便，离维港步行即可', '短评打分': 4}
{'短评内容': '香港特区寸土寸金，酒店不错，但价格昂贵，在半岛酒店旁边的关系吧。购买游览观光很方便，旁边就是维多利亚港，乘渡船就到会展中心，港府。', '短评打分': 4}
{'短评内容': '经常住喜来登，一直觉得不错。这次房间马桶不太好，感觉老冲不下去。周围工地施工白天挺吵', '短评打分': 5}
{'短评内容': '非常好的酒店，服务态度也很好，没有什么值得挑剔的地方，整体酒店还是非常棒的五星酒店，服务员的态度很好，办理入住和check out都很快的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次来香港都住这里，地理位置超好，服务也不錯。推荐一下。', '短评打分': 5}
{'短评内容': '每次来香港都住这里，地理位置超好，酒店工作人员服务也很好。推荐一下。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店离海港城还有一段距离，大堂不错，但房间太小了', '短评打分': 1}
{'短评内容': '酒店一般，感觉有点旧了，大堂不错，但房间有点小感觉', '短评打分': 5}
{'短评内容': '房间虽然比内地的小了点，但是地点很好。交通方便。服务态度很好', '短评打分': 5}
{'短评内容': '帮老总去香港度假订的酒店,总的来说不错,还可以啦', '短评打分': 5}
{'短评内容': '入住手续太慢了', '短评打分': 3}
{'短评内容': '酒店位置很好，出行、购物都非常方便。值得称赞的还有酒店的服务，热情、周到、细致，优于内地的喜来登，不过酒店的硬件设施有些陈旧，总体服务优于硬件，赞一个Good！', '短评打分': 5}
{'短评内容': '购物非常方便，房间和床的确和内地没法比，都偏小', '短评打分': 5}
{'短评内容': '房间不是很大，肯定和国内五星级没法比，但地理位置真的很好，比较方便', '短评打分': 5}
{'短评内容': '给小老板订的，还不错，就是价格是我们望而却步的哈哈', '短评打分': 5}
{'短评内容': '总体来说服务还是OK的，离海港城也不远，对面就是香港艺术中心、星光大道等，就是CHECK IN 的时间比较久，希望改进', '短评打分': 5}
{'短评内容': '房间味道不好，其他的都很不错。好像比国内喜来登档次要低，喜欢国内喜来登。地点很好，步行即可到海港城，', '短评打分': 5}
{'短评内容': '酒店地理位置很好,服务也很好,就是房间装修老掉牙,设施很旧,性价比不高。', '短评打分': 1}
{'短评内容': '酒店从大堂到房间卫生服务都很好~购物休闲方便', '短评打分': 5}
{'短评内容': '总体还是很不错的，适合商务出行.环境非常的不错的，休息比较的安静的。', '短评打分': 5}
{'短评内容': '九龙尖沙咀的酒店，就这价。交通、出行方便。但喜来登品牌在香港比起内地档次要差一些。内地去的客人期望值不能太高。', '短评打分': 5}
{'短评内容': '给欧洲的客户预定的酒店，他们十分满意，无论是从酒店的位置还是服务的态度', '短评打分': 5}
{'短评内容': '酒店很好！什么时候退到我卡上？', '短评打分': 3}
{'短评内容': '第一次住此酒店感觉很好，房间还算大，加床三人一起没问题，离购物点也很近，服务也好', '短评打分': 5}
{'短评内容': '交通便利,购物非常方便,景色好,服务及设施都不错.', '短评打分': 5}
{'短评内容': '服务很好,房间不是很大,位置不错,可以方便走到海边.', '短评打分': 5}
{'短评内容': '出行都方便  走路出去逛就行了  就是没有上次的免费水果了', '短评打分': 5}
{'短评内容': '价格有点偏贵，checkin太慢了。位置不错！', '短评打分': 5}
{'短评内容': '很好的酒店！', '短评打分': 3}
{'短评内容': 'checkin太慢了', '短评打分': 3}
{'短评内容': '香港酒店喜来登酒店的确不错，服务和地理位置都非常好，下次还要住这间。', '短评打分': 3}
{'短评内容': '酒店非常不错，很舒适，很干净，服务人员态度好，下次还会来住。', '短评打分': 5}
{'短评内容': '地理位置很好，值得推荐！同事每次都会首选九龙喜来登。', '短评打分': 5}
{'短评内容': '房间真的好小。海景房的海景还被对面的楼挡住了。离地铁站稍微有点远。总之对不起2000多的价格。', '短评打分': 1}
{'短评内容': '海景房较大,感觉很好.服务也好.物有所值', '短评打分': 5}
{'短评内容': '酒店很方便  房間也不錯 特別是很多的服務很貼心 房間視野很好', '短评打分': 5}
{'短评内容': '地点不错，房间也行。稍为贵了点，不过现在内地和香港点酒店价格都在飞涨。。', '短评打分': 5}
{'短评内容': 'excellent location and very good service', '短评打分': 5}
{'短评内容': '服务，品牌，位置都很好，非常方便，下次继续入住。', '短评打分': 5}
{'短评内容': '好位置，好服务。酒店房间比较紧张，建议提前预订。', '短评打分': 5}
{'短评内容': '环境不错,交通方便.遗憾的是上网收费太多.提议酒店做免费宽带供住客使用.', '短评打分': 5}
{'短评内容': '非常好的酒店，最开始选择的是半岛，但是满房，后来选择了sheraton，感觉真不的错，很好，下次去终于可以不用选择半岛，而选择sheraton了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '同时每次去都要住的酒店，推荐给其他商务出差的客人！', '短评打分': 5}
{'短评内容': '总的来说，酒店的各方面服务都很到位。 唯一不足就是房间显得有点小。 对服务和卫生都很满意。  下次有需要，还会入住。', '短评打分': 5}
{'短评内容': '帮同事订的，每次去香港首选的酒店！交通便捷、房间舒适，员工的服务也很好！', '短评打分': 3}
{'短评内容': '一开始安排了连通房给我们，但是一反映就立刻调换了，还是不错的！地理位置也很好！值得推荐！', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '帮朋友订的，他们夫妇很满意！很好的地理位置，性价比不错！', '短评打分': 5}
{'短评内容': '还算满意', '短评打分': 3}
{'短评内容': '还不错。满意', '短评打分': 3}
{'短评内容': 'happy and satisfied', '短评打分': 3}
{'短评内容': '还不错。下次还可以住', '短评打分': 3}
{'短评内容': '不错，满意', '短评打分': 3}
{'短评内容': '不错。比较喜欢', '短评打分': 5}
{'短评内容': '还不错。除了贵了一点，其他都还不错。', '短评打分': 3}
{'短评内容': '酒店位置和服务都不错！ 舒适，价格有优势', '短评打分': 3}
{'短评内容': '总体感觉很棒，和香港给人的感觉一样', '短评打分': 5}
{'短评内容': '好。很喜欢', '短评打分': 5}
{'短评内容': '还不错。就是贵了点', '短评打分': 5}
{'短评内容': '总体感觉不错。。', '短评打分': 5}
{'短评内容': '每次来港都住，挺好的位置', '短评打分': 5}
{'短评内容': '喜来登的位置非常好,离海港城很近,在最繁华时尚的尖沙咀,就是房间有点小,价格太贵了', '短评打分': 5}
{'短评内容': '我觉得性价笔不高，住后有点失望，很旧很老的酒店', '短评打分': 1}
{'短评内容': '其他都好，就价格贵点', '短评打分': 5}
{'短评内容': '這樣的房間大小...單價上也許有點高\r\n不過地點很好\r\n晚上可以看到外面的燈火\r\n感覺很浪漫!', '短评打分': 5}
{'短评内容': '这个酒店的位置非常不错，很方便，房间比较，环境设施也还不错，春节期间的价格稍微有点一点贵，不过还是可以的，但是他们上网费用，不管你上多长时间都是按天计算，这个不是很合理。', '短评打分': 5}
{'短评内容': '酒店整体来说很不错，这次主要是比较着急预定，住了以后感觉他们的服务环境，硬件和位置等都还不错。', '短评打分': 5}
{'短评内容': '设施条件感觉还不错，性价比可以', '短评打分': 5}
{'短评内容': '房间的面积太小了，而且价格也有些高；其他方面还是不错的', '短评打分': 5}
{'短评内容': '酒店的环境设施都很好服务卫生也很好.位置很好找交通很便利.', '短评打分': 5}
