{'短评内容': '三生三世', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通便利，环境舒适，服务周到！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置有点偏，但是很幽静，旅行住也还是很不错的。第一次外京东上预订的酒店，还是很不错的。老板很热情，还送了旅游攻略。酒店离厦门大学继续教育学院很近，但是离厦大就远了。', '短评打分': 5}
{'短评内容': '.................', '短评打分': 5}
{'短评内容': '系统默认点评', '短评打分': 5}
{'短评内容': '系统默认点评', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间挺好的，前台的美女人很好，下订单了马上就联系我们问我们什么时候到，路线马上就发过来，很详细，到了还出来接我们。。', '短评打分': 5}
{'短评内容': '好不错', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '房间挺好的，前台的美女人很好，下订单了马上就联系我们问我们什么时候到，路线马上就发过来，很详细，到了还出来接我们。。。', '短评打分': 5}
{'短评内容': '房间挺好的，前台的美女人很好，下订单了马上就联系我们问我们什么时候到，路线马上就发过来，很详细，到了还出来接我们。。。', '短评打分': 5}
{'短评内容': '放松心情来厦门旅游，精挑细选选了这家客栈，老板娘人很好，给人第一印象很温馨，整体观感很好， 房间环境温馨干净，交通是非常的方便还实惠，很开心的一次旅行。', '短评打分': 5}
{'短评内容': '放松心情来厦门旅游，精挑细选选了这家客栈，老板娘人很好，给人第一印象很温馨，整体观感很好， 房间环境温馨干净，交通是非常的方便还实惠，很开心的一次旅行。', '短评打分': 5}
{'短评内容': '房间很温馨，老板服务很周到，推荐入住 老板服务周到，干净卫生，明天才退房，先给个评价', '短评打分': 3}
{'短评内容': '默认', '短评打分': 5}
{'短评内容': '好~~', '短评打分': 5}
{'短评内容': '房间很大、挺干净的！', '短评打分': 3}
{'短评内容': '还不错，干净整洁，但是也没什么特点，相对于同等级的旅店，价格是有点贵了，', '短评打分': 5}
{'短评内容': ',依梦客栈挺好的，房间比较干净，较舒适，性价高，但位置稍差，各位朋友自己权衡利弊吧', '短评打分': 3}
{'短评内容': '非常不好，图片与实际严重不符，所谓客栈就是破旧的房仔，周围都是泥巴路，周围治安极其不安全！还没有停车地方，根本不值348元。我们因为找不到安全的停车地方想退房赔部分款，但老板服务态度非常差，不肯退。气人，最后我们情愿不要3个房间的钱也不住。后悔的是当时没拍下图片为证！请大家慎重选择！特别女游客注意安全！', '短评打分': 3}
{'短评内容': '其实客栈的位置很好找，第一次去的时候工作人员会在车站接。房间很温馨，环境很安静。坐车也很方便，出门就是20路总站，三站地就能到海边，非常近，周围有小超市有药店有大排档，对面的小餐馆也很不错。客栈有一个小院子，能晾晒衣服。门厅还有电脑可供客人免费使用。还有厨房和洗衣机都能提供给客人使用，真是非常方便。', '短评打分': 5}
{'短评内容': '环境不错，有种小清新的感觉，就是有点难找，没有老板出来带路一般找不到。', '短评打分': 3}
{'短评内容': '地段挺好的，就是不好找！外面的夜宵摊也特别的美味！要是再去厦门，会继续选择的！', '短评打分': 5}
{'短评内容': '房间不错~交通还行~主要就喜欢这里的出租自行车服务，非常方便哈！', '短评打分': 3}
{'短评内容': '酒店硬件设施不错，刚装修红好，感觉挺舒服。但是位置有点偏，不太好找', '短评打分': 5}
{'短评内容': '到厦门，不得不提的就是住一个舒适,具有特色的客栈，梦依客栈首当其冲，地理位置的优越性，\n战胜了很多旅馆，客栈，下了公车步行几步路就到了他们家了，前院和后院全都栽满了花草，薰衣草，月月红，等等。。。。绿色的植物很吸引我的眼球，前院整个都是用防腐木做的院子，很漂亮，还有秋千，，，黄木颜色栏杆，感觉像极了童话里的世界……\n在他们院子里坐了一会，老板倒了水给我们，说你们坐会，阿姨在到扫，几分钟就可以了，我', '短评打分': 5}
