{'短评内容': '早餐到10点', '短评打分': 5}
{'短评内容': '酒店房间设施陈旧，地方相对偏一些，位于新城区！酒店前台服务不好，跟酒店外面差距巨大，急待提高。酒店早餐一般，跟酒店外表形象有差距。一句话，酒店性价比差，不推荐！', '短评打分': 2}
{'短评内容': '位置很好，三门地标建筑，吃饭三门的不是太方便，房间很大，毕竟有以前属于金陵的底蕴，早餐没有酸奶，总体满意。', '短评打分': 5}
{'短评内容': '出差入住，总体满意', '短评打分': 5}
{'短评内容': '出差入住，总体还满意', '短评打分': 5}
{'短评内容': '特别好，很舒服！！！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '客户服务中心态度好一如往常的好', '短评打分': 5}
{'短评内容': '回老家住的首选酒店之一，在当地，算是个不错的酒店选择了', '短评打分': 4}
{'短评内容': '舒适，享受，值得！', '短评打分': 5}
{'短评内容': '舒适，享受，值得！', '短评打分': 5}
{'短评内容': '房间卫生比较干净，虽然是三门最好的酒店，但酒店服务人员素质一般，周边配套环境也一般，酒店设施也因时间久了有点陈旧', '短评打分': 4}
{'短评内容': '据说三门县最好的酒店，卫生，宽敞，个人感觉还不错', '短评打分': 5}
{'短评内容': '三门最好的酒店了，环境不错，距高铁站也很近。房间也不错，房间服务员服务也非常好，有时说三门话感觉到当地风情。', '短评打分': 4}
{'短评内容': '酒店有点偏，服务员不熟悉业务', '短评打分': 5}
{'短评内容': '房间设施还行，服务差一大截，前台小姑娘连笑都不会，大堂空调都不开', '短评打分': 4}
{'短评内容': '还不错 三门最高级的酒店', '短评打分': 5}
{'短评内容': '空调不好，水太小，房间隔音1。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常舒适的酒店，很满意!!!!!!!!!!!!!!!!!。', '短评打分': 5}
{'短评内容': '房间不错，早餐不错，价格偏贵，入住多次，服务还不够人性化。想别的酒店，发现你是再次入住，都会亲切地打招呼，有回家的感觉，服务应该跟上价格。要有人情味。', '短评打分': 5}
{'短评内容': '酒店是三门最好的了，每次都住这里，也是硬件好，软件稍差点。', '短评打分': 5}
{'短评内容': '酒店不错，住的很开心酒店不错，住的很开心', '短评打分': 5}
{'短评内容': ' 很好！很舒服。', '短评打分': 3}
{'短评内容': '很不错，环境很好，早餐丰富，下次还来，推荐朋友住', '短评打分': 5}
{'短评内容': '酒店环境部错，就是没有电脑，电视最好换液晶', '短评打分': 5}
{'短评内容': '估计在三门，你找不到更好的了。除此以外，没啥优点。', '短评打分': 5}
{'短评内容': '酒店硬件不错，就是靠马路的有点吵，早餐还算丰富。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的环境设施和服务都还是挺不错的，下次还会住这里', '短评打分': 5}
{'短评内容': '酒店地方比较好找，就是停车有点局促。大厅和房间也都不错，应该是三门最好的酒店了。', '短评打分': 5}
{'短评内容': '酒店确实不错，但作为一个小县城，地段又这么偏，这个价格有点高了。', '短评打分': 3}
{'短评内容': '非常好的酒店，干净，卫生，交通方便，会推荐。非常好的酒店，干净，卫生，交通方便，会推荐。非常好的酒店，干净，卫生，交通方便，会推荐。非常好的酒店，干净，卫生，交通方便，会推荐。', '短评打分': 5}
{'短评内容': '还是很大气的酒店，在新城区内，住的很舒服，房间够大，卫生也很好，早餐也蛮丰富的。', '短评打分': 5}
{'短评内容': '还不错，下次还会再住的。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错的酒店，稍有点偏，这个价格入住蛮好的，有机会还会入住', '短评打分': 3}
{'短评内容': '很不错的一家酒店，设施、服务都好，下次还会去的。', '短评打分': 5}
