{'descr': '很有特色很干净舒适', 'star': 3}
{'descr': '在钟楼广场旁边的小巷子里，巷子挺深的，一路问一路找。院子不大，还立着一棵郁郁葱葱的树。阳光照在叶子上，再落到肩上，有一种时光如水的错觉。好像身在丽江的院子，抬头就是触手的云。房间不大，很干净。建议老板在巷子再弄两个指示牌，另外酒店方位的小地图也应该有，不然还挺难找到的。', 'star': 3}
{'descr': '老板娘很热情，房间比较小，地点很好，只是，胡同找起来有些麻烦，建议店家多放几个指示牌，不过寻找的过程也是一种乐趣', 'star': 5}
{'descr': '伴着鸣春的鸟叫在这个沁透着豆汁儿味的胡同的早晨醒来，原来北京的早晨也会如此惬意，曾在这个城市生活了6年的我竟从未感受过。很庆幸这次回京选择了住在这里而非酒店或朋友家，让我体会到了别样的北京。', 'star': 5}
{'descr': '很有意思的一家客栈，它家一郎超愛跟人玩球，而且很聰明哦，會開房門的傢伙。店子的位置很安靜，不過第一次去會難找，小提示：從草廠北巷往里走，遇到分叉路往左走到底就是了。', 'star': 5}
{'descr': '这家客栈挺不错，卫生，服务，周边环境 都很满意， 唯一不满之处就是位置不好找', 'star': 5}
{'descr': '客栈最大的特色就是老北京四合院风格的小院和热情的老板。让人回味当年老北京胡同的浓郁文化。老板很热情，而且很好说话，深夜一点到的，还出门去接我们，是我这次回国遇到的最好的酒店老板。下回回家还会去住。希望以后加些英语的信息，我觉得老外会很容易喜欢上这家客栈的。', 'star': 5}
{'descr': '环境很好，就是巷子有点深，值得一找', 'star': 3}
{'descr': '在胡同裏，車開不進，房東會出來接，如果行李多會有麻煩。這是真正北京人住的胡同，所以如果走進胡同看見三步五步就有一個的公共廁所不要驚訝。我住的是中式大床花閒，房間很小，但有特色。衛生間很乾淨，洗澡水不錯，淋浴與馬桶中間沒隔開，所以洗澡會弄得水到處都是。沒有浴巾，這點不可理解。隔音很差，主人說因爲想保持房間尖頂的原樣，所以無法加隔音層。如果客人睡覺不好建議要對面的房間，那兒的房間是平頂，低但隔音好。', 'star': 5}
{'descr': '该客栈是今年新开业的，老板很热情周到，四合院布置的很温馨，房间古香古色很有情调，床上用品尚可，不过房间隔音效果不好，晚上静下来也能睡个好觉，房间区域照明很不错，采光也不错，卫生间很干净，洗澡热水很好，老板家还有一条很可爱的金毛犬--一郎，希望客栈能有发票会更方便。', 'star': 5}
{'descr': '很好的小店，整洁，温馨，有风格，深秋的阳光下惬意的感觉，小巷深处繁华都市的宁静。老板很温和，老板的一郎很乖。', 'star': 3}
{'descr': '很好，很安静，有风格，老板和老板娘都很热情。很好，很安静，有风格，老板和老板娘都很热情。很好，很安静，有风格，老板和老板娘都很热情。', 'star': 5}
