{'短评内容': '真心差', '短评打分': 2}
{'短评内容': '一般般吧，一般般吧，一般般吧！！！！！', '短评打分': 5}
{'短评内容': '不错，安静，干净，入住体验不错', '短评打分': 5}
{'短评内容': '酒店位置非常好', '短评打分': 5}
{'短评内容': '服务太差，还星级酒店呢！服了', '短评打分': 2}
{'短评内容': '国庆去的 服务不够好 等了好久才入住 早餐也一般', '短评打分': 4}
{'短评内容': '好，这里的环境很好，服务员态度很好。', '短评打分': 4}
{'短评内容': '很好，服务态度好环境优美，空气质量好。', '短评打分': 4}
{'短评内容': '很安静，不吵。就是阿姨搞隔壁卫生，关门很重。床是高床，很舒服。暖气很给力。', '短评打分': 5}
{'短评内容': '周围环境还可以，温泉没去，出差在车上搜到的酒店，过来的时候是晚上，去的路上有很多建筑工地，走小路。周围比较偏僻，没车不太方便。其他还可以，吃饭可以叫外卖，毛巾不太OK，服务挺好的', '短评打分': 5}
{'短评内容': '还不错不错的啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊，啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 4}
{'短评内容': '比较偏，房价比较合理，如果能赠送温泉券就好了', '短评打分': 5}
{'短评内容': '还不错的。对得起这个价格。适合有车一族的度假型酒店。酒店外的路是有点坑坑洼洼，不过已经在砍树，听酒店人员说，酒店外的路已经在整修了。路修好了之后应该会更好。', '短评打分': 5}
{'短评内容': '环境优美，服务不错，就是位置有点偏。', '短评打分': 4}
{'短评内容': '环境好 卫生干净  房间宽敞 早餐品种少了', '短评打分': 5}
{'短评内容': '好环境好服务好舒适，顶级', '短评打分': 3}
