{'短评内容': '入住一般 性价比不高', '短评打分': 3}
{'短评内容': '感觉很不好', '短评打分': 1}
{'短评内容': '环境和服务都非常好', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '算是沿山路一带最好的酒店了', '短评打分': 5}
{'短评内容': '附近有工地，周边环境不错，但是可以转悠的地界有点小', '短评打分': 4}
{'短评内容': '真的不错 环境好', '短评打分': 5}
{'短评内容': '服务一般，设施达不到五星～', '短评打分': 4}
{'短评内容': 'good', '短评打分': 4}
{'短评内容': '给领导订的，主要考虑交通方便', '短评打分': 5}
{'短评内容': '周围环境不错算是闹中取静 住客外国人多所以网络可以访问YouTube Gmail神马的也算是一个优势吧 公寓设施不如同价位酒店新 晚上壁灯和衣柜灯莫名其妙地自己闪了几次还带电流声音效的 要是女生肯定吓得换房了吧 不过我无所谓了', '短评打分': 4}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': 'okokokokokokokok', '短评打分': 4}
{'短评内容': '每次到蛇口開會都住這一家,房費貴了些,但是服務與方便性都非常的好.  還是老建議,我會比較希望床框小於或等於床墊,避免受傷.', '短评打分': 5}
{'短评内容': '非常棒！推荐推荐推荐！', '短评打分': 5}
{'短评内容': '在大南山脚下，旁边是地铁站，交通方便，附近公园多，离深圳湾口岸和蛇口码头很近。网络可以登录fb、ins超方便。周边比较安静适合常住度假。', '短评打分': 5}
{'短评内容': '服务态度恶劣，典型的店大欺客，无法满足客户需求，问题阐述不够准确，导致个人经济损失', '短评打分': 1}
{'短评内容': '房间不错，环境也不错，就是四周餐厅只有两家，选择性太少，没有超市，如果只是选择住房和散步环境我极力给大家推荐此处，要是途交通方便就不建议了。', '短评打分': 3}
{'短评内容': '非常好，环境优雅，服务佳，理想的休假去处', '短评打分': 5}
{'短评内容': '五星级酒店，环境很好，住宿、朋友开派对都不错，名符其实的名牌公寓', '短评打分': 5}
{'短评内容': '环境很好,服务态度也不错.不过餐厅实在不怎么样.早上的自助品种少,而且味道也不怎么样.', '短评打分': 5}
{'短评内容': '在蛇口的酒店，非常幽静，不过餐厅不怎么样，早上自助种类好少，味道也不怎么样。', '短评打分': 3}
