{'短评内容': '在昆明还算可以的了。。。', '短评打分': 5}
{'短评内容': '还不错，很好的选择。', '短评打分': 5}
{'短评内容': '昆明朗威酒店 豪华大床房\n&yen;301.00\n豪华大床房', '短评打分': 5}
{'短评内容': '出差住的，离机场不算太远，还比较方便', '短评打分': 5}
{'短评内容': '不错，就是隔音待改善', '短评打分': 5}
{'短评内容': '不错，就是隔音设备不好', '短评打分': 5}
{'短评内容': '房间干净整洁，很大。价格实惠。前台人员很热情，早餐吃的东西不是很多，但是基本满足。这个价格的酒店已经够了！', '短评打分': 5}
{'短评内容': '很好的 可以抵扣点京券啥的 性价比还是高的', '短评打分': 5}
{'短评内容': '很好很好很好 十个字再说点啥呢', '短评打分': 5}
{'短评内容': '酒店很旧很旧，就是招待所一样，不能算四星，旅游城市要求和期望都不能太高。', '短评打分': 5}
{'短评内容': '酒店硬件设施中偏上，性价比不错，餐厅用餐方便，包括中餐和晚餐，价位适中，工作人员态度都很好', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，虽然是设施很旧的四星，但功能一应俱全，早餐相当丰盛。周边超市，吃饭非常方便，楼下小吃一条街，不远处就有沃尔玛和野生菌饭店一条街，下次有机会还是会选这家。', '短评打分': 5}
{'短评内容': '环境不错，光线挺好。', '短评打分': 5}
{'短评内容': '服务太差。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 5}
{'短评内容': '这个环境好，我喜欢的干净', '短评打分': 5}
{'短评内容': '离机场大巴很近，方便，环境好，早餐也跟丰盛', '短评打分': 5}
{'短评内容': '还行吧，昆明酒店总体都不咋样！', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '酒店裝修較舊，客房服務很好！唯不足就是吃午飯在餐廳一服務員態度特惡劣，因一餐碗有點脏，要求換個碗，旁邊另一服務聽到說：換給她！煩死了！今時今日的服務態度，吃夸是老板哦！趕客走！', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '朗威酒店不用多说了，住了N次，酒店前台包括所有服务员基本都认识我了，酒店很干净！性价比非常好！位置距离地铁很近，出行非常方便！酒店很安全！早餐也比较丰富，服务周到很好！值得推荐！!!! ', '短评打分': 4}
{'短评内容': '朗威酒店不用多说了，住了N次，酒店前台包括所有服务员基本都认识我了，酒店很干净！性价比非常好！位置距离地铁很近，出行非常方便！酒店很安全！早餐也比较丰富，服务周到很好！值得推荐！!!! ', '短评打分': 4}
{'短评内容': '朗威酒店不用多说了，住了N次，酒店前台包括所有服务员基本都认识我了，酒店很干净！性价比非常好！位置距离地铁很近，出行非常方便！酒店很安全！早餐也比较丰富，服务周到很好！值得推荐！!!! ', '短评打分': 4}
{'短评内容': '朗威酒店不用多说了，住了N次，酒店前台包括所有服务员基本都认识我了，酒店很干净！性价比非常好！位置距离地铁很近，出行非常方便！酒店很安全！早餐也比较丰富，服务周到很好！值得推荐！!!! ', '短评打分': 4}
{'短评内容': '酒店内环境不错，客房宽敞舒适，整体整洁干净！呵呵睡得非常舒服哈', '短评打分': 5}
{'短评内容': '很好 很舒服 不错', '短评打分': 5}
{'短评内容': '服务很好，房间设施也比较好，总体不错，下次还入住', '短评打分': 5}
{'短评内容': '环境不错，房间也挺干净', '短评打分': 3}
{'短评内容': '周围施工，比较吵，不施工的时候可以住一下。还行吧。服务还是不错的，房间有点小。', '短评打分': 5}
{'短评内容': '酒店的位置非常好，交通很方便，离火车站和老机场非常近。马路对面有一个比较大的市场，可以买到鲜花水果及菌类。住宿条件也很好，早餐比较丰富，以后去昆明一定会再去这里。', '短评打分': 5}
{'短评内容': '酒店不错离机场很近，环境卫生都不错，第二天赶飞机的这家首选', '短评打分': 5}
{'短评内容': '周邊大興土木 灰塵路況很差  服務也差 唯一優點是離機場很近但現這個 灰塵路況很差  服務也差 唯一優點是離機場很近但現這個優點也沒了  機場搬了', '短评打分': 1}
{'短评内容': '住了几次，感觉还好，只是早餐差，品种少，面食只有面包，建议中餐至少有一种面食，面条也好。', '短评打分': 5}
{'短评内容': '非常实惠的四星级酒店，环境和服务都不错，价格也恨优惠，推荐！', '短评打分': 5}
{'短评内容': '酒店设施还算新，豪华房有接送机场很好，就是早餐比较差。到达酒店时正好大阵雨，接机司机进店拿雨伞出来，礼宾人员确毫无动静？', '短评打分': 5}
{'短评内容': '房间很不错，环境也挺好', '短评打分': 3}
