{'短评内容': '停车位充足，交通便利，值得推荐。', '短评打分': 5}
{'短评内容': '环境可以，离考场很近，打个车去万达广场也不远，晚上夜景也很棒O(∩_∩)O就是床垫有点硬，隔音效果不是很好', '短评打分': 5}
{'短评内容': '不错的房间', '短评打分': 5}
{'短评内容': '好评，要够十个字先有京豆，烦不烦啊？不', '短评打分': 5}
{'短评内容': '装修有点旧，其它都还好。', '短评打分': 5}
{'短评内容': '通过电话订有早餐送，网络订没有早餐送。', '短评打分': 5}
{'短评内容': '设施环境有点旧，但看得出是以前比较高级的酒店了。', '短评打分': 5}
{'短评内容': '都可以', '短评打分': 4}
{'短评内容': '出差经过，环境可以，吃喝玩乐方便！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店位置很好，就在清新区飞来湖畔，有一定的年头了，旁边是酒楼，可以喝早茶，很多当地人都来这摆酒用餐，口碑不错！价格也算合理，提供发票，推荐入住~~~~', '短评打分': 5}
{'短评内容': '一般般，没有什么特别之处，远可以，下次可能再次入住', '短评打分': 3}
{'短评内容': '环境不错，价格公道，楼下就是机场大巴', '短评打分': 5}
{'短评内容': '酒店外表很好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
