{'短评内容': '一般，不值这个价。空调制暖是坏的。卫生间的毛巾消毒水味儿比较重。喷头水太大。', '短评打分': 3}
{'短评内容': '有停车场有早餐，整体感觉还是不错的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '服务态度很好。周边环境一般', '短评打分': 4}
{'短评内容': '比较宽敞，居住也挺舒适的，周边有欢乐城购物商场，斜对面的力旺里有万达影城和进口食品超市，打车去红旗街12元内', '短评打分': 5}
{'短评内容': '店很老，居然没有风筒，找前台要，说都借出去了，wifi特别差，发邮件都费劲，看视频基本不可能。建议出差的别来这住了，后悔啊！', '短评打分': 2}
{'短评内容': '环境不错服务态度好', '短评打分': 5}
{'短评内容': '环境不错！！', '短评打分': 5}
{'短评内容': '强迫症，不知道啥时候出来个测评酒店房的订单，估计是长春锦江之星的房子吧', '短评打分': 5}
{'短评内容': '挺好的，挺好的，挺好的挺好的，，', '短评打分': 5}
{'短评内容': '冬季屋里很冷，空调不好使。比以前差了，管理不好了。', '短评打分': 3}
{'短评内容': '洗手间装修的太差，感觉整体都在晃。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '普通连锁酒店而已', '短评打分': 4}
{'短评内容': '酒店还不错的，以后出差还会住这里。', '短评打分': 4}
{'短评内容': '非常愉快的一次入住，大品牌值得信赖', '短评打分': 5}
{'短评内容': '很好，住的很愉快', '短评打分': 5}
{'短评内容': '房间很干净，前台服务非常周到', '短评打分': 5}
{'短评内容': '房间非常干净，前台服务也很热情', '短评打分': 5}
