{'短评内容': '？？。。。？？？？？？？', '短评打分': 5}
{'短评内容': '真的挺好的', '短评打分': 5}
{'短评内容': '还不错，没有早餐', '短评打分': 5}
{'短评内容': '还不错，没有早餐', '短评打分': 5}
{'短评内容': '房间很小，特别吵，不干净，晚上睡觉浑身痒', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间出乎意料的小，卫生一般，很拥挤的感觉，周边吃的蛮多，交通方便，总体还行', '短评打分': 4}
{'短评内容': '价格实施,服务到位', '短评打分': 5}
{'短评内容': '一分价钱一分货   房间太小了  不过服务各方面蛮好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '老板人很客气，这个价格性价比很高！', '短评打分': 5}
{'短评内容': '将就，价格便宜，不过携程的返现还没到手呢', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '周边没有什么酒店，这家和旅馆差不多。', '短评打分': 3}
{'短评内容': '周末要加十元钱，宾馆有标，但京东上没说。除了地有点偏，总体很好，属于那种麻雀虽小五脏俱全的那种，房间也挺干净的。', '短评打分': 4}
{'短评内容': '其他的还行，但是电脑房电脑有病毒。。。坑爹撒', '短评打分': 3}
