{'短评内容': '设施太老了', '短评打分': 4}
{'短评内容': '设施还行。就是水池水预热很慢很慢很慢。然后唔…交通不太多。', '短评打分': 4}
{'短评内容': '酒店厕所是坏的，被子坏的，住的时候被子掀开发现床单上到处是头发，床单被套都是上一波人走了之后没换的，对不起他要的价格', '短评打分': 2}
{'短评内容': '！ 很好 很好 很好 很好 很好 很好', '短评打分': 4}
{'短评内容': '差，差，差，差，差，差，差，差，', '短评打分': 1}
{'短评内容': '环境差，设备差，卫生差，尤其是服务态度非常差。', '短评打分': 1}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '这次住的标间，面积很大有20多平方，床估计是1.4米的，很宽，不错，还是老问题，电视没有几个台', '短评打分': 5}
{'短评内容': '总体来说还不错，也没有上面说的那么吵，就是电视机比较陈旧，还没有几个台', '短评打分': 5}
{'短评内容': '虽然很偏 虽然挺旧 但是如果去附近办事 就只能选择这里了\n房间大 门口就是出租车师傅吃饭的地方 好打车\n早餐实在是......还是那句话，如果去附近办事，也挺好了\n', '短评打分': 5}
{'短评内容': '环境一般,三人间还不错,里面一间,外面一间', '短评打分': 3}
{'短评内容': '价格一百二不算便宜了，但只算得上是家庭式的，卫生间房间不是很干净，最要命的是空调那个脏啊，开空调的时候那个纠结啊！！！吹出来的都是灰啊！说是送早餐卷，结果就是隔壁饭店的早餐，跟路边摊的那种差不多，稀饭几种油炸食品跟卤蛋，哎……', '短评打分': 1}
{'短评内容': '宾馆房间还可以，墙壁隔音效果不太好，可能就是其他网友说的比较吵的原因，电视信号不太好，没找到体育频道，不过网速挺快的我很满意，我可以在网上看欧洲杯，嘿嘿！', '短评打分': 5}
{'短评内容': '比较吵。。。卫生一般啦。。。在公共路旁边', '短评打分': 5}
{'短评内容': '房间居然没有电吹风，柜子门什么的还有坏的，电视也就几个台，牙刷太差，窗帘上面的扣袢掉了好几个也不搞一下，早餐除了卤蛋稀饭全是油炸的，估计唯一的优点就是房间够大够宽敞了', '短评打分': 1}
{'短评内容': '说实话，这个酒店真的很垃圾~~~不要住，真的~~', '短评打分': 1}
{'短评内容': '我感觉此宾馆卫生舒适服务好。', '短评打分': 3}
{'短评内容': '还可以，饭菜比较便宜，部分标准间A还不如标准间B，建议修改', '短评打分': 5}
{'短评内容': '服务热情，环境满意，价有所值，但细节要有进一步提升。', '短评打分': 5}
{'短评内容': '太差了，不是一般的差，早餐就发个方便面。', '短评打分': 1}
{'短评内容': '干净卫生，服务到位，价格适中，商务首选，但因为修路交通有点不便。', '短评打分': 5}
{'短评内容': '条件还可以，有早餐，省心。离会展中心不远，打的起步价，可以！', '短评打分': 5}
{'短评内容': '1,装修过于陈旧；\n2，地理位置太偏，虽然离明珠广场很近，但是还是需要坐车；\n3，周边实在没有什么吃的东西，只有楼下的两三家小饭店。', '短评打分': 1}
{'短评内容': '周边基本上什么都没哟，房间的装修也很旧了！', '短评打分': 1}
{'短评内容': '价格合理。住宿比较舒服。希望下次还会入住这家店。', '短评打分': 5}
{'短评内容': '酒店设施还好，性价比较高，位置有点偏，周围很荒，但是交通还比较方便，距离明珠广场较近', '短评打分': 5}
{'短评内容': '大概是因为离合肥市区比较远，所以酒店很小，也不太干净，房间出奇的大，有点不习惯，自助早餐太一般。不过比较安静，', '短评打分': 5}
{'短评内容': '宾馆里的设施还有待提高，地面陈旧，里面不太干净。', '短评打分': 5}
{'短评内容': '住房还不错，就是有点吵，免费的早餐不敢恭维。。。', '短评打分': 5}
{'短评内容': '价格便宜，卫生有待改善', '短评打分': 3}
