{'短评内容': '环境很清幽，旁边有古镇', '短评打分': 5}
{'短评内容': '环境一流其他一般', '短评打分': 4}
{'短评内容': '自由行悠哉悠哉......风景优美', '短评打分': 5}
{'短评内容': '设施陈旧，房间很多臭虫', '短评打分': 2}
{'短评内容': '有点旧，温泉OK。', '短评打分': 4}
{'短评内容': '房间太旧，卫生太差，总括差，差，差', '短评打分': 2}
{'短评内容': '还好，设施旧一点。', '短评打分': 4}
{'短评内容': '环境空气很好，设施稍微陈旧了点，望改善。', '短评打分': 5}
{'短评内容': '环境空气很好，设施稍微陈旧了点，望改善。', '短评打分': 5}
{'短评内容': '酒店设施老旧了，还过得去。温泉很好，周围环境很好，空气清新，爬山也很好玩。', '短评打分': 4}
{'短评内容': '环境山青水秀，大自然氧吧，非常舒服。', '短评打分': 4}
{'短评内容': '要求不高的人可以住。应该是山上最好的！    ', '短评打分': 4}
{'短评内容': '住宿的环境来说，不算是特别的好!', '短评打分': 4}
{'短评内容': '住在山上也只能这样了，空气很好。', '短评打分': 4}
{'短评内容': '环境舒服，客房的设施和服务还需要有待进一步提高。', '短评打分': 2}
{'短评内容': '周边环境还可以。。没有在旺季订房。。感觉还不错。。', '短评打分': 4}
