{'短评内容': '这个价位在南京住这样已经很满意了', '短评打分': 4}
{'短评内容': '位置不错，房间很小，气味重。', '短评打分': 4}
{'短评内容': '还不错   每次在奥体都会住他家！', '短评打分': 5}
{'短评内容': '没有早餐、根本不能加床，不适合带小孩，（房间太小）停车场收费，预定的是1.8米大床，22㎡，到店后直接给安排一个1.5米，8㎡左右的，房间卫生特别差，椅子上都是灰！最差的一次！', '短评打分': 1}
{'短评内容': '电视没有声音，找前台，来个人拿个遥控器按几下搞不好就走了，然后就没人管了，服务态度太差。电视只能看几个台，看电影全要收费，房间非常小，只有走廊上的一个小窗户，晾衣架有跟没有样的，厕所也很小。', '短评打分': 1}
{'短评内容': '很好，开始还有点担心', '短评打分': 5}
{'短评内容': '位置很好，就在南京市政府对面，离地铁和体育中心都很近', '短评打分': 5}
{'短评内容': '房间的确小啊', '短评打分': 3}
{'短评内容': '宾馆环境真的不行', '短评打分': 3}
{'短评内容': '房间很小 一进门感觉是油漆味还是卫生间里的空气清新剂的味道 很不舒服 开门透气才好一点 ', '短评打分': 4}
{'短评内容': '酒店位置好，周边环境好。房间里有蟑螂。', '短评打分': 4}
{'短评内容': '离交易中心太近了，有免费停车卷', '短评打分': 3}
{'短评内容': '还不错，就是没有早餐，稍微有点贵', '短评打分': 3}
{'短评内容': '大早晨来了没房，行李放那了又催了一天交押金。 挺好的酒店，工作时能否用点心思？', '短评打分': 3}
{'短评内容': '离地铁比较近，不过房间不是很好，一个人住还行其他有点问题。', '短评打分': 3}
{'短评内容': '真的很一般，真的很一般，这价格住那么破的', '短评打分': 1}
{'短评内容': '酒店服务还好', '短评打分': 3}
{'短评内容': '挺贵，还挺冷', '短评打分': 3}
