{'短评内容': '挺好的，主要便宜(/ω＼)', '短评打分': 5}
{'短评内容': '干净卫生，服务周到，方便快捷', '短评打分': 5}
{'短评内容': '不错挺干净的，服务也好', '短评打分': 5}
{'短评内容': '酒店位置还可以有停车场但不大', '短评打分': 5}
{'短评内容': '酒店位置还可以有停车场但不大', '短评打分': 5}
{'短评内容': '服务特别周到，很好的一次旅行', '短评打分': 5}
{'短评内容': '环境还行，被吵醒，哈哈哈', '短评打分': 5}
{'短评内容': '第一次在京东预定酒店，优惠了不少，不错不错！送货也很快，相信京东，能在京东上买到到的东西绝对不去其他地方买，顾客粘性已养成，京东，你成功了！', '短评打分': 5}
{'短评内容': '除了位置有点偏，其它都还好，电视是机顶盒的，有点不爽', '短评打分': 3}
{'短评内容': '不错！适合出差居住！干净！附近还有机场大巴！下次出差还来这里！', '短评打分': 5}
{'短评内容': '房间挺大的，真心不错，推荐', '短评打分': 5}
{'短评内容': '还是选择精选比较好.快地毯也辣么丑.而且房间窗户打开根本是一堵墙看不到太阳.叫机场大巴以为是离机场大巴很近才选择结果死机绕了那么远的路.第一天入住前台说话可没素质了.客服大姐比较辛苦.每天都问我们要不要打扫卫生.还是一般般.不适合出差或者旅游居住.这大概就是如家品牌精选和快捷的区别吧.', '短评打分': 2}
{'短评内容': '干净，舒服，如家', '短评打分': 5}
{'短评内容': '这是住过最垃圾的如家，服务员的态度让人无法理解，对着顾客打嗝，做出好多恶心的事情，想想就觉得后悔！', '短评打分': 2}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '地理位置优越   距离土门夜市很近   价格优惠   网上预付过也不用交押金  真是充分相信客人', '短评打分': 4}
{'短评内容': '已经无语了，热水中有沙粒，用水时水管爆了，被套还是破的！', '短评打分': 1}
{'短评内容': '设施老旧，估计装修比较早了。', '短评打分': 4}
{'短评内容': '酒店很干净，也便宜，跟图片上房间布置一样，但是水池的水龙头里面的水流出来有黑色的渣滓，不知道是什么，房间的隔音效果也不好', '短评打分': 5}
{'短评内容': '前台办理很快，入住卫生较干净，体验nice', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '感觉还可以吧', '短评打分': 4}
{'短评内容': '不错的 方便 安静 主要是交通便利 真的是非常便利', '短评打分': 5}
{'短评内容': '服务温馨，位置方便，接待热情，舒适干净，值得推荐。', '短评打分': 5}
{'短评内容': '如家挺干净的  还不错  ', '短评打分': 3}
{'短评内容': '交通便利，虽然临近马路，但是很安静、舒适。', '短评打分': 5}
{'短评内容': '酒店交通便利，服务好。没有十年特惠了，而且价格贵了，不怎么经济实惠了，而且电脑房好像挺少的', '短评打分': 3}
{'短评内容': '不错很划算.推荐一下', '短评打分': 3}
{'短评内容': '酒店交通方便，价格经济，室内设施齐全，有暖气和空调，一点也不冷。服务还很贴心呢，建议大家入住。', '短评打分': 5}
{'短评内容': '差评，条件一般，暖气很差，空调不暖，热水不足，服务员是训练有速的木偶性价比真是低到不行啊', '短评打分': 3}
{'短评内容': '酒店周围环境寂静，不吵闹，服务很贴心，建议大家光临。', '短评打分': 5}
{'短评内容': '说好了是十年庆典特惠大床房，网上说是18平米大，结果，是特价大床房，最多五六个平米，房间是全酒店最小的一个，转个身都难！！！非常不满意，而且浴室喷头是坏的，晚上入住的，大半夜才发现，找人换，前后折腾了快半个小时，郁闷的要死，是我住过的如家酒店里面最差的一次！', '短评打分': 1}
{'短评内容': '房间较大，床及床上用品舒适。早餐清爽、健康', '短评打分': 3}
{'短评内容': '朋友住了说还可以，房间宽敞，床也很大', '短评打分': 3}
{'短评内容': '国庆去的，位置不错，就是有点贵，没办法，酒店不好预订啊，如家的酒店还是比较干净的！', '短评打分': 5}
{'短评内容': '1、店位置不错，出门不远就是公交车站，楼下就是大超市和药店，附近也有很多吃饭的地方。离内城也不远，很多趟公交车都可以到。\n2、有免费停车位，虽然不多，但即便是国庆长假我们家也总可以找到停车的地方。\n3、服务态度很好。再繁琐的问题店员都会耐心回答。\n4、房间很干净，很明亮。没有出现过小强等不明生物。\n\n总体来说，非常满意！', '短评打分': 5}
{'短评内容': '地点离火车站不远,地段很繁华,服务很好.整体不错,就是每层大床房不一样大.', '短评打分': 3}
{'短评内容': '酒店的位置比较方便，但是发生了一件很令我不愉快的事情，服务员竟然把我和另外一个客人的房间开重了，睡到半夜竟然有人开了我的房门。这是很严重的失误，我个人无法原谅。', '短评打分': 1}
{'短评内容': '离小寨和大雁塔、这些地方比较近，最有三站路，房间超小，只比双人床大一点，没有窗户，网速超慢，其他还行，如果只晚上住一下还行，呆久了比较闷，不过房价还算可以，勉强对得起，', '短评打分': 1}
{'短评内容': '房间太小,房间比较潮湿阴暗!下次就不住了!', '短评打分': 1}
{'短评内容': '酒店住宿较为满意，但早餐一般只有两种套餐并在房间内就餐（可能是餐厅装修？）。另外在卫生间发现小虫虫，最好能够解决此问题。', '短评打分': 5}
{'短评内容': '还不错，属于比较好的快捷酒店，下次还会入住。', '短评打分': 5}
{'短评内容': ' 房间干净， 服务生态度不错， 值得推荐。', '短评打分': 3}
{'短评内容': '隔音有点不好，其他的都很好，我觉得很舒适。。会推荐朋友去的。。。', '短评打分': 5}
{'短评内容': '不错的商务酒店，房间明亮干净，设施齐备，就是周围环境有点吵。', '短评打分': 5}
{'短评内容': '好 ', '短评打分': 3}
{'短评内容': '地段不错，周围公交站便利。服务态度态度挺好，很干净，但是面向街道有点吵，总体来说很不错', '短评打分': 3}
{'短评内容': '环境不错，价格合理，交通也比较方便，就是距离主城区稍远一点。', '短评打分': 5}
{'短评内容': '温暖干净舒适，但洗澡水太小，无法洗头。', '短评打分': 3}
{'短评内容': '服务很好  环境也不错 旁边还有家人人乐超市 非常方便 \n离大唐西市三站路挺近  那里吃的也多……看电影也方便 \n没了 \n', '短评打分': 5}
{'短评内容': '不错 ', '短评打分': 3}
{'短评内容': '不是很好，隔音差，床单有点脏，上网速度非常慢。', '短评打分': 1}
{'短评内容': '周边环境不错，吃饭的地方很多，交通便利。', '短评打分': 5}
{'短评内容': '卫生条件很好，很干净，服务不错很周到热情的，下次还会住的', '短评打分': 5}
{'短评内容': '设施不错，而且床上用品和卫生间蛮干净的，住着很放心。', '短评打分': 5}
{'短评内容': '位置不错，在闹市旁边，但是环境很幽静，出行很方便', '短评打分': 5}
{'短评内容': '服务员态度蛮好的，比较热情的，酒店的装修给人很温馨的感觉，住宿环境很不错', '短评打分': 5}
{'短评内容': '很不错的地方，干净卫生，就是房间小了点', '短评打分': 5}
{'短评内容': '服务还不错，有事找服务员会很快过来，态度也不错。', '短评打分': 5}
{'短评内容': '这家如家还不错，房间面积小了些，但是配置硬件都还好，也很舒适，晚上休息很安静。', '短评打分': 5}
{'短评内容': '房间的布置很温馨，色彩很鲜艳，不像是一般旅店都是白色的，很喜欢酒店的风格。', '短评打分': 5}
{'短评内容': '喜欢酒店的位置，闹中取静，出行很方便，休息也很安静。', '短评打分': 5}
{'短评内容': '酒店的配置很新，给人感觉干净舒适的感觉。', '短评打分': 5}
