{'短评内容': '服务不错，干净卫生，性价比高。', '短评打分': 3}
{'短评内容': ' 环境一般，服务还行', '短评打分': 3}
{'短评内容': '经济实惠，交通便利，房间不是太大也不是说太小，对价格有要求的推荐入住。', '短评打分': 5}
{'短评内容': '住了2晚，感觉还不错，只是房间里的小保险箱没弄明白，结果锁上打不开了，还好没放东西在里面，呵呵。', '短评打分': 5}
{'短评内容': '还不错，附近有地铁到哪去都还算方便,服务态度也不错。', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 3}
{'短评内容': '靠近地铁站1000米 还算不是很远 每次来都住这里  还算是挺方便  旁边有一个中型超市  吃饭也比较方便', '短评打分': 5}
{'短评内容': '每次来上海都在这住 总体性价比比较高 就是网络时常出现问题', '短评打分': 5}
{'短评内容': '酒店环境不错，我们订的家庭房，床足够大，也很舒服，早餐非常可口，是我们去上海吃的最可口的一次早餐', '短评打分': 5}
{'短评内容': '性价比比较高 环境也不错 服务也还可以  就是房间有点不隔音啊', '短评打分': 5}
{'短评内容': '靠近地铁一号线和公交站点，位置不错，酒店里的环境也挺好，比较整洁干净~有一扇窗靠近走廊~~性价比挺高', '短评打分': 5}
{'短评内容': '还可以吧。。。值得推荐一下的！希望以后能做得更好\n', '短评打分': 5}
{'短评内容': '＋环境还可以，地段也挺方便，服务也蛮好', '短评打分': 3}
{'短评内容': '房间比较小，但是比较干净。缺点就是窗户都在卫生间', '短评打分': 5}
{'短评内容': '设施有点旧，不过经过精心布置还是蛮不错的。。', '短评打分': 5}
{'短评内容': '不错。。下次还住那里。房间比较干净，IP电视也不错', '短评打分': 5}
{'短评内容': '很好不错，这个酒店性价比很好，而且预定比较方便。', '短评打分': 5}
{'短评内容': '很好不错，本人经常住那边。下次有机会还去那里。', '短评打分': 5}
{'短评内容': '房间很好性价比挺高的，推荐下。属于比较实惠的，类似于莫泰汉庭的档次', '短评打分': 5}
{'短评内容': '房间设施挺新的，价格也挺实惠，下次还会入住！', '短评打分': 3}
{'短评内容': '很实惠很好……………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '很好，很满意。下次如果再到上海的话，还会入住 的。', '短评打分': 5}
{'短评内容': '本酒店整体感觉不错，房间的装饰设计也挺好的,离火车站一站地铁就可以到比较方便。卫生也不错，经济型连锁酒店我觉得跟如家有的一比。', '短评打分': 5}
{'短评内容': '还可以，看着比较舒服', '短评打分': 3}
{'短评内容': '酒店位置出行方便，住宿条件比较整洁，价格划算', '短评打分': 3}
{'短评内容': '还算不错，就是插座少点', '短评打分': 3}
{'短评内容': '酒店环境还可以 性价比相对来说还是比较高的', '短评打分': 5}
{'短评内容': '酒店环境还可以 就是有点不隔音呢  楼下吃的什么的倒是挺方便的', '短评打分': 5}
{'短评内容': '已经入住酒店', '短评打分': 3}
{'短评内容': '很好，性价比很高，离火车站很近，可以说是挨着北广场的，下次还可以入住', '短评打分': 5}
{'短评内容': '该酒店是我住过的服务最差的酒店，雨伞20块钱一把还不能借。房间没有催风机想要用还要100块钱押金，还不送到房间。网上说离火车站很近，其实离火车站不行30分钟啊。\n这次真是被骗了啊', '短评打分': 1}
{'短评内容': '还不错，比较经济实惠，温馨，黄色的色调，周边也有很多小吃，超市，吃饭还蛮方便，地铁要走点路', '短评打分': 5}
{'短评内容': '酒店温馨舒适 价格适中 房间淋浴洗澡舒适 地理位置适中 \n', '短评打分': 5}
{'短评内容': '价格合适，交通便利，紧靠市中心，就是房间有点小。', '短评打分': 5}
{'短评内容': '交通很方便,离火车站也很近,主要是安静.下次还会来住.', '短评打分': 5}
{'短评内容': '其实交通还是挺方便的  虹桥火车站10号线转8号线之后过两三个红灯差不多了', '短评打分': 5}
{'短评内容': '还不错，就是隔音效果不是很好……', '短评打分': 3}
{'短评内容': '世博期间住的，当时宾馆实在难找。性价比真的非常一般。', '短评打分': 1}
{'短评内容': '很好，价格不贵，挺干净的，交通也很便利。。。。', '短评打分': 5}
{'短评内容': '酒店服务热情 客房温馨舒适  地理位置适中  价格合理', '短评打分': 5}
{'短评内容': 'k  f博大一式三份上产出率不堪重负为 一式三份地区性有碗话碗，有碟话碟为', '短评打分': 5}
{'短评内容': '博大一式三份上产出率不堪重负为 一式三份地区性有碗话碗，有碟话碟为', '短评打分': 5}
{'短评内容': '酒店温馨舒适 价格适中 房间淋浴洗澡舒适 地理位置适中', '短评打分': 5}
{'短评内容': '地理位置适中 价格优惠 服务热情 酒店客房温馨', '短评打分': 5}
