{'短评内容': '地理位置方便，出行，吃喝玩乐都全，服务热情，卫生干净！', '短评打分': 5}
{'短评内容': '每次来都住这里', '短评打分': 5}
{'短评内容': '位置好，干净', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '品牌的力量，非常不错。', '短评打分': 5}
{'短评内容': '干净卫生，地理位置好，各种方便！在院子里还很安静！', '短评打分': 5}
{'短评内容': '如家快捷酒店在众多连锁酒店里我认为最干净卫生的一家，只要价钱可以一般都会首选如家。', '短评打分': 5}
{'短评内容': '隔音很差，半夜隔壁小孩又哭又笑，都没睡好', '短评打分': 3}
{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '靠近市中心，交通也比较方便。附近商业店铺也较多。  附近工人剧院门口有机场大巴，但一定要注意要提前两个小时就等着！因为叫出租过去的话，司机基本是一口价，不打表的。', '短评打分': 5}
{'短评内容': '房间布置的非常简洁，很卫生，服务也很好，有种回家的感觉。卫生间还有净水设备，很棒！价格很平民，超出了我的预期！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '每次到邯郸都住这里，很方便，地理位置也不错', '短评打分': 5}
{'短评内容': '还行吧，一般般吧', '短评打分': 5}
