{'短评内容': '服务很好，马漪镁和管金琴态度超赞。', '短评打分': 5}
{'短评内容': '感谢姚丽仙，龙辉珍送的银耳莲子汤', '短评打分': 5}
{'短评内容': '服务员龙辉珍，姚丽仙的服务非常好。', '短评打分': 5}
{'短评内容': '还不错，就在火车站对面，很方便，卫生也还可以，另外给服务员杨国香点个赞，热热情的，。还送来了红豆汤。', '短评打分': 5}
{'短评内容': '杨国香服务态度好，周到。', '短评打分': 5}
{'短评内容': '彭美芳和马一美服务态度很好，房间卫生很好，很满意', '短评打分': 5}
{'短评内容': '前台美女彭美芳和马一美服务态度非常不错', '短评打分': 5}
{'短评内容': '前台彭美芳和马一美服务态度热情，人也很漂亮，房间不错', '短评打分': 5}
{'短评内容': '还不错，挺安静的～', '短评打分': 5}
{'短评内容': '酒店环境不错，没吃到早餐很可惜', '短评打分': 5}
{'短评内容': '顺利入住，京东不错', '短评打分': 5}
{'短评内容': '很好很舒适', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '都还不错的，就是隔音有点不是很好&hellip;&hellip;', '短评打分': 5}
{'短评内容': '取消了', '短评打分': 5}
{'短评内容': '不知道怎么评价，反正每次京东自营的还是比较满意的！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不知道怎么评价，反正每次京东自营的还是比较满意的！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店不错，周边环境有的差', '短评打分': 5}
{'短评内容': '还可以，下次再来', '短评打分': 4}
{'短评内容': '还可以，下次再来', '短评打分': 4}
{'短评内容': '还可以，下次再来', '短评打分': 4}
{'短评内容': '还可以，下次再来', '短评打分': 4}
{'短评内容': '很不错，早餐很好。', '短评打分': 5}
{'短评内容': '服务好，地点对于坐火车的人太方便啦，火车站对面，位置非常好，设施一般，厕所有很重的臭味，早餐因赶早班火车没吃。', '短评打分': 5}
{'短评内容': '这个价位真的不错的酒店了', '短评打分': 4}
{'短评内容': '酒店位置很好，在火车站洛阳路出站口边上，机场大巴就在门口，服务很周到。', '短评打分': 5}
{'短评内容': '帮同事定的，位置较好利于出行打车也方便，离办事的地方较近，酒店设施也比较完善，服务也还不错 性价比不错 下次还住这', '短评打分': 4}
{'短评内容': '房间很好，离火车站很近。', '短评打分': 3}
{'短评内容': '酒店还是很新的，性价比很高，下次到南昌还会住在这', '短评打分': 5}
{'短评内容': '房间很大，设施也不错，早餐也合口味，门前靠火车站有点乱，总体比较好，下次还会入住，', '短评打分': 5}
{'短评内容': '酒店感觉不觉，非常舒适、洗澡热水压力很好，卫生间大，交通便利、机场大巴直达、火车站在对面，旁边是长途公交，适合自助旅游。', '短评打分': 3}
{'短评内容': '很好的星级酒店，靠近火车站比较方便，下次还会入住！', '短评打分': 5}
{'短评内容': '地理位置很不错，交通方便，适合过来办事的。性价比还行。', '短评打分': 5}
{'短评内容': '离火车站非常近，房间设施很好，值得推荐，下次还要入住', '短评打分': 5}
{'短评内容': '房间很挤，洗手间也小，当天入住时宽带无法使用，到第二天早上才正常', '短评打分': 1}
{'短评内容': '网络垃圾！间隔几分钟就断一次！装修也没之前的七星好！非常后悔！', '短评打分': 3}
{'短评内容': '房间大，家庭房的大床和一张小床设计很好，离火车站近，做火车方便。如果不赶火车，建议以后大家不要住朝向火车站的那边，有噪音。', '短评打分': 5}
{'短评内容': '不是5星酒店，最多3星的样子，洗手间很小，饮料就4包茶叶，2瓶水，', '短评打分': 1}
{'短评内容': '酒店很好，地处闹市，服务有待加强，房间较大，挺满意。', '短评打分': 5}
{'短评内容': '很好的酒店，机场大巴对面。就是打车要走出来。早餐能接受。房间挺大的', '短评打分': 5}
{'短评内容': '酒店還行，房間小了點', '短评打分': 3}
{'短评内容': '那时的性价比很高，这个价格还返现挺多。早餐过得去，机场大巴终点站的边上', '短评打分': 5}
{'短评内容': ' 一家很干净的酒店，价格和性能比较高的下榻，原计划住一天但感觉很好又续住了，下次还会选择这家酒店真的很不错！', '短评打分': 5}
{'短评内容': '还不差，安静，性价比很高!还不差，安静，性价比很高!还不差，安静，性价比很高!', '短评打分': 5}
{'短评内容': '酒店位置离火车站非常近，步行五分钟，房间还是挺新，单间挺小，标间够大，服务很好。预定愿意定标间。', '短评打分': 5}
{'短评内容': '好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！好，很好，非常好！', '短评打分': 5}
{'短评内容': '唯客丽晶是我很喜欢的酒店，价格合理，房间舒适而且很人性化！', '短评打分': 3}
{'短评内容': '酒店环境和服务都不错，相对于这个价格在南昌绝对是物超所值！', '短评打分': 3}
{'短评内容': '我的同事去南昌出差，委托我给他们定房，他们入住后感觉酒店设施和服务很好，表示下次还希望住在这家酒店。', '短评打分': 5}
{'短评内容': '我是为公司同事预定的酒店，入住后，感觉不错，服务也蛮好的，得到了好评，下次还会入住你们酒店。', '短评打分': 5}
{'短评内容': '  空调不行热死了', '短评打分': 3}
