{'短评内容': '酒店还可以，就是10元早歺比较简单', '短评打分': 4}
{'短评内容': '没有停车场', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，就是不含早餐', '短评打分': 5}
{'短评内容': '服务态度很好，其他的还好', '短评打分': 5}
{'短评内容': '装修不久。早餐加10元也可以。干净。下次来武汉在来这里', '短评打分': 5}
{'短评内容': '位置非常便利，离汉口商圈很近，很好的酒店！', '短评打分': 5}
{'短评内容': '住了很久了！很不错！环境很好！！！！！！！', '短评打分': 5}
{'短评内容': '哈哈哈啊哈哈哈哈好！', '短评打分': 5}
{'短评内容': 'good，，', '短评打分': 5}
{'短评内容': '好。。。。', '短评打分': 5}
{'短评内容': '挺好的，价格实惠，环境也不错', '短评打分': 5}
{'短评内容': '不错的啊啊', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '设备一般，服务一般', '短评打分': 2}
{'短评内容': '面盆堵塞，电视机收不到几个台且画面模糊，窗户隔音差，临街的房间太吵。', '短评打分': 3}
{'短评内容': '房间小，对着马路，非常吵。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境，内部设施都还不错，价格适中，房间干净，服务也很好。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '酒店不错的 值得推荐！', '短评打分': 4}
{'短评内容': '每次入住这个酒店，价格合适关键内饰比较不错，位置也很好', '短评打分': 5}
{'短评内容': '整体来说不错，很舒适，属于经济型酒店。交通也方便。唯一不足的地方就是洗澡的喷头出水较少，房间里无矿水。希望改进！', '短评打分': 5}
{'短评内容': '环境很好，服务很好，一切都很好，不过以后不会再住，没理由', '短评打分': 5}
{'短评内容': '服务非一般的差，难道不培训就上岗的吗，和连锁酒店服务相差甚远，价格倒是还高一些。', '短评打分': 1}
{'短评内容': '前台总是只有一个人，根本忙不过来，叫个服务也是，网口有问题，叫3次都没人搭理你，只能靠自己，要来住的人注意了，要会自己弄网口，还得有足够的忍耐力才行的。', '短评打分': 1}
{'短评内容': '酒店很好，就是靠高架，有点吵', '短评打分': 3}
{'短评内容': '晚上有莫名的機器震動聲音,空氣有點差,住3天第一天要繳500押金,後來每天要繳200租金,對於要出去別地辦公事的我把行理放酒店去辦事情,一直被電話催討租金實在很不舒服!!', '短评打分': 1}
{'短评内容': '酒店的设施对不起这个价格，早餐更是无法想象，不如不要含早算了，服务还不错，大堂也还行', '短评打分': 1}
