{'短评内容': '非常不错卫生宽敞', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '隔音差 晚上有砸墙的声音', '短评打分': 4}
{'短评内容': '还好，价钱在那。', '短评打分': 5}
{'短评内容': '所处位置交通方便', '短评打分': 5}
{'短评内容': '房间还好，离苏州站很近，很方便', '短评打分': 3}
{'短评内容': '很一般，下次不回去了，价格有点贵。', '短评打分': 3}
{'短评内容': '马马虎虎宿一个晚上。其实此宾馆房间味道很重一个晚上没有睡上。不理想。', '短评打分': 3}
{'短评内容': '房间挺大的，还有电脑，空调不太给力', '短评打分': 3}
{'短评内容': '卫生一般，服务一般，设施一般，离火车站较近，附近有小饭店、商店，吃饭、买东西较方便，房间空间小，但经济实惠。', '短评打分': 3}
{'短评内容': '家庭房，不错。', '短评打分': 5}
{'短评内容': '地理位置还可以，地铁和公交比较方便，卫生条件不是很好~', '短评打分': 3}
{'短评内容': '酒店位于苏站附近，交通便利，房间很干净，服务员很热情，下次还会入住。', '短评打分': 5}
