{'短评内容': '很好很好', '短评打分': 2}
{'短评内容': '房间卫生还可以 就是卫生间有点差', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '两间一起订的，不多说了啊，，，，，，，，，，，，，，，，，。，。。，。，，，，，，，我是带小孩团队出游，国庆节贵，而且价格高不值得', '短评打分': 4}
{'短评内容': '带小孩去的，前台非要小孩到公安局办个证明，烦的不得了，撤了半天，才勉强算了，地理位置相当好，走一段路就是商业街', '短评打分': 4}
{'短评内容': '房间停干净的，都蛮好的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '携程打电话来跟我核实究竟开了几间房，竟然这事也要核实，那么我必须好好说说这家店。我明明开了两间房，相同价位的，拿到房卡进门后却发现两间房除了床的尺寸一样，其他的档次完全不同。很明显一间面积大很多，还有浴缸，另外一间面积小很多，没有浴缸，而且卫生间面积也小。这事询问前台，前台给我的答复就是：我们的客房标准就是按床的尺寸定的，其他的不管。当时我就无语了。现在携程客服告知我系统里显示我就开了一间房，而且', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境一般，便宜，离自己办事的地方比较近！', '短评打分': 4}
{'短评内容': '位置非常好，离南大街3分钟步行。但酒店设施真是经济酒店中最差的吧。床板很硬，枕头软软塌塌的。沙发比较脏。前台很慢，一个人都要几分钟。Wi-Fi差到爆', '短评打分': 4}
{'短评内容': '卫生差，隔音差，服务差，设施差。唯独离南大街还算近。不是自驾出行的话上街方便一点。', '短评打分': 3}
