{'短评内容': '老闆很好.環境也是我喜歡的', '短评打分': 5}
{'短评内容': '老板奶斯', '短评打分': 5}
{'短评内容': '还不错的 五星好评', '短评打分': 5}
{'短评内容': '老板很好的', '短评打分': 5}
{'短评内容': '很有特色，老板娘很热情！地方也挺好找的，哈哈，其实拉萨很小，走一次都能认路了！没有一次性用品，但有风筒！', '短评打分': 5}
{'短评内容': '很有特色，老板娘很热情！地方也挺好找的，哈哈，其实拉萨很小，走一次都能认路了！没有一次性用品，但有风筒！', '短评打分': 5}
{'短评内容': '住得舒適', '短评打分': 5}
{'短评内容': '老板娘人很好，很热情，还给我们介绍了当地的旅行攻略！', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '老板很热情，呵呵。一米八的床上是一米五的垫子。巷子很深，不好找', '短评打分': 3}
{'短评内容': '很不错的一家客栈，老板很热情周到。', '短评打分': 3}
{'短评内容': '客栈环境不错，老板还特意发短信告诉怎么走，很热情。房间整洁干净，麻雀虽小 五脏俱全，通风采光都极好！', '短评打分': 3}
{'短评内容': '挺好的，老板娘很热情，环境很好，推荐', '短评打分': 3}
{'短评内容': '位置不好找。相对之前住的卓穆，价格偏高，包括搭伙吃饭。住的大床房，房里没电视，不过出门就是他们布置得不错的客厅，电视很大，还可以玩游戏。房间比较小。老板夫妇是天津的，很随性的年轻人，据说要改善电视（拉萨电视信号普遍差）。', '短评打分': 5}
{'短评内容': '不错老板很热情', '短评打分': 3}
