{'短评内容': '总的感觉一般，房间挺大，但是感觉设备不新。然后地方没那么好找，优点是离万达近', '短评打分': 4}
{'短评内容': '非常干净，5星得服务，老板人好，周到', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '公寓类的还不错', '短评打分': 5}
{'短评内容': '环境不错，房间很大，很干净。', '短评打分': 5}
{'短评内容': '还好，高层', '短评打分': 3}
{'短评内容': '好，干净卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '是个好地方，附近的服务很多，自己体会', '短评打分': 5}
{'短评内容': '房间卫生状况一般，地段真的不错！', '短评打分': 4}
{'短评内容': '3111浴室下水不通，马桶不回弹，漏了不少水。其他挺好，安静卫生', '短评打分': 4}
{'短评内容': '整个硬件还是挺好的，第n次预订了，这次有个预订3间3夜的（非此单），到店后一间改住单人间，结果就这间不给我确认，害我没法返现，其实这个房只是返现后才值这个价，不太愉', '短评打分': 5}
{'短评内容': '整个硬件还是挺好的，第n次预订了，这次有个预订3间3夜的（非此单），到店后一间改住单人间，结果就这间不给我确认，害我没法返现，其实这个房只是返现后才值这个价，不太愉快。', '短评打分': 4}
{'短评内容': '周边这个是比较合适的价位，第二次来了，也没有换地方。', '短评打分': 4}
{'短评内容': '卫生干净，出行方便。', '短评打分': 3}
{'短评内容': '还可以的 到底的', '短评打分': 5}
