{'短评内容': '周边吃东西很方便，但是酒店很破', '短评打分': 2}
{'短评内容': '服务还不错。有免费停车场。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '房间不错，床很大，适合全家出行。地理位置好，地铁方便。', '短评打分': 4}
{'短评内容': '老年活动中心，酱紫', '短评打分': 3}
{'短评内容': '酒店里面很干净，也挺安静的感觉不错', '短评打分': 4}
{'短评内容': '老板人很好 很热情 值得推荐', '短评打分': 5}
{'短评内容': '服务态度很好，南京东路的繁华相比，是小县城与大都市。出行还方便的，走十分钟就到地铁站。挺热闹。', '短评打分': 4}
{'短评内容': '家具比较老，一般般', '短评打分': 3}
{'短评内容': '离地铁9号线和10号线大概15分钟左右的路程，出行还算方便，酒店环境一般', '短评打分': 4}
{'短评内容': '该装修了', '短评打分': 4}
{'短评内容': '环境不错，设备标准，十年老店，这两年来上海都住这了！离城隍庙近，附近还有街边小烧烤，小馄饨。', '短评打分': 5}
{'短评内容': '客服不错，卫生也不错，不过这里好像也是个老年公寓哦~', '短评打分': 5}
{'短评内容': '店面朦胧隐秘、设施简陋不堪、员工很不专业极不靠谱！', '短评打分': 3}
{'短评内容': '乍一看还以为是老年公寓呢 酒店比较旧  价格还贵 哎 ', '短评打分': 1}
{'短评内容': '是老年公寓改装的房间，不豪华但还算干净。世博期间这样的价算是便宜了', '短评打分': 5}
{'短评内容': '房间和卫生间搞得还还比较干净，三百九的价格在世博期间也只能说是正常的了。', '短评打分': 5}
{'短评内容': '条件很不好,环境也不行,是个老年公寓改的,门头很小,尤其是卫生特别差', '短评打分': 1}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '该酒店部分客房为老年公寓，交通比较便利，但卫生服务设施一般，订房时需担保订房才能确认百分百订到，否则既便订了房，也有可能最终入住不了。', '短评打分': 5}
{'短评内容': '世博期间，上海酒店业乘机哄抬价格鸡犬升天，性价比严重扭曲。\r\n该酒店实为黄浦区蓬莱老年公寓，一共五层，其中一、二层用作酒店。设施较简陋陈旧，上下水失修，紧邻民居、学校和工地，噪音很大。服务还可以。', '短评打分': 1}
{'短评内容': '条件一般，态度和蔼！交通便利, 出行方便！', '短评打分': 3}
{'短评内容': '不错，满意', '短评打分': 5}
{'短评内容': '＋房间一般，态度和蔼', '短评打分': 5}
