{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '这家酒店性价比不高，关键是太老了。就觉得交通挺方便的，', '短评打分': 1}
{'短评内容': '酒店设施还可以，性价比好，下次出差还会找这个酒店', '短评打分': 5}
{'短评内容': '房间蛮大的，因为飞机延误，一直帮我保留房间，挺好的，如果装修更现代点就好了', '短评打分': 5}
{'短评内容': ' 服务员的服务还可但是房间里太不好，只有电视和毛巾。矿泉水要钱，牙刷也要钱。', '短评打分': 3}
{'短评内容': '我住的豪华单间，空间很大，舒畅，唯一不足的地方就是有点旧而已，有点复古的感觉', '短评打分': 5}
{'短评内容': '除了早餐不够精致，前台服务很好，大体上都还不错。', '短评打分': 5}
{'短评内容': '去开会时选的这里，性价比挺高的，室内装修很豪华，空间也很大，布局非常舒服，大床房还是圆床，很舒服。虽然临近电梯，但晚上睡的还挺好的~ 需要注意的是，洗漱用品是要消费的，6元一套。', '短评打分': 5}
{'短评内容': '酒店还不错，就是酒店里可以挂帐消费的东西太少了，想买东西很不方便！', '短评打分': 5}
{'短评内容': '整体感觉不错，服务，态度，卫生，地理位置，有房卡四川豆花打88折，好吃', '短评打分': 5}
{'短评内容': '服务不错，地理位置不错（景田地铁步行10分钟），值得推荐', '短评打分': 5}
{'短评内容': '无窗的圆床房，感觉还好，除了有点点洗手间传出来的味道，觉得针对这点可以做一些改进', '短评打分': 5}
{'短评内容': '本来定的豪华单人间但是还没打扫就升级到商务单人间，不过貌似还没豪华单人间的360度视频感觉好。服务还好。离景田地铁站很近，周围有很多好吃的。性价比好好', '短评打分': 5}
{'短评内容': '之前住的温馨大床房，离路较近比较吵。换了豪华房情况就好多了。对睡眠质量挑剔的建议直接住行政房，不临路。', '短评打分': 5}
{'短评内容': '位置还不错，很好找，就是房间临路，有点吵。', '短评打分': 5}
{'短评内容': '房间设计不好，红色墙纸加玻璃天花的设计很恐怖。。。。。', '短评打分': 1}
{'短评内容': '酒店整体还不错，就是有点旧了', '短评打分': 3}
{'短评内容': '大运会期间貌似涨价了100，400多的话就感觉不划算了', '短评打分': 5}
{'短评内容': '我住的豪单，房型还可以，设施有些旧了，但服务态度不错。可惜酒店已不提供一次性拖鞋、和牙刷说是环保。我觉得可以便宜卖，就好像超市的塑料袋一样嘛。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '酒店卫生环境还是不错的，就是豪华单间有点小了', '短评打分': 5}
{'短评内容': '已入住,还满意,谢谢!', '短评打分': 3}
{'短评内容': '卫生一般，感觉不是很干净！', '短评打分': 3}
{'短评内容': '卫生状况不能让人满意，走廊气味难闻。早餐也不能让人满意。', '短评打分': 1}
{'短评内容': '酒店前台服务冷淡，提前2个小时预订的房间，入住时还没有做好房间，前台还让等待搞卫生，而且也不解释原因。318元的房价在深圳很多酒店都能拿到房。', '短评打分': 1}
{'短评内容': '还不错，房间很大，很舒服，早餐不错！下次去深圳还住！', '短评打分': 5}
{'短评内容': '设备偏旧', '短评打分': 3}
{'短评内容': '还可以，比较陈旧，主要是方便，招待家人用。交通非常方便，早餐就很一般。', '短评打分': 5}
{'短评内容': '作为四星的酒店,该酒店设施太过简陋,厕所太小,门推开都会撞到坐厕.房间隔音不好,床太硬.而且早上起来,会闻到臭味.', '短评打分': 1}
{'短评内容': '在深圳这个价格是比较合理了。', '短评打分': 3}
{'短评内容': '25的房型，床要比23的房型好很多，不过由于没窗户，所以洗手间会有些异味传到房间里', '短评打分': 5}
{'短评内容': '实华酒店入住好多次了，都是为了商务。这次安排的房间最这么多次最满意的，唯一不足就是有点吵，在电梯旁。', '短评打分': 5}
{'短评内容': '实华酒店入住好多次了，都是为了商务。这次安排的房间最这么多次最满意的。', '短评打分': 5}
{'短评内容': '23号房间床的弹簧太硬，靠近路边稍微有些吵，其它的还可以', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '感觉性价比挺好的。附近的餐饮比较多，很方便！', '短评打分': 5}
{'短评内容': '服务不错，就是酒店旧了一点。', '短评打分': 3}
{'短评内容': '我第一次去深圳，不懂深圳的酒店，真么和居民楼建在一起，酒店设施陈旧，窗很小，服务人员懒散，马桶也坏了，总之不会推荐了。', '短评打分': 1}
{'短评内容': '自助餐还行，就是有点贵，40一位。房间卫生一般。就是总觉得灯的开关控制设计的不合理。', '短评打分': 5}
{'短评内容': '还好吧  就是有点旧了··还有啊·· 打电话说延期 他说没有房了  纠结', '短评打分': 5}
{'短评内容': '在景田附近办事的比较方便 周围有食街 吃饭方便 酒店的毛巾 应该适当增加白度', '短评打分': 5}
{'短评内容': '条件相当坚苦 不推荐大家入住', '短评打分': 3}
{'短评内容': '交通方便，实惠，酒店是中国石油的三产，还是比较安全放心的。', '短评打分': 5}
{'短评内容': '设施陈旧，设施陈旧，设施陈旧，设施陈旧，设施陈旧', '短评打分': 1}
{'短评内容': '价格比较便宜，附近有许多火锅店，如果去沃尔玛办事非常方便。总的说还不错。', '短评打分': 5}
{'短评内容': '订的是豪华单人间.房间挺大的.感觉很舒服.浴室是淋浴的那种.感觉比较卫生.虽然酒店靠近北环路可是晚上还是很安静的..早餐的品种还算挺多的.口感也不错.就是最近天气转凉东西冷得快.东西都是冷的.', '短评打分': 5}
{'短评内容': '总的感觉还好，价格有点贵，交通便利，到机场也很方便。', '短评打分': 5}
{'短评内容': '酒店环境和服务都很好，价格也实惠，以后有朋友来还会推荐住在这里。', '短评打分': 5}
{'短评内容': '住宿条件还可以，服务员打扫比较及时，早餐一般。', '短评打分': 5}
{'短评内容': '价格合理，酒店条件很好，干净舒适，早餐也不错，唯一不足房间没有冰箱，不方便。', '短评打分': 5}
{'短评内容': '房间较小，周边出行不是很方便，其他还可以~~', '短评打分': 5}
{'短评内容': '位置较好', '短评打分': 3}
{'短评内容': '还可以，交通比较便利，装修和设施之类的也还不错，缺点就是酒店只有一个小西餐厅，基本没法在酒店内解决吃饭问题', '短评打分': 5}
