{'短评内容': '可以..一直都住的这里', '短评打分': 5}
{'短评内容': '房间干净温馨', '短评打分': 5}
{'短评内容': '房间很漂亮，干净卫生！前台妹妹挺漂亮的，服务态度特别好。', '短评打分': 5}
{'短评内容': '常来住，很安静', '短评打分': 5}
{'短评内容': '很有味道的一家酒店', '短评打分': 5}
{'短评内容': '酒店很不错，去的比较晚，但房间比较喜欢，干净整洁，酒店整体的装修风格不错，服务态度也是棒棒的，很舒心的旅行', '短评打分': 5}
{'短评内容': '还行...', '短评打分': 5}
{'短评内容': '很好。zz', '短评打分': 5}
{'短评内容': '还不错，经常过去', '短评打分': 5}
{'短评内容': '位置房间都不错，但晚上往门里塞小名片的太多了，而且还敲门，太烦了，把人吓的一愣一愣的，酒店居然没有人管！', '短评打分': 5}
{'短评内容': '服务态度也很不错.环境保护方面都很好哦！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境还不错，但是服务一般', '短评打分': 5}
{'短评内容': '位置好，周边设施齐全，吃喝方便。酒店装修小资，价格适中。免费早餐比较惨，不如在楼下吃小面了。', '短评打分': 4}
{'短评内容': '周围吃的很方便，出行方便，环境还算有情调，总体不错', '短评打分': 5}
