{'短评内容': '挺好的，经常住，晚上吃小吃很方便', '短评打分': 5}
{'短评内容': '很好吃东西方便就是有点sex的厕所', '短评打分': 5}
{'短评内容': '特别小，怀疑人生啊，小就算了，放东西的也是很少了，退房时间还是中午，难道不都是14.00之前吗，而且重点是隔音超差，隔壁不可描述的声音也是。。。', '短评打分': 2}
{'短评内容': '停车场很小房间也挺小的。而且插头很少，短的数据线还插不到，晚上下面很多小吃，毕竟楼下是中山路，隔音不咋地', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般，很小', '短评打分': 2}
{'短评内容': '地段好，下楼就是美食街', '短评打分': 5}
{'短评内容': '前台办理入住速度慢！慢！！慢！！！我来的时候有客人正在办理，客人还没考虑好住什么房，到底要不要网上预订，我是网上有预订的，直接身份证，刷房卡，入公安系统就可以了，很简单的事情。等了差不多半个小时，轮到我了，速度是真的慢，将近10分钟！我在7天酒店做过前台，速度最快是我一个同事，一分钟办理好入住，我2分钟内。是系统复杂？还是个人问题？？房间室内墙壁太脏，各种乱画，也不大扫除清洁一下。前台不够热情，客', '短评打分': 4}
{'短评内容': ' 房间小', '短评打分': 4}
{'短评内容': '窗外比较吵', '短评打分': 3}
{'短评内容': '房间环境还好。但是窗不能上锁，打电话给前台，前台叫人上来看，那个人还没进房，她在过道我们就听到了她在跟前台说我们房间没问题。这种做法不能接受！', '短评打分': 3}
{'短评内容': '位置还过得去，卫生不太好！', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错 周边很多吃的', '短评打分': 5}
{'短评内容': '南宁闹市区，吃很方便，但店内床上用品很脏，环境太吵！', '短评打分': 3}
{'短评内容': '环境很好，很卫生，只是房间小了一点', '短评打分': 4}
{'短评内容': '房间太小了，明明是大床房，竟然整了个1.2宽的小床，我也是醉了！', '短评打分': 3}
