{'短评内容': '不错的地方，下次再来', '短评打分': 5}
{'短评内容': '不含早餐、不可以加床、适合带小孩、交通位置便利、有免费停车', '短评打分': 4}
{'短评内容': '还可以，经济', '短评打分': 5}
{'短评内容': '交通便利，环境也算安静', '短评打分': 5}
{'短评内容': '房间干净卫生服务不错', '短评打分': 5}
{'短评内容': '挺好的挺好的挺好的。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好，简单，方便，交通', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务态度很好，卫生很干净', '短评打分': 5}
{'短评内容': '服务员很热情，卫生也到位', '短评打分': 5}
{'短评内容': '住了蛮多次，挺好的', '短评打分': 4}
{'短评内容': '太吵，周边环境差，穿上有头发', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '挺好的，很满意', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '二', '短评打分': 3}
{'短评内容': '还不错的', '短评打分': 4}
{'短评内容': '无语', '短评打分': 5}
{'短评内容': '5月份入住，一直没评价，酒店的位置还方便，入住感觉也不错，酒店内设施比较好，前台的服务态度和客房的服务都满意，包括卫生等都做得不错，再去时入住！', '短评打分': 5}
{'短评内容': '还不错，只是吃饭有点不方便', '短评打分': 3}
