{'descr': '没有网络，没有安全锁，一般。', 'star': 2}
{'descr': '环境不比以前啦，一楼估计很久没人住了，老板要上点心哦，总体OK，位置在观前街附近，很好找，交通也方便', 'star': 5}
{'descr': '感觉还可以吧', 'star': 4}
{'descr': '真的不是，一般的low ，气味还很重', 'star': 1}
{'descr': '酒店没有电梯，房间里没有电风吹，洗浴喷头是固定的，房间灰尘未清理干净，门不严实有缝隙，容易发出声响。', 'star': 3}
{'descr': '酒店位置不错，在观塘街，附近就是一条美食街，好多好吃的。离拙政园也很近，走过去也很快。就是酒店位置和网页图片上显示的不一样，又走了好久才找到。', 'star': 5}
{'descr': '前台服务态度恶劣，不给办理网上的预定，把我们晾在一边等待1个多小时，太不靠谱了', 'star': 1}
{'descr': '价格优惠，但酒店有点老', 'star': 5}
{'descr': '不错，经济实惠，有电视，空调，无线网络，就是卫生间有点太透明了感觉有点不习惯，不过不影响效果。总体来说还行。', 'star': 5}
{'descr': '房价便宜不贵，经济实惠型的，空调电视淋浴都有，就是厕所有点味大', 'star': 4}
{'descr': '还行吧酒店没有电梯', 'star': 5}
{'descr': '干净整洁舒适，市中心很方便，携程很划算。', 'star': 5}
{'descr': '位置非常的好，距离商业街很近，环境比300多的不差，性价比高！', 'star': 5}
{'descr': '位置非常的好，距离商业街很近，环境比300多的不差，性价比高！', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '酒店位置也不错，离苏州拙政园、步行待也近', 'star': 5}
{'descr': '位置灰常的好，可惜住的不是有窗的.......\n房间有点霉味。\n下面大厅活动空间挺好的，总的来说很不错~~~', 'star': 5}
{'descr': '很好的一家店地角有点偏服务很好\n值得推荐', 'star': 5}
{'descr': '房间精致整洁，地处玄妙观背后，闹中取静，吃饭购物出行很方便，五十米左右就到观前街，观前街向东五十米到临顿路丁字路口就是公交车站(醋坊桥站)，能到各个景点，非常方便。性价比很好的酒店，下次到苏州还订好格。', 'star': 3}
{'descr': '酒店位置好，距离观前街很近，但在巷子里面，不好找。房间还算干净，但空间比较小。前台工作人员态度不怎么地，有待改进。', 'star': 5}
{'descr': '位置好，酒店较干净。服务也还好，希望下次还能入住！', 'star': 5}
{'descr': '酒店不错超值，就是浴室的帘子有点俗，与装修不搭调', 'star': 3}
{'descr': '只能说是一般般，优点，地理位置好，去景点都很近，距离观前街很近，旁边有银行超市，很方便，缺点，卫生不好，床上有头发，地毯上有赃物，卫生间不干净，   \n不好意思 实话实说，图片就不上了， ', 'star': 1}
{'descr': '酒店地理位置很好，离地铁站也不是很远，性价比高。卫生间玻璃没有标识，很容易撞上。', 'star': 3}
{'descr': '很好，很适合带着孩子出行。楼下就是茶餐厅，早饭晚饭都很方便。御街安静，出行快捷，门口西湖大道公交站，到火车站就两站路，到西湖等景区车也很多。', 'star': 5}
{'descr': '酒店很干净，位置也很好，就是找起来不是很方便，但最体感觉超值。', 'star': 5}
{'descr': '位置很好，出来逛街很方便，房间不大，但是条件还可以，下次还去', 'star': 5}
{'descr': '酒店位置好，周围都是旅行社。', 'star': 3}
{'descr': ' 酒店只有大堂有无线 环境不错 床挺大的', 'star': 3}
{'descr': '非常满意！热水好，卫生很干净，夜晚很安静，逛街就更方便了，还有好多种小吃呢！值得！', 'star': 3}
{'descr': '好格宾馆挺好尤其位置近便下次还可来', 'star': 3}
{'descr': '非常好的一家酒店，处于繁华街区，但是却闹中取静。同时酒店卫生环境非常好，强烈推荐酒店。', 'star': 5}
{'descr': ' 不错，蛮干净的！', 'star': 3}
{'descr': '地理位置还是不错的,房间不大,但是设施比较齐全,住一晚是良选.', 'star': 5}
{'descr': '环境不错，服务态度也蛮好的，就是房间空间有点小！', 'star': 5}
