{'短评内容': '很好，床很大', '短评打分': 5}
{'短评内容': '没有以前好，下次不贵在住', '短评打分': 3}
{'短评内容': '据说是三星酒店，觉得还不如快捷酒店', '短评打分': 2}
{'短评内容': '因为是聊城人，一直对这么酒店印象很好，也住过很多次，很好的酒店', '短评打分': 5}
{'短评内容': '还可以，一开始房间比较脏，然后换的房间，还不错吧，周边也还可以，离着金鼎挺近的，早餐挺清淡，毕竟价位比较便宜，', '短评打分': 4}
{'短评内容': '很不好，预订付款后告知订房不成功，到了当地去了酒店付现订房 居然可以 价格一样，估计酒店不愿意支付中介费；这种体验满意度很差，京东和供应商可以剔除此类酒店；', '短评打分': 1}
{'短评内容': '超！极！赞～', '短评打分': 5}
{'短评内容': '有个服务员的素质比较差。', '短评打分': 5}
{'短评内容': '入住时的前台服务态度和退房时的服务态度真是差太远了   希望可以统一培训  统一改善           谢谢', '短评打分': 4}
{'短评内容': '酒店服务太差，一听携程定的，豪华标准间给换成普通的。希望携程介入，踢出这不良商家。鄙视，', '短评打分': 2}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '总体良好', '短评打分': 5}
{'短评内容': '方便实惠哦', '短评打分': 4}
{'短评内容': '房间还可以，价格很实惠，继续，', '短评打分': 3}
{'短评内容': '挺好的，以后有机会还会选择，支持！！！！', '短评打分': 3}
{'短评内容': '支持，之前住过，挺不错的，以后出差还会选择这里', '短评打分': 3}
{'短评内容': '酒店位置不错，下楼就是购物中心很方便，刚装修不久房间内设施还算是比较新，还有晚报及小礼品,就是洗手间是透明玻璃的．', '短评打分': 5}
{'短评内容': '深夜到达。服务员热情接待。房间挺大，热水充足，还有早餐提供。', '短评打分': 3}
{'短评内容': '酒店不错，位置处市中心，交通方便，房间很宽敞，干净卫生，很安静，给4.5分。', '短评打分': 3}
{'短评内容': '＋不错的酒店，挺安静的。', '短评打分': 3}
{'短评内容': 'henhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhaohenhao', '短评打分': 5}
{'短评内容': '总体来说还不错，卫生很好，就是不能用信用卡先授权，还要交押金', '短评打分': 5}
{'短评内容': '环境挺好的，交通便利，餐饮购物都很方便，出差住宿的好地方。', '短评打分': 5}
{'短评内容': '酒店倒是一般，主要是网络不行，和我们公司的内部网络不相容', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 3}
{'短评内容': '位置很好！酒店建筑虽然比较旧但是设施还是很新的。还送水果，呵呵', '短评打分': 5}
{'短评内容': '挺不错的，每次出差都会住在这里，性价比高', '短评打分': 5}
{'短评内容': '很好很强大很好很强大很好很强大很好很强大很好很强大很好很强大很好很强大', '短评打分': 5}
{'短评内容': '不错,性价比高，以后来聊城还会选择这家酒店的，', '短评打分': 5}
{'短评内容': '  这是我第一次来聊城，我是在网上看了点评和酒店的介绍，才预定的。但和想像不一样，本来预定的是158元的，但今天过去住，那是又老又旧，后来选择178元的又没电脑，最后我们只能定下208元还只能说很一般的。\n  后来，在温州的小叔告诉我车站边上有很多只要100元的宾馆。质量也不错，但我已经来不及了。\n  以后，大家在网上预定酒店一定要多个心眼，一定要打电话去酒店确认一下一些细节，我这次是太赶没有问。', '短评打分': 1}
{'短评内容': '服务人员挺细心的，随叫随到，房间收到的挺利索，设施有些陈旧，价格还是挺便宜的。', '短评打分': 5}
{'短评内容': '房间挺大，打扫也挺干净，床也挺舒适的。服务人员办事效率不算慢，态度也挺好的。', '短评打分': 5}
{'短评内容': '位置挺好，出行方便，服务态度很热情，卫生方面也不错，价格也比较合适。', '短评打分': 5}
{'短评内容': '酒店位于繁华市区，周边交通很便利，服务上响应及时，价格上比较合适。', '短评打分': 5}
{'短评内容': '装修风格挺好的，房间宽敞舒适，价格也不贵，住的挺满意。', '短评打分': 5}
{'短评内容': '酒店位置挺好，附近有个大购物中心，周边交通也很便利。', '短评打分': 5}
{'短评内容': '位置很好，卫生干净。服务周到，性价比合适', '短评打分': 5}
