{'短评内容': '不错，早餐在12楼,能看到海景，客户很不错，服务员态度也好，旁边就是步行街，下次来还是在这里住给好评', '短评打分': 5}
{'短评内容': '半夜太吵，蚊子也来凑热闹，我住的豪华套房房间没窗户', '短评打分': 5}
{'短评内容': '还不错  没房住了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '挺好的，安静，舒适', '短评打分': 5}
{'短评内容': '早餐总体上还可以。有时人太多没有及时加菜，到餐厅感觉什么吃的都没有。房间总体还可以，卫生间门把手需及时维修。', '短评打分': 4}
{'短评内容': '环境好，卫生干净，床垫很舒服', '短评打分': 5}
{'短评内容': '早餐一般般，环境一般般，没有想象中好，', '短评打分': 3}
{'短评内容': '总体来说，不错，地理位置很方便～环境也还不错～', '短评打分': 5}
{'短评内容': '还可以吧，四星酒店有点不足，不过位置优越！', '短评打分': 5}
{'短评内容': '&hellip;', '短评打分': 3}
{'短评内容': '酒店不错。。。可以入住！', '短评打分': 5}
{'短评内容': '服务不错，地方方便，离海边近，离步行街近。', '短评打分': 5}
{'短评内容': '房间不错，价格便宜', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，交通方便，步行到海边只需要几分钟的时间。房间的隔音效果不是很好，早上有人在过道走路，说话的声音能很清楚的传进房间里。', '短评打分': 5}
{'短评内容': '卫生不错，酒店位置很好，交通便利，离海边很近，步行十分钟就到了。海景房的命名有点牵强。卫生间门口的楼顶漏水。', '短评打分': 5}
{'短评内容': '这次去三亚发生点误会，我先订的三晚想改成四晚。结果在线支付没有成功，反馈客房已满，后重新订的海景大床，已确认。我到店也支付了四晚的房费和压金。可在我第二天的中午客服说我取消了订单！需要和第三方连系，通过连系后代理商得到解决，也发映酒店服务不到位。费都付清了，也就是说服务合同已订立，还能赶客吗？望提高服务水平，做得更好！', '短评打分': 4}
{'短评内容': '酒店地理位置方便，就是早上路边的车辆太吵。', '短评打分': 4}
{'短评内容': '酒店的环境很好，并且周围小吃很多 到三亚湾 解放步行街 一首歌的时间', '短评打分': 5}
{'短评内容': '整体还不错进出也方便用餐也很方便。', '短评打分': 5}
{'短评内容': '交通比较便利，服务态度不错', '短评打分': 5}
{'短评内容': '酒店环境不错，还有游泳池，房间宽敞舒适，价格适中，距离步行街小吃街都很近，晚上出来吃宵夜超方便，下次过来三亚旅游，还会选择来这里住宿的，哈', '短评打分': 5}
{'短评内容': '设施较旧,入住期间在装修很乱！唯一优点是地处市中心,购物吃饭方便！', '短评打分': 3}
{'短评内容': '在商业中心区吧，看样子有些老了，貌似接待团体更多一些，设施一般般，但价格摆在那里，该有的都有，一分钱一分货嘛，预算不足的朋友可以考虑下。', '短评打分': 5}
{'短评内容': '酒店位置不错，但是房间有些旧了，设施也旧，海景挺好', '短评打分': 5}
{'短评内容': '没想像的那么好…', '短评打分': 3}
{'短评内容': '旧！太旧了！感觉没保养！上网是免费的但网线要20块一天租金！损！但位置很好。住的房间望出去看到凤凰岛晚上的灯色、黄昏的日落、晨早的蓝天。\n三亚的酒店就是贵+旧！当然好的就很贵很贵了.下次来决定住家庭旅馆了。联系好了60一天，就在豪威的附近，呵呵', '短评打分': 1}
{'短评内容': '此酒店是被其他预定的连锁酒店给我介绍的，缺点是离海边不近而需要多走一些路，优点是里面的设施和管理都不错，是属于较喜欢类型的酒店。', '短评打分': 5}
{'短评内容': '还好吧。就是空调不太好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错......................................................................................................................', '短评打分': 5}
{'短评内容': '环境差！房差！', '短评打分': 3}
{'短评内容': '床品太旧', '短评打分': 3}
{'短评内容': '这哪里是4星酒店，就是一个招待所，只是地理位置不错。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设施服务一般价格合理但海景不佳', '短评打分': 3}
{'短评内容': '离海岸非常近，我都是光着脚从沙滩走回酒店的，虽然房间不大，但总体让人满意', '短评打分': 5}
{'短评内容': '设施不错，毛巾被褥应该烘干，服务比较热情，可以注意细节，会更好。基本是物有所值。', '短评打分': 5}
{'短评内容': '酒店位置相当好，但前台发票机和服务员素质太差，打个发票都要次日拿，还要犯常识错误，大连广州市，有这种地方吗，还有就是门卡有问题，我交了三天押金连住三天，可每天回来门匙都打不开，据服务员说门锁早就坏了，四星酒店连合装纸都没有，希望改进', '短评打分': 5}
{'短评内容': '酒店交通便利，房间面积宽阔，可以看淡美丽的海景，服务很好', '短评打分': 5}
{'短评内容': 'VERY NOISY,\nEVEN CLOSE THE WINDOW, STILL CAN LISTEN OUTSIDE NOISE', '短评打分': 1}
{'短评内容': '2月2日-2月5日，一到酒店停车场看到酒店外观和大堂心就凉了半截，酒店的标间用家人的话说就跟招待所差不多（我看也差不多），加钱升级到11楼行政房，还是失望，房间无比的小，有一张床就挨着洗脸盆，卫生间和洗浴间胖点的人进去的转身都悬。电梯没有红外感应被夹了好几次。酒店早餐38/人，家人说很差，这家酒店根本达不到四星标准，主要做团队的生意。大年三十的下午再折腾去找酒店麻烦，否则我绝对不会花这冤枉钱住这种', '短评打分': 1}
{'短评内容': '这家海景酒店位置好，位于市中心,交通方便。房间设备老旧，电话不好使。上网没有网线，在许多酒店都免费上网的今天，该酒店居然要我们20元。真黑呀！ \n', '短评打分': 1}
{'短评内容': '酒店因接待旅游团队较多，服务态度很差。且最好的房间硬件设施赶不上无星级酒店。酒店不负责寄存，如需要寄存需要交纳费用。', '短评打分': 1}
{'短评内容': '+ 因为天气原因必须多逗留一天，临时选了这家。床是坏的，睡了混身痒。晚上挺吵的，凑合可以，度假就别选这家了。', '短评打分': 5}
{'短评内容': '房间设施配置比较全，周围环境也很舒适方便。', '短评打分': 5}
{'短评内容': '房间配置硬件设施比较全，基本的酒店配置都有。', '短评打分': 5}
{'短评内容': '这家海景酒店位置特别好，位于市中心位置附近吃小吃非常方便。', '短评打分': 5}
{'短评内容': '酒店的服务很不错，门童都非常热情，如离店都帮忙主动拿行李服务到位。', '短评打分': 5}
{'短评内容': '酒店的设施配置有些陈旧了，位置相当不错，在市中心出行方便。', '短评打分': 5}
{'短评内容': '酒店位置可以，出行还是比较便利的，周围吃的也多，不错。', '短评打分': 5}
{'短评内容': '工作人员很热情，服务也细致周到。', '短评打分': 5}
{'短评内容': '周围有餐馆、小吃什么的，生活很方便，房间设施也比较全。', '短评打分': 5}
{'短评内容': '该酒店虽位于三亚步行街，交通方便属于便利，但主要接待团队旅游，服务方面就谈不上了。豪华行政房其实就是商务房间。预定之前最好咨询清楚；', '短评打分': 1}
{'短评内容': '位置很好，购物餐饮都很方便。\r\n房间比较干净，设施齐全。\r\n由于入住团队为主，晚上及早晨大堂会比较乱，楼道也会比较吵。\r\n价格同附近几家类似酒店比相对较高。', '短评打分': 5}
{'短评内容': '这家酒店我感觉不像是四星级的酒店,服务卫生方面都很一般了,设施也有些陈旧了,位置还不错,价格方面还是偏高了.', '短评打分': 3}
{'短评内容': '非常差！！！', '短评打分': 1}
