{'短评内容': '环境太差，冷', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '推荐，蛮不错的，经济型', '短评打分': 5}
{'短评内容': '还可以 交通便利', '短评打分': 5}
{'短评内容': '没热水，淋浴不能用，打前台电话没人接，下次不来了。无语无语无语无语无语无语无语无语无语无语无语无语无语', '短评打分': 3}
{'短评内容': '隔音差，网差，各种差', '短评打分': 5}
{'短评内容': '隔音好差，网好差，各种好差', '短评打分': 5}
{'短评内容': '一般吧，晚上不是很隔音，很吵', '短评打分': 5}
{'短评内容': '还行，就是设施有点老了', '短评打分': 4}
{'短评内容': '［位置］杨家湾地铁站附近  很好找  附近吃的也多［环境］酒店环境整体还可以  ［服务］前台服务还可以吧［体验］空调没有扇叶  房间内浴霸有问题  水压不稳  毛巾不太干净的感觉', '短评打分': 3}
{'短评内容': 'wifi信号太差了，房间不隔音', '短评打分': 3}
{'短评内容': '房间窗帘是坏的。。', '短评打分': 3}
{'短评内容': '挺好的，很舒适', '短评打分': 5}
{'短评内容': '第二次订房了，房间很大，设施齐全，交通便利，公交地铁站很近。起个大早跑步去武汉大学，感觉太棒了！', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '下次还来这', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': 'GOOD`````比较好的地方哦~~~~~~~~~~~~~~~~~~····', '短评打分': 5}
{'短评内容': '有些不尽人意，房间有怪味，窗户很小很小，不透气，不怎么样', '短评打分': 5}
{'短评内容': '还不错，房间比较大。我住的楼层较高，感觉很清爽', '短评打分': 5}
{'短评内容': '酒店环境还不错，而且服务态度还不错，房间打扫很及时。挺愉快的。', '短评打分': 5}
{'短评内容': '地理位置方便，服务态度可以，设施有点旧~', '短评打分': 5}
{'短评内容': '还行,位置也不错，性价比还是比较高的，推荐', '短评打分': 5}
{'短评内容': '价位比较便宜，但设施较少，周围小吃较多，感觉比较一般。', '短评打分': 5}
{'短评内容': '不错，就是房间味道有点怪。其他的都很好！', '短评打分': 5}
{'短评内容': '房间还算比较整洁，不过可能是我订的那间房没有窗户，房间的味道比较大。其他还可以，服务态度也还行，价格比较实惠。', '短评打分': 5}
{'短评内容': '酒店的服务态度很好，房间设施满温馨的，不错喜欢！', '短评打分': 5}
{'短评内容': '还不错，就是房间设施真的比较简陋呀，其他还ok\n', '短评打分': 5}
{'短评内容': '还不错啦。价格适中。', '短评打分': 3}
{'短评内容': '对得起价钱，觉得这是个很不错的酒店，名气没有旁边的莫泰大，绝对不比莫泰差', '短评打分': 5}
