{'短评内容': '不咋地啊！！！！', '短评打分': 1}
{'短评内容': '一分钱一分货', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不满意携程的订房服务，手机app下了2次定单，第一次定的酒店被告知没有房间了，第二次定的酒店还是预付担保了的，迟迟没有确认，后来直接开车到了酒店被酒店告知也没有房间了，随后致电携程求助，携程客服人员说6公里以内好一点的酒店都没有房间了，介绍我来这家富安酒店，并确认是有免费停车三星级标准的酒店，我们到了酒店发现酒店很小的停车场已经没有位置了，进去咨询服务员叫我们停边上一个停车场，第二天大概6个小时', '短评打分': 2}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '服务很好，卫生很干净', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '酒店不错，给满分。', '短评打分': 5}
{'短评内容': '方便联系交易团', '短评打分': 5}
{'短评内容': '还是挺干净的，只是酒店的舒适度要差一些。为了方便，还是接受了。', '短评打分': 4}
{'短评内容': '还是挺干净的，只是酒店的舒适度要差一些。为了方便，还是接受了。', '短评打分': 4}
{'短评内容': '就是房间太小啦！', '短评打分': 4}
{'短评内容': '服务态度很好，也很干净，由于是新建的，停车场还没做好。房间的设施很新。', '短评打分': 3}
{'短评内容': '广交会期间入住，房内环境尚可，外面比较吵。前台比较业余。毛巾不干净。', '短评打分': 1}
